,company name,affiliation,former ID,industry type,city,state,address / directions,Phone #,Full Reporting Number,Reporting Mark,Reporting Number,locomotive serial number,locomotive model,Manufactured Date(MM/YY),Acquisition Date,HP,Cross Match
0,Hansen-Mueller,,,grain elelator / wharf,,,21st St E & Quebec Pier Rd.,  (715) 398-3541,ILSX 1378,ILSX,1378,18189.0,SW1,-53,,600.0,Not Matched
1,Area Aggregates â€“ Collinwood Materials Yard,(subs. Olen Corp.),,aggregates distribution yard,Cleveland ,,"606 E 52nd St, 44110",,HRZX 708,HRZX,708,16951.0,SW9,Dec-52,,1200.0,Not Matched
2,Williams Alaska Petroleum / Mapco,,,,Anchorage,Ak.,Ocean Dock Rd.    (in port area),,CLC 02113,CLC,2113,2113.0,S4,,2002.0,,Serial Match
3,Gadsden Industrial Park,,,,Gadsden,,,,,,,,GE 25ton,,,,Not Matched
4,Gadsden Industrial Park,,,,Gadsden,,,,,,,,GE 25ton,,,,Not Matched
5,Gadsden Industrial Park,,,,Gadsden,,,,,,,,GE 40ton,,,,Not Matched
6,Gadsden Industrial Park,,,,Gadsden,,,,,,,30880.0,GE 40ton,Nov-53,,,Not Matched
7,Gadsden Industrial Park,,,,Gadsden,,,,JLCX 2002,JLCX,2002,26949.0,GP20,Jan-62,,2000.0,Not Matched
8,Progress Rail Services,,,(car parts reclamation),Albertville,,"1800 Industrial Blvd.         (P.O. Box 1037, 35950)        ",[(256) 593-1261],,,,41997.0,B23-7,Jan-79,,2250.0,Not Matched
9,Progress Rail Services,,,(car parts reclamation),Albertville,,"1800 Industrial Blvd.         (P.O. Box 1037, 35950)        ",[(256) 593-1261],,,,42313.0,B23-7,Apr-79,,2250.0,Not Matched
10,Radius Recycling,,(formerly Schnitzer Steel),(scrap),Attalla,,Lake Rhea Rd. 35954                                , [(256) 538-7891],,,,,GE 45ton,,2000.0,,Not Matched
11,Martin Metals Co.,,,,Bessemer,,2100 Griffin Wheel Drive  (inside Griffin Wheel plant),      [428-0380] ,,,,15807.0,GE 25ton,Aug-42,,,Not Matched
12,U. S. Pipe & Foundry Co.  -  Bessemer Pipe Plt.,(subs. Forterra),,,,,"2023 St. Louis Ave., 35020  ",  [(205) 254-7682],,,,41108.0,GE 125ton,Dec-79,1999.0,,Not Matched
13,American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],,,,,Mancha,May-43,,,Not Matched
14,American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],,,,,Greensburg battery electric,Dec-44,,,Not Matched
15,American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],,,,,Warren 8ton,-2,,,Not Matched
16,American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],,,,,Warren 8ton,-3,,,Not Matched
17,American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],,,,28242.0,GE 80ton,Sep-45,2002.0,,Not Matched
18,American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],,,,,MP15,Feb-80,2000.0,,Not Matched
19,American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],GMTX 201,GMTX,201,74641.0,MP15,,,,Not Matched
20,American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],GMTX 202,GMTX,202,74641.0,MP15,,,,Not Matched
21,CMC   (Commercial Metals Co.)    ,,(formerly SMI Steel),  (steel mill) ,,,"101 50th St. S, 35212",  [(205) 592-8981],LOCX 1005,LOCX,1005,,SW8,,,800.0,Reporting Match
