Canac Leasing (CANX),,
Road No,Model,Date
14,SW1200RS / SW1200,Jan-57
1206,SW1200RS / SW1200,Mar-56
1236,SW1200RS / SW1200,Jun-56
1272,SW1200RS / SW1200,Aug-57
1303,SW1200RS / SW1200,May-58
1308,SW1200RS / SW1200,Jul-58
1323,SW1200RS / SW1200,Oct-58
1330,SW1200RS / SW1200,Nov-58
"1338, 1341, 1344",SW1200RS / SW1200,May-59
"1350, 1352, 1353",SW1200RS / SW1200,Jun-59
"1360, 1361",SW1200RS / SW1200,Apr-60
1377,SW1200RS / SW1200,Jun-60
"1388, 1389, 1391",SW1200RS / SW1200,Jul-60
1395,SW1200RS / SW1200,Aug-60
1513-1519,SW1200RS / SW1200,Mar-60
1704,GP16,Dec-50
7100,SW1200,Aug-56
7101,SW1200,Feb-58
7102,SW1200,May-56
7103,SW1200,Jul-56
7104,SW1200,Dec-56
"7105, 7106",SW1200,Jan-57
7107,SW1200,Jul-56
7302,SW1200,Apr-60
7307,SW1200,Aug-60
7308,SW1200,May-60
"7310, 7312",SW1200,Aug-56
7317,SW1200,Jun-59
7731,SW8,Mar-52
8302,GP10,Dec-58
8308,GP10,May-64
8335,GP10,May-55
8348,GP10,Jan-56
8355,GP10,Apr-54
8370,GP10,Jan-57
8464,GP10,Jan-58
8601,GP10,Oct-59
8604,GP10,Apr-56
"8700, 8701",S13m,Oct-59
"8702, 8703",S13m,5-May
8704,S13m,
8705,S13m,Oct-59
8706,S13m,Feb-59
"8708, 8709",S13m,Feb-59
8711,S13m,Jan-59
8734,GP11,Oct-57
