CIT Rail Resources (CITX),,
Road No.,Model,Date
CEFX 56 & 57,GP40-2,Jun-98
CEFX 100-131,SD90MAC/4300,Jan-99
CEFX 132-139,SD90MAC/4300,Jan-00
"CEFX 104, 105, 118, 120, 120-122, 124-126, 135 and 138 were sold to become NS SD70ACUs #7329-7339",SD90MAC/4300,
CITX 140,SD70M-2,Oct-04
CITX 141 & 142,SD70M-2,Nov-04
CEFX 400-402,GP38-2,Mar-79
CEFX 403,GP38-2,Jul-70
CEFX 404,GP38-2,Sep-70
CEFX 405,GP38-2,Nov-67
CEFX 406,GP38-2,Jul-70
CEFX 408,GP38-2,Oct-67
CEFX 407,GP38-2,Nov-67
CEFX 409,GP38-2,Sep-69
CEFX 410,GP38-2,May-73
CEFX 411,GP38-2,Sep-69
CEFX 414,GP38-2,Sep-69
CEFX 1001-1025,AC4400CW,1-Nov
CEFX 1026-1059,AC4400CW,4-Sep
CEFX 1421,MP15DC,Jul-77
CEFX 1430,MP15DC,Oct-74
CEFX 1437,MP15DC,Apr-82
CEFX 1439,MP15DC,Apr-82
CEFX 1501-1510,GP-15D,Dec-00
CEFX 1520,MP15DC,Jun-77
CEFX 1521-1523,MP15DC,
CEFX 1524,MP15DC,Oct-74
CEFX 1525,MP15DC,Oct-74
CEFX 1526 & 1527,MP15DC,Oct-74
"CEFX 1528, 1529 & 1531",MP15DC,Sep-74
CEFX 1532,MP15DC,Jul-77
CEFX 1533-1535,MP15DC,Oct-79
CEFX 1536-1540,MP15DC,Apr-82
CEFX 1541-1546,MP15DC,Apr-82
CEFX 1547,MP15DC,Nov-79
CEFX 1548,MP15DC,Dec-78
CEFX 1552 & 1553,SW1500,Sep-73
CEFX 1554 & 1555,SW1500,Sep-73
CEFX 1556 & 1557,SW1500,Sep-73
CEFX 1558,SW1500,Nov-68
CEFX 1559,SW1500,Nov-68
CEFX 1560 & 1561,SW1500,Oct-67
CEFX 1562,SW1500,Oct-67
CEFX 1563,SW1500,Jul-69
CEFX 1564,SW1500,Jul-72
CEFX 1565,SW1500,Jun-68
CEFX 1566,SW1500,Sep-69
CEFX 1567,SW1500,
CEFX 1568,SW1500,Sep-73
CEFX 1569,SW1500,Oct-73
CEFX 1570,SW1500,Mar-70
CEFX 1571,SW1500,Dec-68
CEFX 1573,SW1500,Nov-68
CEFX 1574-CEFX 1599,SW1500,
CEFX 1602,SW1500,Sep-67
CEFX 1604,SW1500,
CEFX 1900,GP9u,Apr-57
CEFX 1901 & 1902,GP9u,
CEFX 2002-2010,GP-20D,Jun-00
CEFX 2011-2040,GP-20D,--
CEFX 2575,SW1500,Apr-70
"CITX 2799, 2800 & 2811",SD40M-2,--
CITX 3032,SD40-2,Dec-78
CITX 3064,SD40-2,Jan-66
CITX 3071,SD40-2,Jun-67
CITX 3072,SD40-2,Jan-66
CITX 3077,SD40-2,May-71
CITX 3088,SD40-2,Feb-67
CITX 3091,SD40-2,Mar-67
"CITX 3106, 07 & 09",SD40-2,
CEFX 3117,SD40-2,
CEFX 3127 & 3157,SD40-2,
CITX 3157,SD40-2,Feb-80
CEFX 3164,SD40-2,Aug-78
CITX 3170,SD40-2,Jun-79
CEFX 3173 & 3175,SD40-2,Oct-78
CITX 3177,SD40-2,Dec-73
CITX 3182,SD40-2,Nov-78
CITX 3184,SD40-2,Nov-78
CEFX 3703,GP38-3,Jan-64
CEFX 3708,GP38-3,
CEFX 3709,GP38-3,Sep-69
CEFX 3716,GP38-3,Sep-71
CEFX 3717,GP38-3,
CEFX 3720,GP38-3,Nov-69
CEFX 3721,GP38-3,Oct-69
CEFX 3800,GP38-2/3/AC,Sep-69
CBFX 3801,GP38-2/3/AC,Jul-71
CEFX 3802,GP38-2/3/AC,Sep-62
CEFX 3803,GP38-2/3/AC,Aug-70
CEFX 3804,GP38-2/3/AC,Oct-67
CBFX 3805,GP38-2/3/AC,
CEFX 3806,GP38-2/3/AC,Sep-71
CEFX 3807,GP38-2/3/AC,Sep-71
CEFX 3809,GP38-2/3/AC,Oct-60
CEFX 3810,GP38-2/3/AC,Oct-60
CEFX 3811,GP38-2/3/AC,Oct-69
CEFX 3811,GP38-2/3/AC,Sep-69
CEFX 3813,GP38-2/3/AC,Oct-72
CEFX 3814,GP38-2/3/AC,Mar-71
CEFX 3816,GP38-2/3/AC,Oct-69
CEFX 3826,GP38-2/3/AC,Jul-70
CEFX 3864,GP38-2/3/AC,Mar-66
CEFX 3917,SD40-2,Sep-76
CEFX 3962,SD40-2,Apr-80
CEFX 6000-6001,SD60,Aug-87
"CITX 6003, 6004",SD60,Aug-87
CEFX 6005,SD60,Aug-97
CITX 6006 & 6007,SD60,Aug-87
CEFX 6008 & 6009,SD60,Aug-87
CEFX 6010-6020,SD60,Aug-87
CEFX 6021-6024,SD60,Jan-90
CEFX 6025 & 6026,SD60,Feb-90
CEFX 6027 & 32-34,SD60,Jan-90
CEFX 6051 & 6053,SD38,Apr-70
CEFX 6052 & 6054,SD38,May-70
CITX 6103,SD40-2,Sep-66
CEFX 6318,SD40M-2,Mar-68
CEFX 6319,SD40-2,Mar-68
CEFX 6403,SD40-2,Nov-78
CEFX 6407,SD40-2,Dec-78
CEFX 6409,SD40-2,
CEFX 6671,GP38-3,Jun-65
CEFX 7108,SD40-2,Dec-78
CEFX 8506,B39-8E,Oct-87
CEFX 8531,B39-8E,Mar-88
"CEFX 8585, 91 & 96-97",B39-8E,Apr-88
CEFX 9194,SD45T-2,Mar-72
"CEFX 9243, 9245 & 9254",SD45T-2,Jun-72
"CEFX 9273, 9282 & 9294",SD45T-2,Mar-73
"CEFX 9300, 9308",SD45T-2,Mar-73
