Company,Abbr,Road No.,Model (& Bldr),Date
CitiCorp Railmark,CREX,1201-1215,ES44AC,12-Oct
CitiCorp Railmark,CREX,1301-1350,ES44AC,2013
CitiCorp Railmark,CREX,1401-1435,ES44AC,14-Jul
CitiCorp Railmark,CREX,1501-1525,ES44AC,15-Dec
CitiCorp Railmark,CREX,2867,SD40-2,Jun-74
CitiCorp Railmark,CREX,2106 & 2109-10,SD60,Aug-86
CitiCorp Railmark,CREX,5946-5950,SD60,Aug-86
CitiCorp Railmark,CREX,5952-5954,SD60,Aug-86
CitiCorp Railmark,CREX,"5956, 5957 & 5959",SD60,Aug-86
CitiCorp Railmark,CREX,5960 & 5961,SD60,Sep-86
CitiCorp Railmark,CREX,5971 & 5972,SD60,Aug-86
CitiCorp Railmark,CREX,5973 & 5974,SD60,Aug-86
CitiCorp Railmark,CREX,5975-5979,SD60,Aug-86
CitiCorp Railmark,CREX,5980,SD60,Aug-86
CitiCorp Railmark,CREX,5982-5985,SD60,Aug-86
CitiCorp Railmark,CREX,8315,SD40T-2,Mar-78
CitiCorp Railmark,CREX,9926,SD40-2,Sep-78
