,company name,Count,Rank,affiliation,former ID,industry type,city,state,address / directions,Phone #
0,CMC   (Commercial Metals Co.)    ,3,1,,(formerly SMI Steel),  (steel mill) ,,,"101 50th St. S, 35212",  [(205) 592-8981]
1,SC Johnson's - Waxdale Plant,2,2,,,,Sturtevant,,8311 16th St. 53177,
2,Steel Dynamics - Southwest - Sinton Div.,2,2,,,rolling mill,Sinton,,"8534 SR 89, 78387",(361) 424-6200
3,"Husky Energy, Inc.  â€“  Lima Refinery ",2,2,, (formerly Valero),,,,"1150 S. Metcalf St., 45804                     ",
4,Scotts Company    ,2,2,,,(fertilizer),Marysville,,"14111 Scottslawn Rd., 43041                  ",
5,Gerdau Ameristeel,2,2,,(formerly North Star Steel  Iowa ),,Wilton,,"Greens Road     (P.O. Box 749, 52778)           ", [(563) 732-3231]
6,BP Amoco,2,2,,,,Cedar Bayou  (Baytown),,9548   I-10  E                 [(281) 421-2972],
7,"Bunge North America (East), Inc.",2,2,(subs. Eridania Berghin-say),"(formerly Central Soya Co., Inc.)",,Decatur,,"1200 N. 2nd St.,  46733  ",  [(219) 724-2101]
8,Chevron USA,2,2,,,,North Salt Lake City,,,
9,Nucor Steel Decatur,2,2,,,cold rolling mill,,,"3401 Process  Road, 35601      (W. of...)            ", [(256) 584-7500]
10,Savage Services,2,2,,,oil field services,Trenton,,,
11,Dow Chemical  - Texas Div.,1,12,,,,,,"2301 N. Brazosport Blvd, 77541   ",   [(979) 238-2011]
12,CGI / Ameripointe,1,12,,,oil field services,Ardmore,Ok.,,
13,Tidewater Logistics,1,12,,,transload,,,,
14,"Sunrise Cooperative, Inc.",1,12,,(formerly Southwest Landmark),  (grain),South Charleston,,"149 S. Chillicothe St., 45368                            [(937) 462-8341]",
15,Heidelberg Materials,1,12,,(foerm Hanson Materials),,Parkertown,,"9220 Portland Rd (Catalia), 44824",  (419) 483-4390
16,Suncoke Energy Middletown,1,12,,,,,,"3351 Yankee Rd., 45044",(513) 727-5500
17,Cleveland Cliffs - Middletown Works,1,12,,(formerly AK Steel Corp.),,Middletown,,"703 Curtis St.,  45044      [(513) 425-5000]",
18,Waste Management â€“ Atlantic Waste Disposal,1,12,,"(formerly USA Waste, Inc.)",sanitary landfill,Disputanta  / Waverly,,3474 Atlantic Ln  (off CR 602),
19,"Carmeuse, Inc.",1,12,,,,Maple Grove  (Bettsville),,"1967 W. CR 42, (Bettsville), 44815                           ",  [(419) 986-2000]
20,"Williams Ohio Valley Midstream, LLC / Williams Co.",1,12,,,natural gas transload,,,"(along SR 2, 3 mi. W. of...)",
21,MetalX,1,12,,,scrap,Delta,,"7300 SR 109, 43515",(419) 518-2203
