0,1,2,3,4
Model (& Bldr),Road No.,Serial No.,Date,Notes
NW2u (EMD),1005,6582,9/48,"Ex-ADM 185, AESX 185 < Swift 185 < nee NW2 MP / T&P 1010"
SW9 (EMD),1202,14359,6/51,Ex-DRS1 1427 < ex-IC 1427 < ICG SW14 1427 < IC 9436 < nee IC SW9 436:1
SW1200 (EMD),1203,25748,3/60,Ex-GTW 1516
1204,19486,2/54,Ex-Arizona Public Service.3 < SP 2304 < SP 2213 < nee T&NO 113,
SW9 (EMD),1206,14394,6/51,Sold to MVPX; ex-BRC 520
1207,14395,6/51,Sold to MVPX; ex-BRC 521,
1208,15207,10/51,Sold to MVPX;  ex-BRC 522,
1209,15208,10/51,Sold to MVPX; ex-BRC 523,
SW1200 (EMD),1210,23762,5/57,Ex-CR 9320 < EL 456 < nee DL&W 561
SSB1200 (SW9u) (EMD),1221,18087,5/53,Ex-Amtrak 554 < ATSF SSB1200 #1221 < ATSF 1421 < nee ATSF SW9 2421
SW14 (EMD),1423,11662,9/50,Sold to Relco in 1998;  ex-IC 9414
"Abbreviations

ADM    = Archer Daniels Midland
AESX   = GE Rail Services 
ATSF   = Atchison Topeka & Santa Fe
BRC    = Belt Ry. of Chicago
CR     = Conrail
DL&W   = Delaware Lackawanna & Western
EL     = Erie Lackawanna
GTW    = Grand Trunk Western
IC/ICG = Illinois Central/Gulf
MP     = Missouri Paicifc
SP     = Southern Pacific
T&NO   = Texas & New Orleans
T&P    = Texas & Pacific


Thanks to the following contributors/sources: Franklin Campbell, John Komanesky and Michael Richmond 

Reference Sources: The Santa Fe Diesel (Volume 1) by Dr. Cinthia Priest; RRpicturesarchive.net.; 
and EMD Order Numbers @ TrainWeb.org.",,,,
