,Model,Build Year,Total Produced,Power Output
0,EMC pre – SC,1935,2,600.0
1,SC,1936–1939,43,600.0
2,Model 90,1935,1,900.0
3,SW,1936–1939,76,600.0
4,NC,1937–1938,5,900.0
5,NC1,1937,5,900.0
6,NC2,1937,2,900.0
7,T,1936,1,1800.0
8,NW,1937–1938,8,900.0
9,NW1,1937–1939,27,900.0
10,NW1A,1938,3,900.0
11,NW2,1939–1949,1145,1000.0
12,NW4,1938,2,900.0
13,SW1,1939–1953,661,600.0
14,SW7,1949–1951,489,1200.0
15,SW8,1950–1954,373,800.0
16,DH2,1953,1,800.0
17,SW9,1950–1953,815,1200.0
18,SW10,1980-1999,75,1000.0
19,SW14,1978-1982,112,1000.0
20,SW600,1954–1962,15,600.0
21,SW900,1954–1969,371,900.0
22,SW1000,1966–1972,119,1000.0
23,SW1001,1968–1986,230,1000.0
24,SW1200,1954–1966,1056,1200.0
25,SW1500,1966–1974,808,1500.0
26,SW1504,1973,60,1500.0
27,MP15DC,1974–1980,351,1500.0
28,MP15AC,1975–1984,246,1500.0
29,MP15T,1984–1987,43,1500.0
30,RS1325,1960,2,1325.0
31,GMD1,1958–1960,101,1200.0
32,GP7,1949–1954,"2,729 A units",1500.0
33,GP9,1954–1963,"4,272 A units",1750.0
34,GP15-1,1976–1982,310,1500.0
35,GP15AC,1982,34,1500.0
36,GP15T,1982–1983,28,1500.0
37,GP18,1959–1963,405,1800.0
38,GP20,1959–1962,260,2000.0
39,GP28,1964–1965,31,1800.0
40,GP30,1961–1963,908 A units,2250.0
41,GP35,1963–1966,1334,2500.0
42,GP38,1966–1971,706,2000.0
43,GP38AC,1970–1971,261,2000.0
44,GP38-2,1972–1986,2213,2000.0
45,GP38-2L,,,2000.0
46,GP38-2W,1973–1974,51,2000.0
47,GP39,1969–1970,23,2300.0
48,GP39DC,1970,2,2300.0
49,GP39X,1980,6,2600.0
50,GP39-2,1974–1984,239,2300.0
51,GP40,1965–1971,1221,3000.0
52,GP40P,1968,13,3000.0
53,GP40P-2,1974,3,3000.0
54,GP40TC,1966,8,3000.0
55,GP40X,1977–1978,23,3500.0
