0,1,2,3,4,5,6
"GP40u (EMD)
451
34136
12/68
Ex-Florida East Coast  451 < UP 869 < nee Milw GP40 2062","451
34136
12/68
Ex-Florida East Coast  451 < UP 869 < nee Milw GP40 2062","34136
12/68
Ex-Florida East Coast  451 < UP 869 < nee Milw GP40 2062","12/68
Ex-Florida East Coast  451 < UP 869 < nee Milw GP40 2062",Ex-Florida East Coast  451 < UP 869 < nee Milw GP40 2062,,
"453
35472
11/69
Ex-Florida East Coast 453 < UP 887 < nee MKT GP40 229","35472
11/69
Ex-Florida East Coast 453 < UP 887 < nee MKT GP40 229","11/69
Ex-Florida East Coast 453 < UP 887 < nee MKT GP40 229",Ex-Florida East Coast 453 < UP 887 < nee MKT GP40 229,,,
"SW1200 (EMD)
1200
28414
11/63
Ex-Conrail 9317 < nee Reading 2717","1200
28414
11/63
Ex-Conrail 9317 < nee Reading 2717","28414
11/63
Ex-Conrail 9317 < nee Reading 2717","11/63
Ex-Conrail 9317 < nee Reading 2717",Ex-Conrail 9317 < nee Reading 2717,,
"C30-7 (GE)
3601 - 3603
41663, 68 & 70
12/77
--","3601 - 3603
41663, 68 & 70
12/77
--","41663, 68 & 70
12/77
--","12/77
--",--,,
"3604, 05 & 07-08
41696, 701, 703 & 706
3,4,6,7/78
#3605 & 3607 sold to Montreal Maine & Atlantic","41696, 701, 703 & 706
3,4,6,7/78
#3605 & 3607 sold to Montreal Maine & Atlantic","3,4,6,7/78
#3605 & 3607 sold to Montreal Maine & Atlantic",#3605 & 3607 sold to Montreal Maine & Atlantic,,,
"3609 - 3611
41707, 690 & 693
4,3/78
#3610 & 3611 sold to Trans Gabonis RR","41707, 690 & 693
4,3/78
#3610 & 3611 sold to Trans Gabonis RR","4,3/78
#3610 & 3611 sold to Trans Gabonis RR",#3610 & 3611 sold to Trans Gabonis RR,,,
"3612 - 3614
41713, 20 & 23
5-6/78
#3612 sold to Trans Gabonis RR; 3613 & 3614 sold to Montreal Maine & Atlantic","41713, 20 & 23
5-6/78
#3612 sold to Trans Gabonis RR; 3613 & 3614 sold to Montreal Maine & Atlantic","5-6/78
#3612 sold to Trans Gabonis RR; 3613 & 3614 sold to Montreal Maine & Atlantic",#3612 sold to Trans Gabonis RR; 3613 & 3614 sold to Montreal Maine & Atlantic,,,
"3615
42407
5/79
#3615 sold to Trans Gabonis RR","42407
5/79
#3615 sold to Trans Gabonis RR","5/79
#3615 sold to Trans Gabonis RR",#3615 sold to Trans Gabonis RR,,,
"Lineage of 3600 Series C30-7s



FAIX < CRLX < ATSF
3601 < 500 < 8010
3602 < 504 < 8014
3603 < 505 < 8016
3604 < 513 < 8029
3605 < 516 < 8034



FAIX < CRLX < ATSF
3607 < 518 < 8036
3608 < 519 < 8037
3609 < 522 < 8040
3610 < 563 < 8023



FAIX < CRLX < ATSF
3611 < 564 < 8026
3612 < 565 < 8046
3613 < 566 < 8053
3614 < 567 < 8056
3615 < 568 < 8096






Locomotive data provided by Michael Richmond

Sources:   Andre Kristopans

Thanks to the following contributors/sources: Glenn Anderson (via Loco Notes), Simon Belanger, Jeff Horstman, and John Komanesky",Lineage of 3600 Series C30-7s,"FAIX < CRLX < ATSF
3601 < 500 < 8010
3602 < 504 < 8014
3603 < 505 < 8016
3604 < 513 < 8029
3605 < 516 < 8034","FAIX < CRLX < ATSF
3607 < 518 < 8036
3608 < 519 < 8037
3609 < 522 < 8040
3610 < 563 < 8023","FAIX < CRLX < ATSF
3611 < 564 < 8026
3612 < 565 < 8046
3613 < 566 < 8053
3614 < 567 < 8056
3615 < 568 < 8096","Locomotive data provided by Michael Richmond

Sources:   Andre Kristopans

Thanks to the following contributors/sources: Glenn Anderson (via Loco Notes), Simon Belanger, Jeff Horstman, and John Komanesky",
Lineage of 3600 Series C30-7s,,,,,,
"FAIX < CRLX < ATSF
3601 < 500 < 8010
3602 < 504 < 8014
3603 < 505 < 8016
3604 < 513 < 8029
3605 < 516 < 8034","FAIX < CRLX < ATSF
3607 < 518 < 8036
3608 < 519 < 8037
3609 < 522 < 8040
3610 < 563 < 8023","FAIX < CRLX < ATSF
3611 < 564 < 8026
3612 < 565 < 8046
3613 < 566 < 8053
3614 < 567 < 8056
3615 < 568 < 8096",,,,
"Locomotive data provided by Michael Richmond

Sources:   Andre Kristopans

Thanks to the following contributors/sources: Glenn Anderson (via Loco Notes), Simon Belanger, Jeff Horstman, and John Komanesky",,,,,,
Lineage of 3600 Series C30-7s,,,,,,
"FAIX < CRLX < ATSF
3601 < 500 < 8010
3602 < 504 < 8014
3603 < 505 < 8016
3604 < 513 < 8029
3605 < 516 < 8034","FAIX < CRLX < ATSF
3607 < 518 < 8036
3608 < 519 < 8037
3609 < 522 < 8040
3610 < 563 < 8023","FAIX < CRLX < ATSF
3611 < 564 < 8026
3612 < 565 < 8046
3613 < 566 < 8053
3614 < 567 < 8056
3615 < 568 < 8096",,,,
