Wells Fargo Rail (FURX),,
Road No.,Model,Date
1161,GP40-3,Jan-67
1162,GP40-3,Nov-71
1164 & 1165,GP40-3,Jul-66
1166 & 1167,GP40-3,Dec-66
1168 & 1169,GP40-3,Dec-70
1170 & 1171,GP40-3,Jun-71
1172-1174,GP40-3,Apr-67
1177-1179,GP40-3,Jul-70
2268 & 2273,GP40-3,Jun-69
2900-2913,GP50,May-80
2915-2939,GP50,Jun-80
2940-2942,GP50,Aug-80
"2943, 44 & 47-49",GP50,Sep-80
3000,SD40-2,Jun-70
3001 & 3002,SD40-2,May-70
3003 & 3004,SD40-2,May-69
3005 & 3006,SD40-2,Jan-70
3007 & 3011,SD40-2,Sep-66
3008 & 3016,SD40-2,Aug-70
3009 & 3010,SD40-2,Mar-70
3012,SD40-2,Feb-75
3014,SD40-2,Aug-66
3015,SD40-2,Nov-66
3013,SD40-2,Sep-71
3012 & 3014,SD40-2,Dec-70
3017-18 & 3022-23,SD40-2,Dec-70
"3019, 3024 & 3028-29",SD40-2,Feb-66
3021,SD40-2,Mar-80
3025,SD40-2,Mar-71
3030-3032,SD40-2,Jan-71
"3033, 35 & 37",SD40-2,Mar-66
"3034, 38 & 45",SD40-2,Feb-66
"3039, 40 & 41",SD40-2,May-67
3043 & 3046,SD40-2,May-70
"3042, 44 & 47",SD40-2,Feb-66
3048 & 3049,SD40-2,Jul-75
3064,SD40-2,Jan-66
3080,SD40-2,Jun-80
7081,SD40-2,
7207-25 & 27,SD40-2,Jun-80
7236-7245,SD40-2,Jan-80
7246-7262,SD40-2,Feb-80
7263-7291,SD40-2,Mar-80
7886,SD40-2,Apr-79
7924-7940,SD40-2,Apr-80
8090-8103,SD40-2,May-80
8104-8136,SD40-2,Jun-80
5514,GP38-2,Aug-71
5520,GP38-2,Sep-71
5550,GP38-2,
5551,GP38-2,Oct-69
5554,GP38-2,Mar-70
5560,GP38-2,
5568,GP38-2,
5569,GP38-2,Sep-69
5570,GP38-2,
5576,GP38-2,Oct-69
5577,GP38-2,
