0,1,2,3,4
Model,Road No.,Serial No.,Date,Notes
F59PH (EMD),520 - 525,A4745-4750,10/88,Locos overhauled for GO Transit
526 - 535,A4751-4760,11-12/88,,
F40PH-2 (EMD),900-905,836077-1 to 6,3/85,Locos overhauled for CalTrain
906-911,836077-7 to 12,4/85,,
912-917,836077-13 to 18,5/85,,
918 & 919,866171-1 & 2,12/87,,
GP38-2 (EMD),2201 & 2202,"36011, 35263",LLPX,Reblt for LLPX from Sou GP38 2763 & 2733
2383 - 2389,7,LLPX,Remanufactured from GP38/40,
3001 & 3002,"37425, 34898 5/71, 5/69 Ex-SOO 750 & 745","5/71, 5/69 Ex-SOO 750 & 745",Ex-SOO 750 & 745,
3003 & 3004,"A2149, A2570 9/66, 2/72 Ex-CP 5516 & 5571","9/66, 2/72 Ex-CP 5516 & 5571",Ex-CP 5516 & 5571,
3005 & 3006,"33401, 38920 5/68, 11/71 Ex-NdeM 8519 & 8563","5/68, 11/71 Ex-NdeM 8519 & 8563",Ex-NdeM 8519 & 8563,
3007 & 3011,"A2156, A2138 10, 7/66 Ex-CP 5523 & 5505","10, 7/66 Ex-CP 5523 & 5505",Ex-CP 5523 & 5505,
"3008 & 3016 36816, 36810 8/70 Ex-L&N 1246 & 1240","36816, 36810 8/70 Ex-L&N 1246 & 1240",8/70 Ex-L&N 1246 & 1240,Ex-L&N 1246 & 1240,
3009 & 3010,"36916, 34968 12/70, 7/69 Ex-PC 6260 & WM 7446","12/70, 7/69 Ex-PC 6260 & WM 7446",Ex-PC 6260 & WM 7446,
3012 & 3014,"74661-20, 32097 2/75, 8/66 Ex-C&NW 6910 & CGW 406","2/75, 8/66 Ex-C&NW 6910 & CGW 406",Ex-C&NW 6910 & CGW 406,
"3013 & 3015 37651, 32422 9/71, 11/66 Ex-UP 3095 & 3070","37651, 32422 9/71, 11/66 Ex-UP 3095 & 3070","9/71, 11/66 Ex-UP 3095 & 3070",Ex-UP 3095 & 3070,
3012 & 3014,"74661-20, 32097 12/70, 1/71 Ex-PC 6241, 6269 & 6263","12/70, 1/71 Ex-PC 6241, 6269 & 6263","Ex-PC 6241, 6269 & 6263",
"3017-18 & 3022-23 36913, 20, 03 & 17 12/70, 1/71 Ex-PC 6257, 64, 47 & 61","36913, 20, 03 & 17 12/70, 1/71 Ex-PC 6257, 64, 47 & 61","12/70, 1/71 Ex-PC 6257, 64, 47 & 61","Ex-PC 6257, 64, 47 & 61",
"3019, 3024 & 3028-29 31323, 291, 287 & 311 2/66 Ex-PRR 6078, 6046, 6042 & 6062","31323, 291, 287 & 311 2/66 Ex-PRR 6078, 6046, 6042 & 6062","2/66 Ex-PRR 6078, 6046, 6042 & 6062","Ex-PRR 6078, 6046, 6042 & 6062",
3021 786254-5 3/80 Ex-D&RGW SD40T-2 5402,786254-5 3/80 Ex-D&RGW SD40T-2 5402,3/80 Ex-D&RGW SD40T-2 5402,Ex-D&RGW SD40T-2 5402,
3025 37554 3/71 Ex-MP 781,37554 3/71 Ex-MP 781,3/71 Ex-MP 781,Ex-MP 781,
"3030-3032 36897, 925 & 919 12/70, 1/71 Ex-PC 6241, 6269 & 6263","36897, 925 & 919 12/70, 1/71 Ex-PC 6241, 6269 & 6263","12/70, 1/71 Ex-PC 6241, 6269 & 6263","Ex-PC 6241, 6269 & 6263",
"3033, 35 & 37 31320, 48 & 31 2,3,3/66 --","31320, 48 & 31 2,3,3/66 --","2,3,3/66 --",--,
"3034, 38 & 45 31299, 309 & 335 2,2,3/66 Ex-PC 6273, 6254 & 6270","31299, 309 & 335 2,2,3/66 Ex-PC 6273, 6254 & 6270","2,2,3/66 Ex-PC 6273, 6254 & 6270","Ex-PC 6273, 6254 & 6270",
"3039, 40 & 41 33161, 165 & 168 5/67 B&O 7482, 86 & 89","33161, 165 & 168 5/67 B&O 7482, 86 & 89","5/67 B&O 7482, 86 & 89","B&O 7482, 86 & 89",
"3043 & 3046 37429, 34761 5/71, 4/69 Ex-L&N 1232 and SOO 754","37429, 34761 5/71, 4/69 Ex-L&N 1232 and SOO 754","5/71, 4/69 Ex-L&N 1232 and SOO 754",Ex-L&N 1232 and SOO 754,
"3042, 44 & 47 31299, 309 & 335 2,2,3/66 Ex-PRR 6054, 6064 & 6090","31299, 309 & 335 2,2,3/66 Ex-PRR 6054, 6064 & 6090","2,2,3/66 Ex-PRR 6054, 6064 & 6090","Ex-PRR 6054, 6064 & 6090",
3048 & 3049 75615-10 & 2 7/75 --,75615-10 & 2 7/75 --,7/75 --,--,
3080 A3935 6/80 Ex-BNSF / BN 7226,A3935 6/80 Ex-BNSF / BN 7226,6/80 Ex-BNSF / BN 7226,Ex-BNSF / BN 7226,
3053 - 3072,20,GCFX,Remanufactured from SD40,
3073 - 3102,40,GCFX,Remanufactured from SD40,
3103 - 3152,50,CEFX,Remanufactured from SD40/45,
SD40-3 (EMD),6000-6001,"A2289, 2248","2/68, 9/67",Remanufactured from SD40 5037 & 5002
6002-6005,"A2377, 51, 38 & 2418","11,7,-,-/69","Reblt from CN SD40 5118, 5092, 5079 & 5159",
6006-6008,"A23393, 2343 & 2425","-/70, 4/69, 2/71","Reblt from CN SD40 5134, 5084 & 5165",
6009-6011,"A2325, 2285 & 2299","11,1,6/68","Reblt from CN SD40 5073, 5033 & 5047",
6012 & 6018,"A2261, 2266","10, 11/67",Reblt from CN SD40 5009 & 5014,
6013-6016,"A2311, 2297, 94 & 78","8,5,4,1/68","Reblt from CN SD40 5059, 5045, 5042 & 5026",
"6017, 19 & 20","A2370, 35 & 73","-, 2, -/69","Reblt from CN SD40 5111, 5076 & 5114",
6021 & 6025,"A2588, 2431","11, -/71",Reblt from CN SD40 5226 & 5172,
6022 & 6024,"A2291, 2281","3, 1/68",Reblt from CN SD40 5039 & 5029,
6023 & 26-28,"A2358, 82, 72 & 83",1969,"Reblt from CN SD40 5099, 5123, 5113 & 5123",
6031-32 & 34-35,"A2493, 32, 2519, 2415","4,3,8,3/71","Reblt from CN SD40 5176, 5173, 5202 & 5156",
"6033, 6036 & 6041","A2379, 74 & 84","-,-,12/69/71","Reblt from CN SD40 5120, 5115 &  5125",
6037-6040,"A2381, 2515, -, -",1969 & 71,"Reblt from CN SD40 #?, 5198, ?, ?",
"6042, 45 & 46","A2493, 32, 2519, 2415","4,3,8,3/71","Reblt from CN SD40 5176, 5173, 5202 & 5156",
6043-6044,"A2394, 2402","7, 3/70",Reblt from CN SD40 5135 & 5143,
6045-6048,"A2529, 11, 36 & 23","9,5,10,9/71/71","Reblt from CN SD40 5212, 5194, 5219 & 5106",
6049,A2357,1969,Reblt from CN SD40 5098,
6050-6053,"A2507, 12, 98 & 09","-,-,-,5/71","Reblt from CN SD40 5190, 5195, 5236 & 5192",
6054-6057,"A2528, 33, 2600 & 2510","9,9,12,5/71","Reblt from CN SD40 5211, 5216, 5238 & 5193",
"6058, 6062 & 6064","A2369, 45 & 71","-, 4, -/69","Reblt from CN SD40 5110, 5086 & 5112",
6065 & 6069,"A2516, 2429","-, 4/71",Reblt from CN SD40 5199 & 5170,
6066-6068,"A2386, 2417 & 2405","-,1,1/70","Reblt from CN SD40 5127, 5158 & 5146",
6069 & 6072,A2429 & 2396,"4/71, 1/70",Reblt from CN SD40 5170 & 5137,
6074 & 6076,"A2341, 2407","3/69, -/70",Reblt from CN SD40 5082 & 5148,
6075 & 77-79,"A2428, 2593, 2496 & 2408",1971,"Reblt from CN SD40 5169, 5231, 5179 & 5170",
SD40-2 (EMD),6600 & 6601,"A2347, 2531","5/69, 9/71","Reblt for KCS from CN SD40 5088, 5214"
6602-6605,"A2354, 48-9 & 44","6,5,5,4/69","Reblt for KCS from CN SD40 5095,5089, 5090 & 5085",
6606-6608,"A2406, 2350 & 2365","5/70, 7,10/69","Reblt for KCS from CN SD40 5147, 5091 & 5106/td>",
6609-6611,"A2416, 2353 & 2423","5/70, 6/69, 2/72","Reblt for KCS from CN SD40 5157, 5094 & 5164",
6612-6616,"A2367, 76, 2414, 2352 & 56","5,5,5,8,9/69","Reblt for KCS from CN SD40 5108, 5117, 5155, 5093 & 5097",
6617-6620,"A2542, 38, 05 & 2430","11,10,5,3/71","Reblt for KCS from CN SD40 5225, 5221, 5188 & 5171",
6633  & 6634,"A2401, 2508","7,5/71",Reblt for KCS from CN SD40 5142 & 5191,
6638 & 6639,"A2520, 2522",8/71,Reblt for KCS from CN SD40 5201 & 5205,
SD40 (GMDD),6900 & 6901,"A2346, 2292","4/69, 1/68",Reblt for New Brunswick East Coast from CN SD40s 5057 & 5040
6904 & 6905,"A3373,2262","12, 10/67",Reblt for New Brunswick East Coast from CN SD40s 5020 & 5010,
SD40-2 (GMDD),7300 & 7301,"A2421, 2530","1, 9/71",Reblt for BNSF from CN SD40s 5162 & 5213
7302-7304,"35837, 34 & 36892",BNSF,"Reblt for BNSF from GTW (EMD-built) SD40s 5918, 15 & 26",
7305-7307,"A2288, 79, & 83","2,1,1/68","Reblt for BNSF from CN SD40s 5036, 5027 & 5031",
7308,A2400,2/70,Reblt for BNSF from CN SD40 5141,
7309-7311,"A2420, 2424 & 2495","1,2,4/71","Reblt for BNSF from CN SD40s 5161, 5165 & 5178",
7312-7314,"A2296, 234 & 2310","5,6,7/68","Reblt for BNSF from CN SD40s 5044, 5052 & 5058",
7315 & 7316,"A2364, 2380","10,1/69",Reblt for BNSF from CN SD40s 5105 & 5121,
7317-7319,"A2249, 50 & 53",9/67,"Reblt for BNSF from CN SD40s 5003, 5004 & 5007",
7320-7321,"A2391, 2315","12/69, 9/68",Reblt for BNSF from CN SD40s 5132 & 5063,
7322-7327,"A2264, 60, 68, 71, 74, 76",10-12/67,"Reblt for BNSF from CN SD40s 5012, 08, 16, 19, 22 & 24",
7328-7333,"A2284, 93, 2305, 06, 08 & 13",1-9/68,"Reblt for BNSF from CN SD40s 5032, 41, 53, 54, 56 & 61",
7334-7336,"A2318, 21 & 27",10-12/68,"Reblt for BNSF from CN SD40s 5066, 5069 & 5075",
7337-7339,"A2589, 97, & 2601",11-12/71,"Reblt for BNSF from CN SD40s 5227,5235 & 5239",
GP40-2 (GMDD),8011-8013,"A3230, 3197 & 3256",1975,"Reblt for Rocky Mountaineer from CN GP40-2Ws 9595, 9562, 9621, 9633 & 9635"
8014 & 8015,"A3428, 3430",3/76,,
