General Electric (GECX),,
Road No.,Model,Date
748 & 749,SD40-2/SD40T-2,Sep-79
"753, 756, & 757",SD40-2/SD40T-2,Sep-80
856,SD40-2/SD40T-2,Feb-79
2000 - 2002,B23-7,May-72
2866-2868,SD40-2/SD40T-2,Jun-74
2870 & 2874,SD40-2/SD40T-2,Sep-76
2872-2873,SD40-2/SD40T-2,Mar-78
2875-76 & 2878,SD40-2/SD40T-2,Feb-78
2879-2880,SD40-2/SD40T-2,Dec-78
2897,SD40-2/SD40T-2,Jan-77
3000 & 3001,C30-7,Jan-72
3002,C30-7,Oct-76
3003-3006,C30-7,Aug-74
"3007, 08 & 10",C30-7,Aug-74
3009,C30-7,May-72
4000 - 4009,AC4400CW,Mar-97
4700-4999,C44-9W,1998
"5958, 64-67 & 69",SD60,Sep-86
5986-5989,SD60,Sep-86
"5992, 93 & 98",SD60,Sep-86
6401 & 15,SD40-3,Mar-66
7001-7005,ET44AC-T4,
7006-7008,ET44AC-T4,
"7313, 14 & 20",ET44AC-T4,Jan-66
"31538, 29 & 17",7325,
7401,B39-8,Jan-84
7600 series,C40-8W,
7700 series,C40-8W,
7800 series,C40-8W,
7900 series,C40-8W,
8000 & 8001,B39-8E,Mar-88
8002,B40-8,Dec-88
"8015, 17, 21 & 22",C30-7,
"8025, 26 & 32",C30-7,
"8036, 44, 46, 50 & 52",C30-7,
8056 & 8057,C30-7,Oct-78
8058-8060,C30-7,Oct-78
"8066, 67, 69, 72 & 75-78",C30-7,Apr-79
"8079, 84 & 87",C30-7,May-79
"8089, 93, 95 & 96",C30-7,May-79
8099-8122,C30-7,May-80
8123-8152,C30-7,
"8308-10, 12 & 13",SD40T-2,Feb-78
8322,SD40T-2,Jan-78
"8350, 52 & 55",SD40T-2,Jun-74
"8359, 62 & 69",SD40T-2,Mar-78
"8492, 96, & 97",SD40T-2,Feb-78
"8528, 48, 56 & 60",SD40T-2,Jan-79
8644,SD40T-2,Jul-74
8649,SD40T-2,Jan-78
8650 & 8652,SD40T-2,Feb-78
8661,SD40T-2,Feb-79
8663 & 8664,SD40T-2,Jun-74
8670,SD40T-2,Mar-78
8678 & 8679,SD40T-2,Feb-78
9000-9006,B40-8,
9007-90014,B40-8,
9015-90024,B40-8,
"9026, 29, 30, 31 & 34",B40-8,
"9044, 45, 48, 49 & 50",B40-8,
9051-9054,B40-8,
"9055, 56 & 61",B40-8,
"9062, 63 & 66",B40-8,
"9068, 69, 73 & 74",B40-8,
9078-9081,C40-8,
9082 & 9083,C40-8,
9084-9086,C40-8,
9087-9091,C40-8,
9092-9095,C40-8,
9096-9100,C40-8,
9101-9106,C40-8,
9102-9106,C40-8,
9107-9110,C40-8,
9111-9113,C40-8,
9114-9116,C40-8,
9117-9119,C40-8,
9120-9122,C40-8,
"9124, 29, 30 &35",C40-8W,
9141-9144,C40-8W,
9147-9151,C40-8W,
"4781, 4791 & 4797",C44-9W,
"4809, 4827 & 4852",C44-9W,
LMX 8500-8599,B39-8,Jan-88
LMX 8503 (2nd) & 8540(2nd),B39-8,Apr-88
LMS 700-739,C40-8W,Oct-94
LMS 740-759,C40-8W,Sep-94
