0,1,2,3,4
Road No.,Model,Bldr & Date,Bldr Nmbr,Notes
717 NW2m EMD - 9/49 8025 Ex-GMTX 717 < SILX 1358 < Union Tank  NW2m 905 < Inman Service 905 < nee Georgia RR 905,NW2m EMD - 9/49 8025 Ex-GMTX 717 < SILX 1358 < Union Tank  NW2m 905 < Inman Service 905 < nee Georgia RR 905,EMD - 9/49 8025 Ex-GMTX 717 < SILX 1358 < Union Tank  NW2m 905 < Inman Service 905 < nee Georgia RR 905,8025 Ex-GMTX 717 < SILX 1358 < Union Tank  NW2m 905 < Inman Service 905 < nee Georgia RR 905,Ex-GMTX 717 < SILX 1358 < Union Tank  NW2m 905 < Inman Service 905 < nee Georgia RR 905
850 C420 Alco - 7/66 3463-01 Ex-LNAC 850 < IAIS 850 < GB&W 323 < CR 2075 < nee L&HR 27,C420 Alco - 7/66 3463-01 Ex-LNAC 850 < IAIS 850 < GB&W 323 < CR 2075 < nee L&HR 27,Alco - 7/66 3463-01 Ex-LNAC 850 < IAIS 850 < GB&W 323 < CR 2075 < nee L&HR 27,3463-01 Ex-LNAC 850 < IAIS 850 < GB&W 323 < CR 2075 < nee L&HR 27,Ex-LNAC 850 < IAIS 850 < GB&W 323 < CR 2075 < nee L&HR 27
921 GP18 EMD - 12/59 24930 Ex-GTW 4428,GP18 EMD - 12/59 24930 Ex-GTW 4428,EMD - 12/59 24930 Ex-GTW 4428,24930 Ex-GTW 4428,Ex-GTW 4428
1005 NW2 EMD - 9/48 6582 Ex-DRSX 1005,NW2 EMD - 9/48 6582 Ex-DRSX 1005,EMD - 9/48 6582 Ex-DRSX 1005,6582 Ex-DRSX 1005,Ex-DRSX 1005
1512 SW1200 EMD - 3/60 525744 Ex-COE Rail 1512 < GTW 1512,SW1200 EMD - 3/60 525744 Ex-COE Rail 1512 < GTW 1512,EMD - 3/60 525744 Ex-COE Rail 1512 < GTW 1512,525744 Ex-COE Rail 1512 < GTW 1512,Ex-COE Rail 1512 < GTW 1512
3001 SD40-2 GMD - 5/72 A2639 Ex-CP 5595,SD40-2 GMD - 5/72 A2639 Ex-CP 5595,GMD - 5/72 A2639 Ex-CP 5595,A2639 Ex-CP 5595,Ex-CP 5595
"3003 SD40-2 GMD 11/1974 A3116 Ex-NREX 3003, nee CP 5803","SD40-2 GMD 11/1974 A3116 Ex-NREX 3003, nee CP 5803","GMD 11/1974 A3116 Ex-NREX 3003, nee CP 5803","A3116 Ex-NREX 3003, nee CP 5803","Ex-NREX 3003, nee CP 5803"
4428 GP9 GMD - 8/54 19666 Ex-GTW 4428,GP9 GMD - 8/54 19666 Ex-GTW 4428,GMD - 8/54 19666 Ex-GTW 4428,19666 Ex-GTW 4428,Ex-GTW 4428
4433 GP9 GMD - 8/54 19671 Ex-GTW 4433,GP9 GMD - 8/54 19671 Ex-GTW 4433,GMD - 8/54 19671 Ex-GTW 4433,19671 Ex-GTW 4433,Ex-GTW 4433
"Abbreviations: CP - Canadian Pacific CR - ConrailGB&W - Green Bay & WesternIAIS - Iowa InterstateL&HR - Lehigh & Hudson RiverLLPX - Locomotive Leasing PartnersLNA&C - Louisville New Albany & CorydonNREX - National Railway Equipment Leasing  Additional contributors:  Ken Borg, Patrick Caauwee, Glen Gould, Walt Lankenau and Robert Van Derveer.",,,,
