Company,Abbr,Road No.,Model,Date
Georgetown Railroad Equipment,GREX,1001,SD60,Aug-87
Georgetown Railroad Equipment,GREX,1004,SD60,Aug-87
Georgetown Railroad Equipment,GREX,1008,SD60,Aug-87
Georgetown Railroad Equipment,GREX,1010,SD60,Aug-87
Georgetown Railroad Equipment,GREX,13-Sep,GP38-2,Jan-72
Georgetown Railroad Equipment,GREX,5003,GP38-2,Jan-72
Georgetown Railroad Equipment,GREX,5196,GP38-2,Oct-76
Georgetown Railroad Equipment,GREX,5227,GP38-2,Jan-77
Georgetown Railroad Equipment,GREX,6008,SD60,Aug-87
Georgetown Railroad Equipment,GREX,6768,SD60M,
Georgetown Railroad Equipment,GREX,6786,SD60M,Mar-93
Georgetown Railroad Equipment,GREX,6814,SD60M,Dec-89
