0,1,2,3,4
Model,Road No.,Serial Nmbr,Date,Notes
"GP38-2
163 & 164
75614-1 & 2
8/75
Ex-KCS 4032-33 < NS 5163-64 < nee Southern 5163-64","163 & 164
75614-1 & 2
8/75
Ex-KCS 4032-33 < NS 5163-64 < nee Southern 5163-64","75614-1 & 2
8/75
Ex-KCS 4032-33 < NS 5163-64 < nee Southern 5163-64","8/75
Ex-KCS 4032-33 < NS 5163-64 < nee Southern 5163-64",Ex-KCS 4032-33 < NS 5163-64 < nee Southern 5163-64
"SD40-2
900 - 904
756145-1 to 5
7/76
Ex-UP 3900-04 < MP 6000-04 < nee MP 3216-20","900 - 904
756145-1 to 5
7/76
Ex-UP 3900-04 < MP 6000-04 < nee MP 3216-20","756145-1 to 5
7/76
Ex-UP 3900-04 < MP 6000-04 < nee MP 3216-20","7/76
Ex-UP 3900-04 < MP 6000-04 < nee MP 3216-20",Ex-UP 3900-04 < MP 6000-04 < nee MP 3216-20
"GP40-2
3700-3715
34823-34838
2/69
Ex-B&O 3700-3715","3700-3715
34823-34838
2/69
Ex-B&O 3700-3715","34823-34838
2/69
Ex-B&O 3700-3715","2/69
Ex-B&O 3700-3715",Ex-B&O 3700-3715
"3716-3730
34839-34853
3/69
Ex-B&O 3716-3730","34839-34853
3/69
Ex-B&O 3716-3730","3/69
Ex-B&O 3716-3730",Ex-B&O 3716-3730,
"3731-3739
34854-34862
4/69
Ex-B&O 3731-3739","34854-34862
4/69
Ex-B&O 3731-3739","4/69
Ex-B&O 3731-3739",Ex-B&O 3731-3739,
"SD40-2
7349-7358
73687-1, 2, 3 & 5 to 11
6/74
Ex-GATX 9349-58 < GATX 7349 < Soo 6349-58 < nee Milw 182(2nd)-184(2nd) & 186(2nd)-192(2nd)","7349-7358
73687-1, 2, 3 & 5 to 11
6/74
Ex-GATX 9349-58 < GATX 7349 < Soo 6349-58 < nee Milw 182(2nd)-184(2nd) & 186(2nd)-192(2nd)","73687-1, 2, 3 & 5 to 11
6/74
Ex-GATX 9349-58 < GATX 7349 < Soo 6349-58 < nee Milw 182(2nd)-184(2nd) & 186(2nd)-192(2nd)","6/74
Ex-GATX 9349-58 < GATX 7349 < Soo 6349-58 < nee Milw 182(2nd)-184(2nd) & 186(2nd)-192(2nd)",Ex-GATX 9349-58 < GATX 7349 < Soo 6349-58 < nee Milw 182(2nd)-184(2nd) & 186(2nd)-192(2nd)
"7359-7362
73690-2, 5, 6 & 13
3/75
Ex-GATX 7359-62 < UP/MP 4165, 4168-69 & 4176 < nee MP 3165, 3168-69, 3176","73690-2, 5, 6 & 13
3/75
Ex-GATX 7359-62 < UP/MP 4165, 4168-69 & 4176 < nee MP 3165, 3168-69, 3176","3/75
Ex-GATX 7359-62 < UP/MP 4165, 4168-69 & 4176 < nee MP 3165, 3168-69, 3176","Ex-GATX 7359-62 < UP/MP 4165, 4168-69 & 4176 < nee MP 3165, 3168-69, 3176",
"7363-7367
73690-18, 20, 21, 22 & 28
3/75
Ex-GATX 7363-68 < UP/MP 4181, 4183-85 & 4191 < nee MP 3181, 3183-85 & 3191","73690-18, 20, 21, 22 & 28
3/75
Ex-GATX 7363-68 < UP/MP 4181, 4183-85 & 4191 < nee MP 3181, 3183-85 & 3191","3/75
Ex-GATX 7363-68 < UP/MP 4181, 4183-85 & 4191 < nee MP 3181, 3183-85 & 3191","Ex-GATX 7363-68 < UP/MP 4181, 4183-85 & 4191 < nee MP 3181, 3183-85 & 3191",
"7368-7369
73690-38 & 23
--
Ex-GATX 7367-69 < UP/MP 4201 & 4186 < nee MP 3201 & 3186","73690-38 & 23
--
Ex-GATX 7367-69 < UP/MP 4201 & 4186 < nee MP 3201 & 3186","--
Ex-GATX 7367-69 < UP/MP 4201 & 4186 < nee MP 3201 & 3186",Ex-GATX 7367-69 < UP/MP 4201 & 4186 < nee MP 3201 & 3186,
"7370-7373
74690-26, 27, 30 & 36
3/75
Ex-GATX 7369-73 < UP/MP 4189-90, 4193 & 4199 < nee MP 3189-90, 3193 & 3199","74690-26, 27, 30 & 36
3/75
Ex-GATX 7369-73 < UP/MP 4189-90, 4193 & 4199 < nee MP 3189-90, 3193 & 3199","3/75
Ex-GATX 7369-73 < UP/MP 4189-90, 4193 & 4199 < nee MP 3189-90, 3193 & 3199","Ex-GATX 7369-73 < UP/MP 4189-90, 4193 & 4199 < nee MP 3189-90, 3193 & 3199",
"7374 & 7375
73690-35 & 37
--
Ex-GATX 7374-75 < UP/MP 4167 & 4171 < nee MP 3167 & 3171","73690-35 & 37
--
Ex-GATX 7374-75 < UP/MP 4167 & 4171 < nee MP 3167 & 3171","--
Ex-GATX 7374-75 < UP/MP 4167 & 4171 < nee MP 3167 & 3171",Ex-GATX 7374-75 < UP/MP 4167 & 4171 < nee MP 3167 & 3171,
"7376-7378
74690-16, 35 & 37
3/75
Ex-GATX 7376-79 < UP/MP 4179, 4198 & 4200 < nee MP 3179, 3198 & 3200","74690-16, 35 & 37
3/75
Ex-GATX 7376-79 < UP/MP 4179, 4198 & 4200 < nee MP 3179, 3198 & 3200","3/75
Ex-GATX 7376-79 < UP/MP 4179, 4198 & 4200 < nee MP 3179, 3198 & 3200","Ex-GATX 7376-79 < UP/MP 4179, 4198 & 4200 < nee MP 3179, 3198 & 3200",
