The Helm Project (HELM),,,,,,
Road No.,Model,Date,,,,
HATX 100 & 101,GP38,Oct-67,,,,
HATX 102,GP38,Aug-70,,,,
HATX 103,GP38,Nov-67,,,,
HATX 104 & 107,GP38,Nov-67,,,,
HATX 108 & 111,GP38,Aug-70,,,,
HATX 112 & 115,GP38,Dec-67,,,,
HATX 118,GP38,Jul-70,,,,
HATX 175 & 176,GP38,May-71,,,,
HATX 178-180,GP38,May-71,,,,
HATX 351-353,SD39,Apr-70,,,,
HATX 401-403,GP40u,Sep-71,,,,
HATX 405-407,GP40u,Oct-66,,,,
HATX 408,GP40u,May-70,,,,
HATX 409,GP40u,Nov-66,,,,
HATX 410,GP40u,Sep-71,,,,
HATX 411,GP40u,Oct-66,,,,
HATX 414,GP40u,Dec-69,,,,
HATX 415,GP40u,Nov-66,,,,
HATX 416,GP40u,Jan-71,,,,
HATX 417,GP40u,Sep-67,,,,
HATX 419,GP40u,May-70,,,,
HATX 420,GP40u,Jan-66,,,,
HATX 422,GP40u,Jan-70,,,,
HATX 423,GP40u,Nov-66,,,,
HATX 424,GP40u,Jul-71,,,,
HATX 425,GP40u,Oct-71,,,,
HATX 426,GP40u,Feb-71,,,,
HATX 427 & 428,GP40u,May-70,,,,
HATX 429 & 430,GP40u,Oct-71,,,,
HATX 450-457,SD45E,Dec-69,,,,
HATX 452-453,SD45E,May-68,,,,
HATX 454-455,SD45E,Mar-69,,,,
HATX 456-457,SD45E,Nov-68,,,,
HATX 458-459,SD45E,Jan-69,,,,
HATX 460 & 461-463,SD45E,Apr-67,,,,
504(2nd) & 505(2nd),SD9,Feb-57,,,,
506 (2nd),SD40,Jun-66,,,,
HATX 500 & 502,GP40-2 / GP40,Dec-77,,,,
HATX 504-506,GP40-2 / GP40,Dec-77,,,,
"HATX 507, 509 & 510",GP40-2 / GP40,Dec-77,,,,
HATX 512-514,GP40-2 / GP40,Dec-77,,,,
HATX 515-517,GP40-2 / GP40,Dec-77,,,,
HATX 518-519,GP40-2 / GP40,Jun-71,,,,
HATX 520-521,GP40-2 / GP40,Aug-69,,,,
HATX 600,SD40,May-67,,,,
HATX 742,SD40M-2/40-2,May-69,,,,
HATX 751,SD40M-2/40-2,Aug-74,,,,
HATX 753 & 754,SD40M-2/40-2,Sep-69,,,,
HATX 800 & 801,GP40-3,Oct-71,,,,
HATX 802 & 803,GP40-3,Jan-67,,,,
HATX 804,GP40-3,Jan-70,,,,
HATX 805,GP40-3,Feb-70,,,,
HATX 806,GP40-3,Feb-67,,,,
HATX 900-902,SD45-2,Aug-74,,,,
"HATX 903, 907 & 908",SD45-2,Nov-72,,,,
HATX 904-906,SD40M-2,Aug-74,,,,
"HATX 909, 910 & 913",SD40M-2,Aug-74,,,,
HATX 914,SD40M-2,Nov-72,,,,
HATX 915 & 916,SD40M-2,Mar-69,,,,
HATX 917-919,SD40M-2,Dec-69,,,,
HATX 920-922,SD40M-2,Jan-67,,,,
HATX 923 & 924,SD40M-2,Jan-67,,,,
HATX 925 & 938,SD45T-2R,Jul-72,,,,
"HATX 926, 27, 29 & 32",SD45T-2R,Feb-72,,,,
"HATX 930, 31, 33 to 35",SD45T-2R,Mar-72,,,,
"HATX 936, 937 & 945",SD45T-2R,Mar-73,,,,
HATX 939-943,SD45T-2R,Mar-73,,,,
HATX 1522-1525,SD40M-2,Aug-74,,,,
HATX 1526,SD40M-2,Nov-72,,,,
HATX 4411,GP40-2,Nov-68,,,,
0007 & 0008,SW1200,Apr-58,,,,
82 & 83,SW1500,Dec-73,,,,
104,GP38,Dec-67,,,,
108,GP38,Nov-67,,,,
109,GP38,Aug-70,,,,
111,GP38,Aug-70,,,,
112,GP38,Nov-67,,,,
115,GP38,Dec-70,,,,
"118, 175 & 176",GP38,Dec-70,,,,
178-180,GP38,May-71,,,,
"200, 201 & 203",GP38-2 / GP38,Jan-73,,,,
"205, 209 & 210",GP38-2 / GP38,Apr-73,,,,
"256, 258, 263",GP38-2 / GP38,Apr-67,,,,
301,GP40,Sep-66,,,,
331,GP38-2,Jan-73,,,,
343,GP38-2,Jan-73,,,,
564-566,C36-7EM,May-79,,,,
567-571,C36-7EM,May-79,,,,
572-574,C36-7EM,Jul-79,,,,
577-577,C36-7EM,Jul-79,,,,
578-581,C36-7EM,Sep-78,,,,
582 & 583,C36-7EM,Jan-79,,,,
584-585,C36-7EM,Apr-79,,,,
586 (2nd),C36-7EM,Apr-79,,,,
587 (2nd),C36-7EM,Nov-77,,,,
588(2nd) & 589(2nd),C36-7EM,Dec-77,,,,
"590(2nd), 591-592",C36-7EM,May-79,,,,
593-595,C36-7EM,Mar-78,,,,
596-598,C36-7EM,Dec-78,,,,
599,C36-7EM,Nov-77,,,,
586-590,SDL39,Nov-72,,,,
600,SD40,Nov-77,,,,
650-654,GP40-3,Oct-67,,,,
655,GP40-3,Oct-67,,,,
655,GP40-3,Feb-72,,,,
657-661,GP40-3,Dec-78,,,,
662-664,GP40-3,Nov-66,,,,
665 & 667,GP40-3,Jul-71,,,,
670-672,SD40-2,Aug-76,,,,
673 & 674,SD40-2,Aug-76,,,,
675 & 676,SD40-2,Aug-76,,,,
901,GP38-3 / GP38-2,Oct-67,,,,
919,GP38-3 / GP38-2,Feb-70,,,,
992,GP38-3 / GP38-2,Mar-79,,,,
"1000, 1001 & 1003",GP38-2/,"7/66, 9/67, 5/66",,,,
"1004, 1005 & 1009",GP38-2/,"2/67, 12/66, 10/66",,,,
"1007, 1008 & 1012",GP38M-2,Sep-67,,,,
"1006, 1010 & 1011",GP38M-2,"2/71, 12/69, 2/71",,,,
1013-1015,GP38M-2,"2/67, 10/69, 10/66",,,,
1016-1018,GP38M-2,"6, 10, 1/71",,,,
"1019, 1020 & 1026",GP38M-2,"6/70; 12, 11/69",,,,
1022 & 1023,GP38M-2,"9/71, 1/69",,,,
1027-1029,GP38M-2,Jan-66,,,,
1030-1033,GP38M-2,1/66; 4/70,,,,
1034-1036,GP38M-2,May-66,,,,
1037 & 1038,GP38M-2,"8, 10/67",,,,
"1039, 1040 & 1050",GP38M-2,Dec-68,,,,
1041 & 1042,GP38M-2,Dec-65,,,,
1043-1045,GP38M-2,Aug-67,,,,
1046-149,GP38M-2,"1/67, 10/66; 1/67",,,,
1052 & 1055,GP38M-2,Dec-65,,,,
1053 & 1054,GP38M-2,Nov-67,,,,
1056-1059,GP38M-2,Nov-69,,,,
"1060, 1061 & 1063",GP38M-2,Nov-69,,,,
"1062, 1069 & 1070",GP38M-2,Dec-68,,,,
"1064, 65, 67 & 68",GP38M-2,Nov-69,,,,
1072-1076,GP38M-2,-0.184382284,,,,
1078-81,GP38M-2,9/66; 2/67,,,,
"1082, 1086 & 1087",GP38M-2,8/9/1968,,,,
"1088, 1089 & 1093",GP38M-2,"11/71, 1/66, 9/68",,,,
The GP38-2s/GP38M-2s summarized in this section were built predominantly from GP40s,GP38M-2,,,,,
1204,SW1200,May-65,,,,
1212,SW1200,--,,,,
1219,SW1200,Sep-58,,,,
