company name,affiliation,former ID,industry type,city,state,address / directions,Phone #,Full Reporting Number,Reporting Mark,Reporting Number,locomotive serial number,locomotive model,Manufactured Date(MM/YY),Acquisition Date,HP
Hansen-Mueller,,,grain elelator / wharf,,,21st St E & Quebec Pier Rd.,  (715) 398-3541,ILSX 1378,ILSX,1378,18189,SW1,-53,,600
Area Aggregates â€“ Collinwood Materials Yard,(subs. Olen Corp.),,aggregates distribution yard,Cleveland ,,"606 E 52nd St, 44110",,HRZX 708,HRZX,708,16951,SW9,Dec-52,,1200
Williams Alaska Petroleum / Mapco,,,,Anchorage,Ak.,Ocean Dock Rd.    (in port area),,CLC 02113,CLC,2113,2113,S4,,2002,
Gadsden Industrial Park,,,,Gadsden,,,,,,,,GE 25ton,,,
Gadsden Industrial Park,,,,Gadsden,,,,,,,,GE 25ton,,,
Gadsden Industrial Park,,,,Gadsden,,,,,,,,GE 40ton,,,
Gadsden Industrial Park,,,,Gadsden,,,,,,,30880,GE 40ton,Nov-53,,
Gadsden Industrial Park,,,,Gadsden,,,,JLCX 2002,JLCX,2002,26949,GP20,Jan-62,,2000
Progress Rail Services,,,(car parts reclamation),Albertville,,"1800 Industrial Blvd.         (P.O. Box 1037, 35950)        ",[(256) 593-1261],,,,41997,B23-7,Jan-79,,2250
Progress Rail Services,,,(car parts reclamation),Albertville,,"1800 Industrial Blvd.         (P.O. Box 1037, 35950)        ",[(256) 593-1261],,,,42313,B23-7,Apr-79,,2250
Radius Recycling,,(formerly Schnitzer Steel),(scrap),Attalla,,Lake Rhea Rd. 35954                                , [(256) 538-7891],,,,,GE 45ton,,2000,
Martin Metals Co.,,,,Bessemer,,2100 Griffin Wheel Drive  (inside Griffin Wheel plant),      [428-0380] ,,,,15807,GE 25ton,Aug-42,,
U. S. Pipe & Foundry Co.  -  Bessemer Pipe Plt.,(subs. Forterra),,,,,"2023 St. Louis Ave., 35020  ",  [(205) 254-7682],,,,41108,GE 125ton,Dec-79,1999,
American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],,,,,Mancha,May-43,,
American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],,,,,Greensburg battery electric,Dec-44,,
American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],,,,,Warren 8ton,-2,,
American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],,,,,Warren 8ton,-3,,
American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],,,,28242,GE 80ton,Sep-45,2002,
American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],,,,,MP15,Feb-80,2000,
American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],GMTX 201,GMTX,201,74641,MP15,,,
American Cast Iron Pipe Co. / ACIPCO,,,,Birmingham,,2930 16th St. N       (P. O. Box 2727  35202)     ,  [(205) 325-7701],GMTX 202,GMTX,202,74641,MP15,,,
CMC   (Commercial Metals Co.)    ,,(formerly SMI Steel),  (steel mill) ,,,"101 50th St. S, 35212",  [(205) 592-8981],LOCX 1005,LOCX,1005,,SW8,,,800
CMC   (Commercial Metals Co.)    ,,(formerly SMI Steel),  (steel mill) ,,,"101 50th St. S, 35212",  [(205) 592-8981],LOCX 1226,LOCX,1226,18846,SW9m,Dec-53,2016,
CMC   (Commercial Metals Co.)    ,,(formerly SMI Steel),  (steel mill) ,,,"101 50th St. S, 35212",  [(205) 592-8981],LOCX 150,LOCX,150,10243,SW7,Dec-50,,1200
CMC   (Commercial Metals Co.)    ,,(formerly SMI Steel),  (steel mill) ,,,"101 50th St. S, 35212",  [(205) 592-8981],,,,12302,NW2,-49,,1000
Grain Craft,,(formerly Milner Milling),,,,"700 Milner Rd., 35214   (off Sandusky Rd.)",(205) 798-2360,,,,25399,SD24d,Jul-59,,
SMI Steel    (subs. Commercial Metal Co.)     ,,(formerly Conner Steel),  (steel mill) ,,,101 50th St. S       ,  [592-8981],,,,31449,GE 80ton,-53,,
SMI Steel    (subs. Commercial Metal Co.)     ,,(formerly Conner Steel),  (steel mill) ,,,101 50th St. S       ,  [592-8981],,,,38933,GE 80ton,May-73,,
Container Corp. of America,,,,Brewton,,US 31                  , [(251) 867-6231],,,,81166,NW2,Sep-46,,1000
Frit Car & Equipment ,,,  (railcar repair),,,"   US 31, 36426          (P.O. Box 1390, 36427)          ",  [(251) 867-7752],,,,31814,GE 65ton,Jan-53,,
Frit Car & Equipment ,,,  (railcar repair),,,"   US 31, 36426          (P.O. Box 1390, 36427)          ",  [(251) 867-7752],,,,,GE 65ton,,,
T. R. Miller Mill Co. ,,, (lumber treating),,,"(P.O. Box 708, 36427)   ", [(251) 867-4331],2nd,,,33023,GE 45ton,Oct-58,,
T. R. Miller Mill Co. ,,, (lumber treating),,,"(P.O. Box 708, 36427)   ", [(251) 867-4331],,,,15739,GE 65ton,Dec-42,,
SABIC Innovative Plastics US LLC,,(formerly GE Plastics),,Burkeville,,"1 Plastics Ave.  (off SR 37, ~ 10 M SW of Montgomery)",,Corman 1356,Corman,1356,16384,GP7,-52,,1500
Argos USA LLC,,,cement plant,Calera,,8039 SR 25 W,  (800) 331-0022,,,,,"GP35m Ex Omaha, Lincoln & Beatrice #47",,2023,
Conrad Yelvington Distributors,,,quarry,,,,,,,,,SD60I,May-95,2019,3800
Conrad Yelvington Distributors,,,quarry,,,,,,,,,SD60M,Dec-92,2019,3800
"O'Neil Transportation Services, Inc.",,"(formerly Transportation Services, Inc. )",,,,"1480 Woodbine Ave., 35040                  ", [(205) 668-0058],TRSX,,,32520,GE 80ton,Mar-56,,
Vulcan Materials   ,,,(gravel quarry),,,"1614 Hwy 84           (P.O. Box 999, 35040)       ", [(205) 668-2492],FURX 5501,FURX,5501,35628,GP38,Oct-71,,2000
Vulcan Materials   ,,,(gravel quarry),,,"1614 Hwy 84           (P.O. Box 999, 35040)       ", [(205) 668-2492],FURX 5507,FURX,5507,,GP38-2,Oct-71,,2000
Outokumpu Stainless USA,,(formerly Inoxum / ThyssenKrupp),,Calvert,,"1 Steel Dr, 36513",,RLIX 2010,RLIX,2010,37376,GP38,Apr-71,,2000
Outokumpu Stainless USA,,(formerly Inoxum / ThyssenKrupp),,Calvert,,"1 Steel Dr, 36513",,RLIX 2025,RLIX,2025,33688,GP38,Nov-67,,2000
PowerSouth Energy - Plant Lowman,,(formerly Alabama Electric Co-Operative),electric generation,Carson  (Jackson) ,,Carson Rd.  (CR 34)     (opposite side of Tombigee River from Jackson)   ,,,,,30993,GE 80ton,Jun-51,1977,
Cherokee Nitrogen,(subs. LSB Ind.),,,Cherokee / (Vertagreen Station),,"1080 Industrial Dr., 35616  (~4 m. NE of ...)  ",(256) 359-7000,PRLX 2202,PRLX,2202,37065,SW1500,Feb-71,2019,1500
Coastal Mobile Refining Corp. ,,(formerly Belcher Refining),,Chickasaw,,"200 Viaduct Road, 36611                              ", [(251) 456-8491],,,,20119,SW1200,Jan-55,,1200
Alabama Power Co.  -  Joseph Farley Nuclear Plt.,(subs. Southern Co.),,,Columbia,,,,,,,28461,GE 45ton,May-46,1982,
Resolute Forest Products,,"(formerly AbitibiBowater, previously Bowater, previously Alliance Forest Prod., originally Coosa River Newsprint)",,Coosa Pines,,"17589 Plant Rd., 35044  (~3 M N of Childersburg)",(256) 378-5541,Corman 3851,Corman,3851,72704,GP38-2,Sep-72,2019,2000
"AlphaPet, Inc.",(subs. Indorama),,(petro chemicals),,,"Finley Island Road, 35601  ",,CLCX 2112,CLCX,2112,,S4,,2017,
Gavilon Grain,,,,,,"1030 State Docks Rd NW, 35601",(256) 686-7030,,,,20105,GP9,Jan-55,2012,1750
Nucor Steel Decatur,,,cold rolling mill,,,"3401 Process  Road, 35601      (W. of...)            ", [(256) 584-7500],,,,,SW1000,,,1000
Schnitzer Southeast,,,,,,2101 Columbia Hwy.. 36303,(334) 671-3680,,,,31682,GE 25ton,Sep-52,,
"Tube City, Inc. / TMS",,,scrap yard,Fairfield,,"123 Scrap Yard Road, 35064             ",[(205) 781-3629],JRWX 137,JRWX,137,75662,S2,Mar-48,,
Imerys Pigments Inc.      ,,(formerly ECCI American Calcium Products),,Gantts Quarry  (Sylacauga),,"2412 Hill Road, 35151         ",  [(256) 249-4901],,,,39166,GE 1105on,,2002,
Kodiak Mining,(subs. Attila Resources,,coal mine,Gurnee Jct.,,(@ ~8500 CR 270),,,,,29856,SD35d,Mar-65,,
Jetplex / International Intermodal Center of Alabama / Huntsville-Madison County Airport Authority,,,,Huntsville,,,[772-7084],,,,23539,SW900m,Aug-57,,
Jetplex / International Intermodal Center of Alabama / Huntsville-Madison County Airport Authority,,,,Huntsville,,,[772-7084],,,,79052,RS1,Jul-51,,
Tyson Foods,,(formerly Tyson RR),(poultry feed mill)  ,Ivalee   (Attalla),,"Walnut Grove Hwy.                (Rt 1/Box 322, 35954)                               [(256) 538-0866]",,,,,25895,SW900,Jun-60,,900
Vulcan Materials - Notasulga Quarry,,(formerly Florida Rock ),,Loachapoka,,"(~ 2 mi. W of..., off SR 14)",,CLCX 6120,CLCX,6120,,GP9 Formerly Florida Rock,,,
Vulcan Materials - Notasulga Quarry,,(formerly Florida Rock ),,Loachapoka,,"(~ 2 mi. W of..., off SR 14)",,CLCX 6121,CLCX,6121,,GP9 Formerly Florida Rock,,,
Olin Corp. - Chlor Alkali Products Div. â€“ McIntosh Plant,,,,,,"1638 Industrial Road          (P.O. Box  28, 36553)        ",     [(251) 944-2231],WAMX 4003,WAMX,4003,,GP40-2LW,Mar-74,2018,3000
Georgia Pacific Corp.,,(formerly Fort James Corp.),(paper mill),Naheola,,,,RS 105,RS,105,14740,GP7,,1997,1500
Georgia Pacific Corp.,,(formerly Fort James Corp.),(paper mill),Naheola,,,,RS 1812,RS,1812,13372,GP7,Jan-51,,1500
Heckett Multi Serve,,,,(near Birmingham),,,,,,,,SW7,-50,2004,1200
Alabama Railcar Services,,(formerly  Frit Car),  (railcar repair)      ,Ozark,,"Jodie Parker Rd., 36360     (off Marley Mill Road) ",  [(334) 774-2621],,,,35667,GE 25ton,Feb-66,,
Pilgrim's Pride,,,feed mill,Pinckard,,"1042 Forest Dr., 36350    (1 Mi. NNW of...)",(334) 984-2213,,,,,S2,,,
