,index,Company,Abbr,Road No.,Model,Date,HP
0,0,Anderson Inc,AEX,41,S6,Apr-56,
1,1,Anderson Inc,AEX,100000,GP38-2,Mar-74,2000.0
2,2,Anderson Inc,AEX,100001,GP40,Jul-71,3000.0
3,3,Anderson Inc,AEX,100002,GP40,Apr-70,3000.0
4,4,Anderson Inc,AEX,100004,GP40-2W,May-76,
5,5,Anderson Inc,AEX,100005,GP40-2L,Sep-74,
6,6,Anderson Inc,AEX,100007,GP40-2W,Jan-77,
7,7,Anderson Inc,AEX,100008,SD40,Jan-71,3000.0
8,8,Anderson Inc,AEX,100009,SW14,Jul-51,1000.0
9,9,Anderson Inc,AEX,100010-100011,SW1500,"3/68, 7/69",1500.0
10,10,Anderson Inc,AEX,100012-100013,SW1500,--,1500.0
11,11,Anderson Inc,AEX,100014,SW1500,GMD,1500.0
12,12,Anderson Inc,AEX,100015,SW1200,Dec-53,1200.0
13,13,Anderson Inc,AEX,100016,GP40-2LW,GMD,3000.0
14,14,Anderson Inc,AEX,100017,C40-8M,Mar-94,
15,15,Anderson Inc,AEX,100018,C40-8M,Mar-94,
16,16,Anderson Inc,AEX,100019,C40-8M,Mar-94,
17,17,Anderson Inc,AEX,100020,SD40-3,Apr-68,
18,18,Anderson Inc,AEX,999992,SW1200,Apr-65,1200.0
19,19,Anderson Inc,AEX,999993,SW1200,Apr-65,1200.0
20,20,Anderson Inc,AEX,999994,GP40-2L,Apr-74,
21,21,Anderson Inc,AEX,999995,GP40-2LW,Aug-75,3000.0
22,22,Anderson Inc,AEX,999996,GP40-2LW,Feb-77,3000.0
23,23,Anderson Inc,AEX,999998,GP38-3,Mar-74,
24,24,Anderson Inc,AEX,999999,GP38-3,Mar-74,
25,0,Allied Service Division Roster,ASDX,9033,SD40M-2,Jun-70,
26,1,Allied Service Division Roster,ASDX,9034,SD40M-2,Dec-67,
27,2,Allied Service Division Roster,ASDX,9035,SD40M-2,Jan-68,
28,3,Allied Service Division Roster,ASDX,9046,SD40M-2,Mar-71,
29,0,Atell Group,ATGX,ATGX 5051,C30-7,Mar-80,3000.0
30,1,Atell Group,ATGX,ATGX 5510,C30-7,Jul-77,3000.0
31,2,Atell Group,ATGX,ATGX 5513,C30-7,Jul-77,3000.0
32,3,Atell Group,ATGX,ATGX 5515 & 5517,C30-7,May-77,3000.0
33,4,Atell Group,ATGX,"ATGX 5520-22, 25-26, & 28",C30-7,Jun-77,3000.0
