,Company Name,Reporting Mark,Reporting Number,index,Unit Number,Notes,Model,Serial Number,HP
0,0.0,0.0,0.0,0,AAR 7,blt 12/44 as John Morrell Meat Packers 7,S1,72849.0,
1,0.0,0.0,0.0,1,AAR X-100,AAR Rail Inspection Car; Power Unit.,UNKNOWN,,
2,0.0,0.0,0.0,2,AAR X-101,AAR Rail Inspection Car; Test Unit.,UNKNOWN,,
3,0.0,0.0,0.0,3,AAR X-104,AAR Rail Inspection Car; Test Unit.,UNKNOWN,,
4,0.0,0.0,0.0,4,AAR 112,,UNKNOWN,,
5,0.0,0.0,0.0,5,AAR X-201,AAR Rail Inspection Car; Power Unit.,UNKNOWN,,
6,0.0,0.0,0.0,6,AAR X-202,AAR Rail Inspection Car; Test Unit.,UNKNOWN,,
7,0.0,0.0,0.0,7,AAR 1551,,MP15DC,,1500.0
8,0.0,0.0,0.0,8,AAR 2000,ex-HATX 407,GP40,31777.0,3000.0
9,0.0,0.0,0.0,9,AAR 3013,,GP40,,3000.0
10,0.0,0.0,0.0,0,AARX 5,Former ASF No 5,60Tonner,15093,
11,0.0,0.0,0.0,1,AARX 15,,AC44CW,57064,
12,0.0,0.0,0.0,2,AARX 17,Cartier.,AC44CW,57066,
13,0.0,0.0,0.0,3,AARX 18,Cartier.,AC44CW,53388,
14,0.0,0.0,0.0,4,AARX 26,"at JDHX. ex ATSF 2260, ex ATSF 2900, ex ATSF 700",GP9,21570,1750.0
15,0.0,0.0,0.0,5,AARX 143,"Ex MTSX, INLX",SC15-A,,
16,0.0,0.0,0.0,6,AARX 145,Sold to PRLX,SC15-A,,
17,0.0,0.0,0.0,7,AARX 146,"Ex Mittal, Inland Steel 146",SC15-A,,
18,0.0,0.0,0.0,8,AARX 149,,GP38,33072,2000.0
19,0.0,0.0,0.0,9,AARX 301,To Mittal Steel,SW1500,4626-1,1500.0
20,0.0,0.0,0.0,10,AARX 302,ex-PLE 1559 *Scrapped*,SW1500,38468,1500.0
21,0.0,0.0,0.0,11,AARX 303,,SW1500,,1500.0
22,0.0,0.0,0.0,12,AARX 304,mittal Steel Ex Wierton Steel,SW1500,,1500.0
23,0.0,0.0,0.0,13,AARX 310,Mittal Steel Ex Wierton Steel,SW1500,,1500.0
24,0.0,0.0,0.0,14,AARX 314,,SW1500,,1500.0
25,0.0,0.0,0.0,15,AARX 316,Mittal Steel Ex Wierton Steel,SW1500,,1500.0
26,0.0,0.0,0.0,16,AARX 568,ex-GOT,F59PH,926354-7,3000.0
27,0.0,0.0,0.0,17,AARX 735,ex-NYC,SW1,1261,600.0
28,0.0,0.0,0.0,18,AARX 803,"ex-MTSX 803, ex-ISG 803",SW8,18295,800.0
29,0.0,0.0,0.0,19,AARX 926,,SW1500,,1500.0
30,0.0,0.0,0.0,20,AARX 1822,"Anon 1822 is frame # 5087-2, b",GP16,13899,1600.0
31,0.0,0.0,0.0,21,AARX 2000,,GP40,,3000.0
32,0.0,0.0,0.0,22,AARX 2101,ex-ATSF,GP7u,17010,
33,0.0,0.0,0.0,23,AARX 2107,Modoc Railroad Academy,44Tonner,,
34,0.0,0.0,0.0,24,AARX 2608,"Modoc Rail Academy. Sold to CTRR, to MALX",GG20B,20154,
35,0.0,0.0,0.0,25,AARX 4934,ex-PRR,GG1,4431,
36,0.0,0.0,0.0,26,AARX 6408,ex-UP,SD40-2,786170-5,3000.0
37,0.0,0.0,0.0,27,AARX 6411,ex-UP,SD40-2,786170-31,3000.0
38,0.0,0.0,0.0,28,AARX 6621,ex-ATSF,SD45,35013,3600.0
39,0.0,0.0,0.0,29,AARX 6634,Ex WC,SD45,36660,3600.0
40,0.0,0.0,0.0,30,AARX 6640,ex WC,SD45,32553,3600.0
41,0.0,0.0,0.0,31,AARX 8174,ex-UP,GP10,19230,1800.0
42,0.0,0.0,0.0,32,AARX 9593,blt as Meadow River Lumber 8,70Tonner,32815,
43,0.0,0.0,0.0,33,AARX 11144,*Scrapped*,CF7,13712,1500.0
44,0.0,0.0,0.0,34,AARX 11145,,CF7,7756,1500.0
45,0.0,0.0,0.0,0,ABEX WHITCOMB,,45 Tonner,60329,
46,0.0,0.0,0.0,1,ABEX 1,"blt 9/43, American Brake Shoe 45DE27b",45 Tonner,60329,
47,0.0,0.0,0.0,2,ABEX 1752,"ex-MJRX, CIND, CERA, BN nee-GN",GP10,11042,1800.0
