Company,Abbr,Model,Road No.,Date
Locomotive Leasing Partners,LLPX,SW1001,65-69,
Locomotive Leasing Partners,LLPX,SW1001,70-73 & 74-77,
Locomotive Leasing Partners,LLPX,SW1001,80-89,
Locomotive Leasing Partners,LLPX,SW1001,90-99,
Locomotive Leasing Partners,LLPX,SW1500 / MP15,103-106,
Locomotive Leasing Partners,LLPX,SW1500 / MP15,115-116,
Locomotive Leasing Partners,LLPX,SW1500 / MP15,120-121,
Locomotive Leasing Partners,LLPX,SW1500 / MP15,"122, 24-28",
Locomotive Leasing Partners,LLPX,SW1500 / MP15,131-35 & 138-44,
Locomotive Leasing Partners,LLPX,SW1500 / MP15,147-149,
Locomotive Leasing Partners,LLPX,SW1500 / MP15,150-158,
Locomotive Leasing Partners,LLPX,SW1500 / MP15,159,
Locomotive Leasing Partners,LLPX,SW1500 / MP15,"160, 162 & 166",
Locomotive Leasing Partners,LLPX,SW1500 / MP15,168,
Locomotive Leasing Partners,LLPX,SW1500 / MP15,170-181,
Locomotive Leasing Partners,LLPX,SW1500 / MP15,205,
Locomotive Leasing Partners,LLPX,SW1500 / MP15,206-215,
Locomotive Leasing Partners,LLPX,SW1500 / MP15,304,
Locomotive Leasing Partners,LLPX,SW1500 / MP15,308-309,
Locomotive Leasing Partners,LLPX,SW1500 / MP15,"312, 316 & 318",
Locomotive Leasing Partners,LLPX,GP15-1,401-405 & 409,
Locomotive Leasing Partners,LLPX,GP15-1,"411-413, 415 & 427-28",
Locomotive Leasing Partners,LLPX,GP15-1,429,
Locomotive Leasing Partners,LLPX,GP15-1,499,
Locomotive Leasing Partners,LLPX,SW900/1200,505,
Locomotive Leasing Partners,LLPX,SW900/1200,507,
Locomotive Leasing Partners,LLPX,MP15,930,
Locomotive Leasing Partners,LLPX,GP15-1,1501-1512,
Locomotive Leasing Partners,LLPX,GP15-1,1516-1520,
Locomotive Leasing Partners,LLPX,GP15-1,1516-1520,
Locomotive Leasing Partners,LLPX,GP38,2001 & 2002,Oct-69
Locomotive Leasing Partners,LLPX,GP38,2003,
Locomotive Leasing Partners,LLPX,GP38,2004-07,Sep-69
Locomotive Leasing Partners,LLPX,GP38,2008 & 2009,Dec-66
Locomotive Leasing Partners,LLPX,GP38,2010 & 2011,Aug-70
Locomotive Leasing Partners,LLPX,GP38,2012 & 2013,Jun-69
Locomotive Leasing Partners,LLPX,GP38,2014 & 2015,Jul-70
Locomotive Leasing Partners,LLPX,GP38,2016 & 2018,Jul-69
Locomotive Leasing Partners,LLPX,GP38,2017 & 2019,Mar-71
Locomotive Leasing Partners,LLPX,GP38,2020,Oct-67
Locomotive Leasing Partners,LLPX,GP38,2021 & 2022,Feb-71
Locomotive Leasing Partners,LLPX,GP38,2023 & 2024,Nov-67
Locomotive Leasing Partners,LLPX,GP38,2025-2027,Aug-70
Locomotive Leasing Partners,LLPX,GP38,2028-2030,Aug-70
Locomotive Leasing Partners,LLPX,GP38,#2030 scrapped,
Locomotive Leasing Partners,LLPX,GP38,2031-2033,Aug-69
Locomotive Leasing Partners,LLPX,GP38,2034,Mar-71
Locomotive Leasing Partners,LLPX,GP38,2035,Jul-70
Locomotive Leasing Partners,LLPX,GP38,2036,Dec-67
Locomotive Leasing Partners,LLPX,GP38,2037-2039,Apr-70
Locomotive Leasing Partners,LLPX,GP38,2040 & 2046,Oct-67
Locomotive Leasing Partners,LLPX,GP38,2041-2045,Mar-71
Locomotive Leasing Partners,LLPX,GP38,2047 & 2048,Aug-70
Locomotive Leasing Partners,LLPX,GP38,2049-2051,Oct-68
Locomotive Leasing Partners,LLPX,GP38,2052 & 2055,Aug-70
Locomotive Leasing Partners,LLPX,GP38,2053 & 2054,Jul-67
Locomotive Leasing Partners,LLPX,GP38,2080 & 2081,May-67
Locomotive Leasing Partners,LLPX,GP38-2,"2202, 2205 & 2206",Oct-70
Locomotive Leasing Partners,LLPX,GP38-2,2209,May-70
Locomotive Leasing Partners,LLPX,GP38-2,"2211, 12, & 13",May-70
Locomotive Leasing Partners,LLPX,GP38-2,2215,1970
Locomotive Leasing Partners,LLPX,GP38-2,2219 & 2220,May-70
Locomotive Leasing Partners,LLPX,GP38-2,2222 & 2225,Jul-71
Locomotive Leasing Partners,LLPX,GP38-2,2228-31 & 33,Aug-72
Locomotive Leasing Partners,LLPX,GP38-2,"2237, 39, 43 & 49",Jan-76
Locomotive Leasing Partners,LLPX,GP38-2,2260 & 2263,Feb-69
Locomotive Leasing Partners,LLPX,GP38-2,2263 & 2264,Aug-69
Locomotive Leasing Partners,LLPX,GP38-2,"2266, 2272",Aug-69
Locomotive Leasing Partners,LLPX,GP38-2,2271,Feb-66
Locomotive Leasing Partners,LLPX,GP38-2,2273 & 2275,Feb-66
Locomotive Leasing Partners,LLPX,GP38-2,"2277, 81 & 85",Jun-72
Locomotive Leasing Partners,LLPX,GP38-2,"2290, 87 & 88",Jul-72
