Company,Abbr,Model,Road No.,Date
"Locomotive Specialist, Inc.",LOSX,SW1,11,Aug-51
"Locomotive Specialist, Inc.",LOSX,SW9,141,Jan-53
"Locomotive Specialist, Inc.",LOSX,SW900,142(2nd),Mar-53
"Locomotive Specialist, Inc.",LOSX,SW9,144,Mar-51
"Locomotive Specialist, Inc.",LOSX,SW9,146,Jan-53
"Locomotive Specialist, Inc.",LOSX,SW900,147(2nd),
"Locomotive Specialist, Inc.",LOSX,SW1200,147(1st),Nov-54
"Locomotive Specialist, Inc.",LOSX,SW1200,149,May-53
"Locomotive Specialist, Inc.",LOSX,SW9,150,Jan-52
"Locomotive Specialist, Inc.",LOSX,SW1200,227,
"Locomotive Specialist, Inc.",LOSX,SW900,900,Sep-61
"Locomotive Specialist, Inc.",LOSX,SW900,901,Oct-61
"Locomotive Specialist, Inc.",LOSX,SW900,903,
"Locomotive Specialist, Inc.",LOSX,SW900,912,
"Locomotive Specialist, Inc.",LOSX,SW1001,1182,Nov-78
"Locomotive Specialist, Inc.",LOSX,MP15DC,1365,Jan-82
"Locomotive Specialist, Inc.",LOSX,MP15DC,1369,Jan-82
"Locomotive Specialist, Inc.",LOSX,SW14,1439,Apr-50
"Locomotive Specialist, Inc.",LOSX,SW1500,2488,Jun-68
