0,1,2,3,4,5,6,7,8,9,10
Model (& Bldr),Road No.,Serial Nmbr,Date,Notes,,,,,,
"B23-7 (GE)
3104
41801
1/78
Ex-SCL 5104","3104
41801
1/78
Ex-SCL 5104","41801
1/78
Ex-SCL 5104","1/78
Ex-SCL 5104",Ex-SCL 5104,,,,,,
"3972 & 4000
 41981, 43121
 9/78, 3/81
Sold to Illinois Railnet 6 & 7; ex-NS/Southern 3972 & 4000","41981, 43121
 9/78, 3/81
Sold to Illinois Railnet 6 & 7; ex-NS/Southern 3972 & 4000","9/78, 3/81
Sold to Illinois Railnet 6 & 7; ex-NS/Southern 3972 & 4000",Sold to Illinois Railnet 6 & 7; ex-NS/Southern 3972 & 4000,,,,,,,
"B30-7AB (GE)
4001
43976
6/82
Ex-BN 4001","4001
43976
6/82
Ex-BN 4001","43976
6/82
Ex-BN 4001","6/82
Ex-BN 4001",Ex-BN 4001,,,,,,
"5485, 5490 & 5491
41649, 41654, 41655
 12/77
Ex-BN 5485, 5490 and 5491 < nee SLSF 863, 868, 869","41649, 41654, 41655
 12/77
Ex-BN 5485, 5490 and 5491 < nee SLSF 863, 868, 869","12/77
Ex-BN 5485, 5490 and 5491 < nee SLSF 863, 868, 869","Ex-BN 5485, 5490 and 5491 < nee SLSF 863, 868, 869",,,,,,,
"C30-7 (GE)
5501- 5506
41401-41406
12/76
Ex-BN 5501-5506","5501- 5506
41401-41406
12/76
Ex-BN 5501-5506","41401-41406
12/76
Ex-BN 5501-5506","12/76
Ex-BN 5501-5506",Ex-BN 5501-5506,,,,,,
"B36-7 (GE)
7771 & 7773
42784, 42785
1/80
#7771 scrapped, 7773 sold to Progress Rail Services; Ex-SP 7771 & 7773","7771 & 7773
42784, 42785
1/80
#7771 scrapped, 7773 sold to Progress Rail Services; Ex-SP 7771 & 7773","42784, 42785
1/80
#7771 scrapped, 7773 sold to Progress Rail Services; Ex-SP 7771 & 7773","1/80
#7771 scrapped, 7773 sold to Progress Rail Services; Ex-SP 7771 & 7773","#7771 scrapped, 7773 sold to Progress Rail Services; Ex-SP 7771 & 7773",,,,,,
"C30-7 (GE)
8021 & 8032
42036, 42047
 12/78
Ex-NS 8021 & 8032 < nee N&W 8021 & 8032","8021 & 8032
42036, 42047
 12/78
Ex-NS 8021 & 8032 < nee N&W 8021 & 8032","42036, 42047
 12/78
Ex-NS 8021 & 8032 < nee N&W 8021 & 8032","12/78
Ex-NS 8021 & 8032 < nee N&W 8021 & 8032",Ex-NS 8021 & 8032 < nee N&W 8021 & 8032,,,,,,
"8099 & 8102-8119
 42500 & 42503-20
 5/80
--","42500 & 42503-20
 5/80
--","5/80
--",--,,,,,,,
"8138, 8149 & 8152
43565, 76 & 79
6, 7, 7/81 
EX-ATSF 8138, 8149 & 8152","43565, 76 & 79
6, 7, 7/81 
EX-ATSF 8138, 8149 & 8152","6, 7, 7/81 
EX-ATSF 8138, 8149 & 8152","EX-ATSF 8138, 8149 & 8152",,,,,,,
"8166
44080
12/82
EX-ATSF 8166","44080
12/82
EX-ATSF 8166","12/82
EX-ATSF 8166",EX-ATSF 8166,,,,,,,
"SF30C (ATSF)
9508-09 & 9511
38891, 38885 & 38462
 3, 3/73 & 6/72
Ex-ATSF ATSF 8729, 8723 & 8707","9508-09 & 9511
38891, 38885 & 38462
 3, 3/73 & 6/72
Ex-ATSF ATSF 8729, 8723 & 8707","38891, 38885 & 38462
 3, 3/73 & 6/72
Ex-ATSF ATSF 8729, 8723 & 8707","3, 3/73 & 6/72
Ex-ATSF ATSF 8729, 8723 & 8707","Ex-ATSF ATSF 8729, 8723 & 8707",,,,,,
"9512 & 9514-15
38886, 38877 & 38460
 3, 3/73 & 6/72
Ex-ATSF ATSF 8724, 8725 & 8705","38886, 38877 & 38460
 3, 3/73 & 6/72
Ex-ATSF ATSF 8724, 8725 & 8705","3, 3/73 & 6/72
Ex-ATSF ATSF 8724, 8725 & 8705","Ex-ATSF ATSF 8724, 8725 & 8705",,,,,,,
"9516-9518
38879, 38464 & 38469
3/73 & 6, 7/72
Ex-ATSF ATSF 8717, 8709 & 8714","38879, 38464 & 38469
3/73 & 6, 7/72
Ex-ATSF ATSF 8717, 8709 & 8714","3/73 & 6, 7/72
Ex-ATSF ATSF 8717, 8709 & 8714","Ex-ATSF ATSF 8717, 8709 & 8714",,,,,,,
"9519-9522
38896, 89, 82 & 38465
3/73, 6/72 & 7/72
Ex-ATSF 8734, 8727, 8720 & 8710","38896, 89, 82 & 38465
3/73, 6/72 & 7/72
Ex-ATSF 8734, 8727, 8720 & 8710","3/73, 6/72 & 7/72
Ex-ATSF 8734, 8727, 8720 & 8710","Ex-ATSF 8734, 8727, 8720 & 8710",,,,,,,
"9523-9525
38467, 38892 & 38466
6/72, 3/73, 6/72
Ex-ATSF 8712, 8730, 8711","38467, 38892 & 38466
6/72, 3/73, 6/72
Ex-ATSF 8712, 8730, 8711","6/72, 3/73, 6/72
Ex-ATSF 8712, 8730, 8711","Ex-ATSF 8712, 8730, 8711",,,,,,,
"9526-9529
38459, 63, 38878 & 38457
 6, 6, 10, 6/1972
Ex-ATSF8704, 8708, 8716 & 8702","38459, 63, 38878 & 38457
 6, 6, 10, 6/1972
Ex-ATSF8704, 8708, 8716 & 8702","6, 6, 10, 6/1972
Ex-ATSF8704, 8708, 8716 & 8702","Ex-ATSF8704, 8708, 8716 & 8702",,,,,,,
"9532, 35 & 37
38897, 40010 & 40012
3/73 & 11-12/74
Ex-ATSF8732, 8766 & 8768","38897, 40010 & 40012
3/73 & 11-12/74
Ex-ATSF8732, 8766 & 8768","3/73 & 11-12/74
Ex-ATSF8732, 8766 & 8768","Ex-ATSF8732, 8766 & 8768",,,,,,,
"9540 & 9542-44
 40034, 41, 19 & 40
 12/1974, 
Ex-ATSF8790, 8795, 8797, 8775 & 8796","40034, 41, 19 & 40
 12/1974, 
Ex-ATSF8790, 8795, 8797, 8775 & 8796","12/1974, 
Ex-ATSF8790, 8795, 8797, 8775 & 8796","Ex-ATSF8790, 8795, 8797, 8775 & 8796",,,,,,,
"9547-9551
40022, 15, 21, 23 & 37
 12/1974, 
Ex-ATSF8778, 8771, 8777, 8779 & 8793","40022, 15, 21, 23 & 37
 12/1974, 
Ex-ATSF8778, 8771, 8777, 8779 & 8793","12/1974, 
Ex-ATSF8778, 8771, 8777, 8779 & 8793","Ex-ATSF8778, 8771, 8777, 8779 & 8793",,,,,,,
"9556, 58 & 60
40026, 38 & 36
 12/1974 
Ex-ATSF 8782, 8794 & 8792","40026, 38 & 36
 12/1974 
Ex-ATSF 8782, 8794 & 8792","12/1974 
Ex-ATSF 8782, 8794 & 8792","Ex-ATSF 8782, 8794 & 8792",,,,,,,
"9562-9564
 40014, 30 & 33
12/74
Ex-ATSF #8770, 8786 & 8789

9567-68
40031 & 40032
1/75
Ex-ATSF #8787 & 8788


""9500"" series SF30Cs were built from U36Cs by Santa Fe's Cleburne Shops




Dispositions:

LRCX 5501 to ARN 5501
LRCX 8021, 8032 to ARN 1004, 1001
LRCX 8104, 8152 to ARN same #s
LRCX 8110, 8120, 8138, 8148 to ARN 1014, 1003, 1005, 1002
LRCX 8108, 8111-8113, 8116, 8117 to TLLX same #s
LRCX 8115 scrapped 6/97
LRCX 9513 to ARN 1015
LRCX 9522, 9556, 9567 to ARN same #s
LRCX 9509, 9512, 9515, 9518, 9520, 9526, 9529, 9532, 9540, 9544, 9548, 9550, 9551, 9558, 9563 to TLLX




Thanks to be following contributors/sources:  Joseph Belote,  Gilbert Elmond, John Komanesky, Wayne Kuhl,
 Jim Larduskey,  and Ken Tisdale.","40014, 30 & 33
12/74
Ex-ATSF #8770, 8786 & 8789

9567-68
40031 & 40032
1/75
Ex-ATSF #8787 & 8788


""9500"" series SF30Cs were built from U36Cs by Santa Fe's Cleburne Shops




Dispositions:

LRCX 5501 to ARN 5501
LRCX 8021, 8032 to ARN 1004, 1001
LRCX 8104, 8152 to ARN same #s
LRCX 8110, 8120, 8138, 8148 to ARN 1014, 1003, 1005, 1002
LRCX 8108, 8111-8113, 8116, 8117 to TLLX same #s
LRCX 8115 scrapped 6/97
LRCX 9513 to ARN 1015
LRCX 9522, 9556, 9567 to ARN same #s
LRCX 9509, 9512, 9515, 9518, 9520, 9526, 9529, 9532, 9540, 9544, 9548, 9550, 9551, 9558, 9563 to TLLX




Thanks to be following contributors/sources:  Joseph Belote,  Gilbert Elmond, John Komanesky, Wayne Kuhl,
 Jim Larduskey,  and Ken Tisdale.","12/74
Ex-ATSF #8770, 8786 & 8789

9567-68
40031 & 40032
1/75
Ex-ATSF #8787 & 8788


""9500"" series SF30Cs were built from U36Cs by Santa Fe's Cleburne Shops




Dispositions:

LRCX 5501 to ARN 5501
LRCX 8021, 8032 to ARN 1004, 1001
LRCX 8104, 8152 to ARN same #s
LRCX 8110, 8120, 8138, 8148 to ARN 1014, 1003, 1005, 1002
LRCX 8108, 8111-8113, 8116, 8117 to TLLX same #s
LRCX 8115 scrapped 6/97
LRCX 9513 to ARN 1015
LRCX 9522, 9556, 9567 to ARN same #s
LRCX 9509, 9512, 9515, 9518, 9520, 9526, 9529, 9532, 9540, 9544, 9548, 9550, 9551, 9558, 9563 to TLLX




Thanks to be following contributors/sources:  Joseph Belote,  Gilbert Elmond, John Komanesky, Wayne Kuhl,
 Jim Larduskey,  and Ken Tisdale.","Ex-ATSF #8770, 8786 & 8789

9567-68
40031 & 40032
1/75
Ex-ATSF #8787 & 8788


""9500"" series SF30Cs were built from U36Cs by Santa Fe's Cleburne Shops




Dispositions:

LRCX 5501 to ARN 5501
LRCX 8021, 8032 to ARN 1004, 1001
LRCX 8104, 8152 to ARN same #s
LRCX 8110, 8120, 8138, 8148 to ARN 1014, 1003, 1005, 1002
LRCX 8108, 8111-8113, 8116, 8117 to TLLX same #s
LRCX 8115 scrapped 6/97
LRCX 9513 to ARN 1015
LRCX 9522, 9556, 9567 to ARN same #s
LRCX 9509, 9512, 9515, 9518, 9520, 9526, 9529, 9532, 9540, 9544, 9548, 9550, 9551, 9558, 9563 to TLLX




Thanks to be following contributors/sources:  Joseph Belote,  Gilbert Elmond, John Komanesky, Wayne Kuhl,
 Jim Larduskey,  and Ken Tisdale.","9567-68
40031 & 40032
1/75
Ex-ATSF #8787 & 8788","40031 & 40032
1/75
Ex-ATSF #8787 & 8788","1/75
Ex-ATSF #8787 & 8788",Ex-ATSF #8787 & 8788,"""9500"" series SF30Cs were built from U36Cs by Santa Fe's Cleburne Shops","Dispositions:

LRCX 5501 to ARN 5501
LRCX 8021, 8032 to ARN 1004, 1001
LRCX 8104, 8152 to ARN same #s
LRCX 8110, 8120, 8138, 8148 to ARN 1014, 1003, 1005, 1002
LRCX 8108, 8111-8113, 8116, 8117 to TLLX same #s
LRCX 8115 scrapped 6/97
LRCX 9513 to ARN 1015
LRCX 9522, 9556, 9567 to ARN same #s
LRCX 9509, 9512, 9515, 9518, 9520, 9526, 9529, 9532, 9540, 9544, 9548, 9550, 9551, 9558, 9563 to TLLX","Thanks to be following contributors/sources:  Joseph Belote,  Gilbert Elmond, John Komanesky, Wayne Kuhl,
 Jim Larduskey,  and Ken Tisdale."
"9567-68
40031 & 40032
1/75
Ex-ATSF #8787 & 8788","40031 & 40032
1/75
Ex-ATSF #8787 & 8788","1/75
Ex-ATSF #8787 & 8788",Ex-ATSF #8787 & 8788,,,,,,,
"""9500"" series SF30Cs were built from U36Cs by Santa Fe's Cleburne Shops",,,,,,,,,,
"Dispositions:

LRCX 5501 to ARN 5501
LRCX 8021, 8032 to ARN 1004, 1001
LRCX 8104, 8152 to ARN same #s
LRCX 8110, 8120, 8138, 8148 to ARN 1014, 1003, 1005, 1002
LRCX 8108, 8111-8113, 8116, 8117 to TLLX same #s
LRCX 8115 scrapped 6/97
LRCX 9513 to ARN 1015
LRCX 9522, 9556, 9567 to ARN same #s
LRCX 9509, 9512, 9515, 9518, 9520, 9526, 9529, 9532, 9540, 9544, 9548, 9550, 9551, 9558, 9563 to TLLX",,,,,,,,,,
"Thanks to be following contributors/sources:  Joseph Belote,  Gilbert Elmond, John Komanesky, Wayne Kuhl,
 Jim Larduskey,  and Ken Tisdale.",,,,,,,,,,
