Company,Abbr,Model,Road No.,Date
Lone Star Leasing & Orange Port Terminal Rwy,LSLX,SW1200,906,Mar-57
Lone Star Leasing & Orange Port Terminal Rwy,LSLX,GP9R,1309,Mar-55
Lone Star Leasing & Orange Port Terminal Rwy,LSLX,GP7,1354,Oct-50
Lone Star Leasing & Orange Port Terminal Rwy,LSLX,MP15,1502,May-76
Lone Star Leasing & Orange Port Terminal Rwy,LSLX,GP9R,1711,Feb-57
Lone Star Leasing & Orange Port Terminal Rwy,LSLX,GP9R,1712,Feb-57
Lone Star Leasing & Orange Port Terminal Rwy,LSLX,GP38AC,2002,Jun-71
Lone Star Leasing & Orange Port Terminal Rwy,LSLX,SW900,1,Oct-56
Lone Star Leasing & Orange Port Terminal Rwy,LSLX,NW2,14,Jul-39
Lone Star Leasing & Orange Port Terminal Rwy,LSLX,GP7,51,Sep-51
Lone Star Leasing & Orange Port Terminal Rwy,LSLX,GP7,1315,Oct-50
Lone Star Leasing & Orange Port Terminal Rwy,LSLX,SD40,2040 & 2041,Sep-65
Lone Star Leasing & Orange Port Terminal Rwy,LSLX,,2220 & 2221,
Lone Star Leasing & Orange Port Terminal Rwy,LSLX,2GS14B,2222,6-Nov
Lone Star Leasing & Orange Port Terminal Rwy,LSLX,,2223 & 2224,
