Company,Abbr,Road No.,Model,Date
BDL CO.,BDLX,133,SW1200,Apr-57
BDL CO.,BDLX,250,B23-7,Sep-78
BDL CO.,BDLX,901,SW900m,Sep-61
BDL CO.,BDLX,1006,SW1,Jul-50
BDL CO.,BDLX,1337,SW1200RS,Dec-58
BDL CO.,BDLX,1355,GP40,May-66
BDL CO.,BDLX,"1602, 1605 & 1606",SD40,Jun-66
BDL CO.,BDLX,1801,GP7,Jul-51
BDL CO.,BDLX,1803,GP7,Aug-51
BDL CO.,BDLX,1808,GP7u,Sep-51
BDL CO.,BDLX,1809,GP7u,Aug-51
BDL CO.,BDLX,1927,U18B,Jan-73
BDL CO.,BDLX,2002 & 2005,GP38,--
BDL CO.,BDLX,2111,SW1001,Dec-73
BDL CO.,BDLX,2205,U23B,May-55
BDL CO.,BDLX,2209,U23B,Jan-75
BDL CO.,BDLX,2785 & 2786,U23B,Nov-74
BDL CO.,BDLX,3173,SD40,Jun-72
BDL CO.,BDLX,7001,GP40X,Jun-78
BDL CO.,BDLX,7545,GP10,Aug-57
BDL CO.,BDLX,7580,GP10,Jun-57
