Company,Abbr,Road No.,Model,Date
CIT Rail Resources,CITX,CEFX 56 & 57,GP40-2,Jun-98
CIT Rail Resources,CITX,CEFX 100-131,SD90MAC/4300,Jan-99
CIT Rail Resources,CITX,CEFX 132-139,SD90MAC/4300,Jan-00
CIT Rail Resources,CITX,"CEFX 104, 105, 118, 120, 120-122, 124-126, 135 and 138 were sold to become NS SD70ACUs #7329-7339",SD90MAC/4300,
CIT Rail Resources,CITX,CITX 140,SD70M-2,4-Oct
CIT Rail Resources,CITX,CITX 141 & 142,SD70M-2,4-Nov
CIT Rail Resources,CITX,CEFX 400-402,GP38-2,Mar-79
CIT Rail Resources,CITX,CEFX 403,GP38-2,Jul-70
CIT Rail Resources,CITX,CEFX 404,GP38-2,Sep-70
CIT Rail Resources,CITX,CEFX 405,GP38-2,Nov-67
CIT Rail Resources,CITX,CEFX 406,GP38-2,Jul-70
CIT Rail Resources,CITX,CEFX 408,GP38-2,Oct-67
CIT Rail Resources,CITX,CEFX 407,GP38-2,Nov-67
CIT Rail Resources,CITX,CEFX 409,GP38-2,Sep-69
CIT Rail Resources,CITX,CEFX 410,GP38-2,May-73
CIT Rail Resources,CITX,CEFX 411,GP38-2,Sep-69
CIT Rail Resources,CITX,CEFX 414,GP38-2,Sep-69
CIT Rail Resources,CITX,CEFX 1001-1025,AC4400CW,1-Nov
CIT Rail Resources,CITX,CEFX 1026-1059,AC4400CW,4-Sep
CIT Rail Resources,CITX,CEFX 1421,MP15DC,Jul-77
CIT Rail Resources,CITX,CEFX 1430,MP15DC,Oct-74
CIT Rail Resources,CITX,CEFX 1437,MP15DC,Apr-82
CIT Rail Resources,CITX,CEFX 1439,MP15DC,Apr-82
CIT Rail Resources,CITX,CEFX 1501-1510,GP-15D,Dec-00
CIT Rail Resources,CITX,CEFX 1520,MP15DC,Jun-77
CIT Rail Resources,CITX,CEFX 1521-1523,MP15DC,
CIT Rail Resources,CITX,CEFX 1524,MP15DC,Oct-74
CIT Rail Resources,CITX,CEFX 1525,MP15DC,Oct-74
CIT Rail Resources,CITX,CEFX 1526 & 1527,MP15DC,Oct-74
CIT Rail Resources,CITX,"CEFX 1528, 1529 & 1531",MP15DC,Sep-74
CIT Rail Resources,CITX,CEFX 1532,MP15DC,Jul-77
CIT Rail Resources,CITX,CEFX 1533-1535,MP15DC,Oct-79
CIT Rail Resources,CITX,CEFX 1536-1540,MP15DC,Apr-82
CIT Rail Resources,CITX,CEFX 1541-1546,MP15DC,Apr-82
CIT Rail Resources,CITX,CEFX 1547,MP15DC,Nov-79
CIT Rail Resources,CITX,CEFX 1548,MP15DC,Dec-78
CIT Rail Resources,CITX,CEFX 1552 & 1553,SW1500,Sep-73
CIT Rail Resources,CITX,CEFX 1554 & 1555,SW1500,Sep-73
CIT Rail Resources,CITX,CEFX 1556 & 1557,SW1500,Sep-73
CIT Rail Resources,CITX,CEFX 1558,SW1500,Nov-68
CIT Rail Resources,CITX,CEFX 1559,SW1500,Nov-68
CIT Rail Resources,CITX,CEFX 1560 & 1561,SW1500,Oct-67
