Company,Abbr,Road No.,Model,Date
Chattahoochee Lomotive Company,CLCX,1110,S4m,Jan-52
Chattahoochee Lomotive Company,CLCX,2111,--,
Chattahoochee Lomotive Company,CLCX,2112,S4m,Apr-54
Chattahoochee Lomotive Company,CLCX,2058,GP20,Jun-60
Chattahoochee Lomotive Company,CLCX,5035,C30-7,Nov-79
Chattahoochee Lomotive Company,CLCX,5116,GP10,Jan-58
Chattahoochee Lomotive Company,CLCX,5117,PL15B,Apr-54
Chattahoochee Lomotive Company,CLCX,5118,PL15B,
Chattahoochee Lomotive Company,CLCX,5119,PL15B,2008
Chattahoochee Lomotive Company,CLCX,7025,C30-7,Aug-79
Chattahoochee Lomotive Company,CLCX,7082,C30-7,Nov-81
Chattahoochee Lomotive Company,CLCX,7123,PL15B,2009
Chattahoochee Lomotive Company,CLCX,7124,PL15B,Apr-49
Chattahoochee Lomotive Company,CLCX,8127,PL15B:4RS,Aug-49
Chattahoochee Lomotive Company,CLCX,8128,GP9/10,
Chattahoochee Lomotive Company,CLCX,8129,GP9m,
Chattahoochee Lomotive Company,CLCX,9595,S4m,
Chattahoochee Lomotive Company,CLCX,9688,S2m,
Chattahoochee Lomotive Company,CLCX,9697,DRS 44-1500m,
Chattahoochee Lomotive Company,CLCX,9698,S2m,Aug-48
Chattahoochee Lomotive Company,CLCX,10131,--,
Chattahoochee Lomotive Company,CLCX,12132,GP9,
Chattahoochee Lomotive Company,CLCX,13133,SW1200,
Chattahoochee Lomotive Company,CLCX,14135,SW10,May-52
Chattahoochee Lomotive Company,CLCX,14136,SW8,Nov-50
Chattahoochee Lomotive Company,CLCX,15140,SW1,Oct-45
Chattahoochee Lomotive Company,CLCX,96101,S2m,
Chattahoochee Lomotive Company,CLCX,98106,S4m,
