Company,Abbr,Road No.,Model,Date
Ed Burrier Leasing,EBBX,2404,SD20-2,
Ed Burrier Leasing,EBBX,7835,B30-7,
Ed Burrier Leasing,EBBX,"8201, 8203 & 8204",C39-8,
Ed Burrier Leasing,EBBX,8209,C39-8,
Ed Burrier Leasing,EBBX,8501-8504,C36-7,
Ed Burrier Leasing,EBBX,"8506-08, 10-11 & 13",C36-7,
Ed Burrier Leasing,EBBX,8509 & & 8514,C36-7,
Ed Burrier Leasing,EBBX,"8515, 17-19",C36-7,
Ed Burrier Leasing,EBBX,"8520, 23 25 & 26",C36-7,
Ed Burrier Leasing,EBBX,8527-8530,C36-7,
Ed Burrier Leasing,EBBX,8531-8534,C36-7,
Ed Burrier Leasing,EBBX,8535,C36-7,
Ed Burrier Leasing,EBBX,"8536-38, 40, & 41",C36-7,
Ed Burrier Leasing,EBBX,"8592, 8596 & 8604",C39-8,
Ed Burrier Leasing,EBBX,8633,C39-8,
Ed Burrier Leasing,EBBX,8606,C39-8,
Ed Burrier Leasing,EBBX,8610,C39-8,
Ed Burrier Leasing,EBBX,8615-8617,C39-8,
Ed Burrier Leasing,EBBX,8620 & 8627,C39-8,
Ed Burrier Leasing,EBBX,8658,C39-8,
Ed Burrier Leasing,EBBX,8630,C39-8,
Ed Burrier Leasing,EBBX,8633,C39-8,
Ed Burrier Leasing,EBBX,"8636, 46, 48 & 752",C39-8,
Ed Burrier Leasing,EBBX,8658,C39-8,
