Company,Abbr,Road No.,Model,Date
Wells Fargo Rail,FURX,1161,GP40-3,Jan-67
Wells Fargo Rail,FURX,1162,GP40-3,Nov-71
Wells Fargo Rail,FURX,1164 & 1165,GP40-3,Jul-66
Wells Fargo Rail,FURX,1166 & 1167,GP40-3,Dec-66
Wells Fargo Rail,FURX,1168 & 1169,GP40-3,Dec-70
Wells Fargo Rail,FURX,1170 & 1171,GP40-3,Jun-71
Wells Fargo Rail,FURX,1172-1174,GP40-3,Apr-67
Wells Fargo Rail,FURX,1177-1179,GP40-3,Jul-70
Wells Fargo Rail,FURX,2268 & 2273,GP40-3,Jun-69
Wells Fargo Rail,FURX,2900-2913,GP50,May-80
Wells Fargo Rail,FURX,2915-2939,GP50,Jun-80
Wells Fargo Rail,FURX,2940-2942,GP50,Aug-80
Wells Fargo Rail,FURX,"2943, 44 & 47-49",GP50,Sep-80
Wells Fargo Rail,FURX,3000,SD40-2,Jun-70
Wells Fargo Rail,FURX,3001 & 3002,SD40-2,May-70
Wells Fargo Rail,FURX,3003 & 3004,SD40-2,May-69
Wells Fargo Rail,FURX,3005 & 3006,SD40-2,Jan-70
Wells Fargo Rail,FURX,3007 & 3011,SD40-2,Sep-66
Wells Fargo Rail,FURX,3008 & 3016,SD40-2,Aug-70
Wells Fargo Rail,FURX,3009 & 3010,SD40-2,Mar-70
Wells Fargo Rail,FURX,3012,SD40-2,Feb-75
Wells Fargo Rail,FURX,3014,SD40-2,Aug-66
Wells Fargo Rail,FURX,3015,SD40-2,Nov-66
Wells Fargo Rail,FURX,3013,SD40-2,Sep-71
Wells Fargo Rail,FURX,3012 & 3014,SD40-2,Dec-70
Wells Fargo Rail,FURX,3017-18 & 3022-23,SD40-2,Dec-70
Wells Fargo Rail,FURX,"3019, 3024 & 3028-29",SD40-2,Feb-66
Wells Fargo Rail,FURX,3021,SD40-2,Mar-80
Wells Fargo Rail,FURX,3025,SD40-2,Mar-71
Wells Fargo Rail,FURX,3030-3032,SD40-2,Jan-71
Wells Fargo Rail,FURX,"3033, 35 & 37",SD40-2,Mar-66
Wells Fargo Rail,FURX,"3034, 38 & 45",SD40-2,Feb-66
Wells Fargo Rail,FURX,"3039, 40 & 41",SD40-2,May-67
Wells Fargo Rail,FURX,3043 & 3046,SD40-2,May-70
Wells Fargo Rail,FURX,"3042, 44 & 47",SD40-2,Feb-66
Wells Fargo Rail,FURX,3048 & 3049,SD40-2,Jul-75
Wells Fargo Rail,FURX,3064,SD40-2,Jan-66
Wells Fargo Rail,FURX,3080,SD40-2,Jun-80
Wells Fargo Rail,FURX,7081,SD40-2,
Wells Fargo Rail,FURX,7207-25 & 27,SD40-2,Jun-80
Wells Fargo Rail,FURX,7236-7245,SD40-2,Jan-80
Wells Fargo Rail,FURX,7246-7262,SD40-2,Feb-80
Wells Fargo Rail,FURX,7263-7291,SD40-2,Mar-80
Wells Fargo Rail,FURX,7886,SD40-2,Apr-79
Wells Fargo Rail,FURX,7924-7940,SD40-2,Apr-80
Wells Fargo Rail,FURX,8090-8103,SD40-2,May-80
Wells Fargo Rail,FURX,8104-8136,SD40-2,Jun-80
Wells Fargo Rail,FURX,5514,GP38-2,Aug-71
Wells Fargo Rail,FURX,5520,GP38-2,Sep-71
Wells Fargo Rail,FURX,5550,GP38-2,
Wells Fargo Rail,FURX,5551,GP38-2,Oct-69
Wells Fargo Rail,FURX,5554,GP38-2,Mar-70
Wells Fargo Rail,FURX,5560,GP38-2,
Wells Fargo Rail,FURX,5568,GP38-2,
Wells Fargo Rail,FURX,5569,GP38-2,Sep-69
Wells Fargo Rail,FURX,5570,GP38-2,
Wells Fargo Rail,FURX,5576,GP38-2,Oct-69
Wells Fargo Rail,FURX,5577,GP38-2,
