Company,Abbr,Road No.,Model,Date
Alstom Remanufacturered Locomotives,GCFX,520 - 525,F59PH,Oct-88
Alstom Remanufacturered Locomotives,GCFX,526 - 535,F59PH,Nov-88
Alstom Remanufacturered Locomotives,GCFX,900-905,F40PH-2,Mar-85
Alstom Remanufacturered Locomotives,GCFX,906-911,F40PH-2,Apr-85
Alstom Remanufacturered Locomotives,GCFX,912-917,F40PH-2,May-85
Alstom Remanufacturered Locomotives,GCFX,918 & 919,F40PH-2,Dec-87
Alstom Remanufacturered Locomotives,GCFX,2201 & 2202,GP38-2,
Alstom Remanufacturered Locomotives,GCFX,2383 - 2389,GP38-2,
Alstom Remanufacturered Locomotives,GCFX,3000,SD40-2,Jun-70
Alstom Remanufacturered Locomotives,GCFX,3001 & 3002,SD40-2,May-70
Alstom Remanufacturered Locomotives,GCFX,3003 & 3004,SD40-2,May-69
Alstom Remanufacturered Locomotives,GCFX,3005 & 3006,SD40-2,Feb-70
Alstom Remanufacturered Locomotives,GCFX,3007 & 3011,SD40-2,Sep-66
Alstom Remanufacturered Locomotives,GCFX,3008 & 3016,SD40-2,Aug-70
Alstom Remanufacturered Locomotives,GCFX,3009 & 3010,SD40-2,Mar-70
Alstom Remanufacturered Locomotives,GCFX,3012 & 3014,SD40-2,Nov-70
Alstom Remanufacturered Locomotives,GCFX,3013 & 3015,SD40-2,Apr-69
Alstom Remanufacturered Locomotives,GCFX,3012 & 3014,SD40-2,Dec-70
Alstom Remanufacturered Locomotives,GCFX,3017-18 & 3022-23,SD40-2,Jan-71
Alstom Remanufacturered Locomotives,GCFX,"3019, 3024 & 3028-29",SD40-2,Feb-66
Alstom Remanufacturered Locomotives,GCFX,3021,SD40-2,Mar-80
Alstom Remanufacturered Locomotives,GCFX,3025,SD40-2,Mar-71
Alstom Remanufacturered Locomotives,GCFX,3030-3032,SD40-2,Dec-70
Alstom Remanufacturered Locomotives,GCFX,"3033, 35 & 37",SD40-2,Mar-66
Alstom Remanufacturered Locomotives,GCFX,"3034, 38 & 45",SD40-2,Feb-66
Alstom Remanufacturered Locomotives,GCFX,"3039, 40 & 41",SD40-2,May-67
Alstom Remanufacturered Locomotives,GCFX,3043 & 3046,SD40-2,May-70
Alstom Remanufacturered Locomotives,GCFX,"3042, 44 & 47",SD40-2,Feb-66
Alstom Remanufacturered Locomotives,GCFX,3048 & 3049,SD40-2,Jul-75
Alstom Remanufacturered Locomotives,GCFX,3080,SD40-2,Jun-80
Alstom Remanufacturered Locomotives,GCFX,3053 - 3072,SD40-2,
Alstom Remanufacturered Locomotives,GCFX,3073 - 3102,SD40-2,
Alstom Remanufacturered Locomotives,GCFX,3103 - 3152,SD40-2,
Alstom Remanufacturered Locomotives,GCFX,6000-6001,SD40-3,Dec-67
Alstom Remanufacturered Locomotives,GCFX,6002-6005,SD40-3,Sep-69
