Company,Abbr,Model,Road No.,Date
Larry's Truck Electric,LTEX,110-ton (GE),CEI 18,
Larry's Truck Electric,LTEX,110-ton (GE),CEI 19,
Larry's Truck Electric,LTEX,144-Ton (GE),602,
Larry's Truck Electric,LTEX,SW7 (EMD),300,
Larry's Truck Electric,LTEX,SW1200 (EMD),"304, 305 & 307",
Larry's Truck Electric,LTEX,SW1200 (EMD),453,
Larry's Truck Electric,LTEX,SW1500 (EMD),500(2nd),
Larry's Truck Electric,LTEX,SW1500 (EMD),501,
Larry's Truck Electric,LTEX,S2 (Alco),601,
Larry's Truck Electric,LTEX,SW900 (EMD),613,
Larry's Truck Electric,LTEX,SW8 (EMD),801- 803,
Larry's Truck Electric,LTEX,F59PH (EMD),857,
Larry's Truck Electric,LTEX,SW900 (EMD),900,
Larry's Truck Electric,LTEX,SW900 (EMD),902,
Larry's Truck Electric,LTEX,SW900 (EMD),905,
Larry's Truck Electric,LTEX,SW1000 (EMD),"1001, 1003 & 1004",
Larry's Truck Electric,LTEX,SW1000 (EMD),1005 & 1006,
Larry's Truck Electric,LTEX,SW1500 (EMD),1074,
Larry's Truck Electric,LTEX,SW1500 (EMD),1085,
Larry's Truck Electric,LTEX,SW1500 (EMD),1108,
Larry's Truck Electric,LTEX,MP15T (EMD),"1150, 1151 & 1174",
Larry's Truck Electric,LTEX,SW1200 (EMD),1200,
Larry's Truck Electric,LTEX,SW1200 (EMD),1201-1202,
Larry's Truck Electric,LTEX,SW1200 (EMD),1205,
Larry's Truck Electric,LTEX,SW1200 (EMD),1206,
Larry's Truck Electric,LTEX,SW1200 (EMD),1211,
Larry's Truck Electric,LTEX,SW1200 (EMD),1212(1st),
Larry's Truck Electric,LTEX,SW1200 (EMD),1212(2nd),
Larry's Truck Electric,LTEX,SW1200 (EMD),1212(3rd),
Larry's Truck Electric,LTEX,SW1200 (EMD),1212(4th),
Larry's Truck Electric,LTEX,SW1200 (EMD),1212(5th),
Larry's Truck Electric,LTEX,SW1200 (EMD),"1232-1234, & 1237",
Larry's Truck Electric,LTEX,NP15DC (EMD),1411 (2nd),
Larry's Truck Electric,LTEX,SW1500 / MP15DC (EMD),1500,
Larry's Truck Electric,LTEX,SW1500 / MP15DC (EMD),1501,
Larry's Truck Electric,LTEX,SW1500 / MP15DC (EMD),1502 and 1503,
Larry's Truck Electric,LTEX,SW1500 / MP15DC (EMD),1502(2nd),
Larry's Truck Electric,LTEX,SW1500 / MP15DC (EMD),1503(2nd),
