Company,Abbr,Model,Road No.,Date
"Railway Service Contractors, Inc",MJRX,CF7,MJRX 201,Dec-49
"Railway Service Contractors, Inc",MJRX,GP35R,MJRX 513,May-65
"Railway Service Contractors, Inc",MJRX,GP9r,MJRX 650,Jun-56
"Railway Service Contractors, Inc",MJRX,GP9r,MJRX 651,1956
"Railway Service Contractors, Inc",MJRX,GP30,MJRX 711,Apr-63
"Railway Service Contractors, Inc",MJRX,SD40M-2,MJRX 750,Jul-70
"Railway Service Contractors, Inc",MJRX,SD40M-2,MJRX 751,Jul-70
"Railway Service Contractors, Inc",MJRX,B30-7,MJRX 849,Mar-79
"Railway Service Contractors, Inc",MJRX,SD20,MJRX 1021,Jan-60
"Railway Service Contractors, Inc",MJRX,SD20,MJRX 1023,Dec-59
"Railway Service Contractors, Inc",MJRX,Slug,MJRX 1606,Apr-63
"Railway Service Contractors, Inc",MJRX,GP10,MJRX 1752,Oct-50
"Railway Service Contractors, Inc",MJRX,GP9u,MJRX 1901,Apr-57
"Railway Service Contractors, Inc",MJRX,GP9u,MJRX 1902,Apr-57
"Railway Service Contractors, Inc",MJRX,GP7u,MJRX 2050,Dec-52
"Railway Service Contractors, Inc",MJRX,SD35R,MJRX 2968,Mar-65
"Railway Service Contractors, Inc",MJRX,GP9RM,MJRX 4122,Sep-55
"Railway Service Contractors, Inc",MJRX,GP7R,MJRX 4163,Jul-52
"Railway Service Contractors, Inc",MJRX,,MJRX 6001,
"Railway Service Contractors, Inc",MJRX,SD40T-2,MJRX 6003,
"Railway Service Contractors, Inc",MJRX,GP10,MJRX 8097,Jan-57
"Railway Service Contractors, Inc",MJRX,SD40M-2,MJRX 9002,Jul-70
"Railway Service Contractors, Inc",MJRX,SD40M-2,MJRX 9005,Jul-70
"Railway Service Contractors, Inc",MJRX,SD40M-2,MJRX 9006,Jul-70
"Railway Service Contractors, Inc",MJRX,SD40M-2,MJRX 9010,
"Railway Service Contractors, Inc",MJRX,SW7,MJRX 12004,Dec-50
"Railway Service Contractors, Inc",MJRX,GP9R,MJRX 4651,Mar-57
"Railway Service Contractors, Inc",MJRX,S2,MJRX 8753,Dec-47
"Railway Service Contractors, Inc",MJRX,S2,MJRX 8754,Sep-44
