Company,Abbr,Model,Road No.,Date
National Railway Equipment Motive Power,NRE,1GS7B,NREX 700,
National Railway Equipment Motive Power,NRE,2GS14B/SW,NREX 1400,
National Railway Equipment Motive Power,NRE,2GS14B,NREX 2007,
National Railway Equipment Motive Power,NRE,3GS21B,NREX 2008-2009,
National Railway Equipment Motive Power,NRE,3GS21B,NREX 2011,
National Railway Equipment Motive Power,NRE,3GS21B,(NREX 2013),
National Railway Equipment Motive Power,NRE,2GS36-DC,NREX 2020,
National Railway Equipment Motive Power,NRE,2GS36-DC,NREX 3600,
National Railway Equipment Motive Power,NRE,SD50U,NREX 5462,
National Railway Equipment Motive Power,NRE,GP38,51,
National Railway Equipment Motive Power,NRE,GP7,54,
National Railway Equipment Motive Power,NRE,GP9,99,
National Railway Equipment Motive Power,NRE,GP7,103,
National Railway Equipment Motive Power,NRE,G8,"104, 109 & 127-29",
National Railway Equipment Motive Power,NRE,GP7,113,
National Railway Equipment Motive Power,NRE,SD38AC,203 & 206,
National Railway Equipment Motive Power,NRE,GP9,209,
National Railway Equipment Motive Power,NRE,SD40-2,224,
National Railway Equipment Motive Power,NRE,SD40,232,
National Railway Equipment Motive Power,NRE,G8,251,
National Railway Equipment Motive Power,NRE,SD35,413,
National Railway Equipment Motive Power,NRE,SD40-2,"770, 773, 783 & 785",
National Railway Equipment Motive Power,NRE,SD40-2,900-901,
National Railway Equipment Motive Power,NRE,C424m,1049-50,
National Railway Equipment Motive Power,NRE,GP7,1299,
National Railway Equipment Motive Power,NRE,B23-7,1993,
National Railway Equipment Motive Power,NRE,,FWWD 2013 & 2014,
National Railway Equipment Motive Power,NRE,,FWWD 2015 & 2018,
National Railway Equipment Motive Power,NRE,SD20,"2025, 2029 & 2051",
National Railway Equipment Motive Power,NRE,GT26CW,2062-06 & 11,
National Railway Equipment Motive Power,NRE,GT26CW,2062-31 & 48,
National Railway Equipment Motive Power,NRE,GP30,2251,
National Railway Equipment Motive Power,NRE,SD60M,"UP 2312, 2364, 2371",
National Railway Equipment Motive Power,NRE,SD60M,"UP 2381, 2392, 2437 & 2454",
National Railway Equipment Motive Power,NRE,SD40-2,"2748, 2752 & 2761",
National Railway Equipment Motive Power,NRE,GP49,"2802, 2809 & 2902",
National Railway Equipment Motive Power,NRE,GP50,2940,
National Railway Equipment Motive Power,NRE,GP40,3152,
National Railway Equipment Motive Power,NRE,SD40-2,"3175, 3455 & 3934",
National Railway Equipment Motive Power,NRE,GP50,3333,
National Railway Equipment Motive Power,NRE,SW1200/SW9,3401,
National Railway Equipment Motive Power,NRE,GP38AC,3641,
National Railway Equipment Motive Power,NRE,SW1200R,3513 & 3514,
National Railway Equipment Motive Power,NRE,SD38,"3800-01, 04, 10, 3816-19",
National Railway Equipment Motive Power,NRE,SD9,4339,
National Railway Equipment Motive Power,NRE,SD40-2,4403-4406,
National Railway Equipment Motive Power,NRE,GP40-2,4631,
National Railway Equipment Motive Power,NRE,SD40-2,"5413, 5417 & 5482",
National Railway Equipment Motive Power,NRE,SD50,"5449, 5463 & 5471",
National Railway Equipment Motive Power,NRE,SD40-2,5534,
National Railway Equipment Motive Power,NRE,SD40-2,5542 & 5668,
National Railway Equipment Motive Power,NRE,G12,5809,
National Railway Equipment Motive Power,NRE,SD40,5917,
National Railway Equipment Motive Power,NRE,SD60,5997,
National Railway Equipment Motive Power,NRE,GP9,6051,
National Railway Equipment Motive Power,NRE,SD40-2,"6300-01, 09, 11 & 45",
National Railway Equipment Motive Power,NRE,SD40,6406,
National Railway Equipment Motive Power,NRE,SD45,6411 & 6415,
National Railway Equipment Motive Power,NRE,SD40-2,"6475, 6486 & 97",
National Railway Equipment Motive Power,NRE,SD45-2,6481 & 6487,
National Railway Equipment Motive Power,NRE,SD45,6595,
National Railway Equipment Motive Power,NRE,SD40-2,"7212, 7246, 7275 & 7285",
National Railway Equipment Motive Power,NRE,SD40-2,7300s,
National Railway Equipment Motive Power,NRE,SD40-2,7300s,
National Railway Equipment Motive Power,NRE,C39-8,7480-81 & 7488,
National Railway Equipment Motive Power,NRE,SD45,7482,
National Railway Equipment Motive Power,NRE,SD45-2,7510-7511,
National Railway Equipment Motive Power,NRE,SD40-2,7880 & 7896-97,
National Railway Equipment Motive Power,NRE,SD40-2,7931,
National Railway Equipment Motive Power,NRE,GP9/GP10,"8067, 8090 & 8092",
National Railway Equipment Motive Power,NRE,GP10/GP9,8104 & 8174,
National Railway Equipment Motive Power,NRE,GP10,8219,
National Railway Equipment Motive Power,NRE,SD40T-2,8250-8251,
National Railway Equipment Motive Power,NRE,GP9/GP10,8313,
National Railway Equipment Motive Power,NRE,SD40-2,8401,
National Railway Equipment Motive Power,NRE,GP10,8410,
National Railway Equipment Motive Power,NRE,SD50,8681 & 8695,
National Railway Equipment Motive Power,NRE,SD50,8679-81 & 8695,
National Railway Equipment Motive Power,NRE,SD40T-2,8822 & 8865,
National Railway Equipment Motive Power,NRE,SD45T-2,9273,
National Railway Equipment Motive Power,NRE,SD45T-2,9300,
National Railway Equipment Motive Power,NRE,SD40T-2M,9308 & 9402,
National Railway Equipment Motive Power,NRE,GP18,9424,
National Railway Equipment Motive Power,NRE,SD28,9450,
National Railway Equipment Motive Power,NRE,SD50,9842,
National Railway Equipment Motive Power,NRE,SD40-2,9903,
National Railway Equipment Motive Power,NRE,GP40,9460 & 9963,
National Railway Equipment Motive Power,NRE,GP16,Aberdeen Carolina & Wsn 1601,
National Railway Equipment Motive Power,NRE,B30-7,Alberta Rail Net 1007,
National Railway Equipment Motive Power,NRE,GP50,Allied Services 1671,
National Railway Equipment Motive Power,NRE,F40PH,Amtrak 394,
National Railway Equipment Motive Power,NRE,F69PHAC,Amtrak 450-451,
National Railway Equipment Motive Power,NRE,GP7,ATSF 2024,
National Railway Equipment Motive Power,NRE,GP7u,BNSF 1300s,
National Railway Equipment Motive Power,NRE,GP7,BNSF 1368,
National Railway Equipment Motive Power,NRE,GP9/GP10,"Burlington Northern 1402, 07, 13-4, 19 & 36-37",
National Railway Equipment Motive Power,NRE,GP15,BNSF 1498,
National Railway Equipment Motive Power,NRE,GP9,BNSF 1619,
National Railway Equipment Motive Power,NRE,GP9,BNSF 1683-84 & 1687,
National Railway Equipment Motive Power,NRE,SD9,"BN 1739, 1750 & 1752",
National Railway Equipment Motive Power,NRE,GP7,BNSF 3800s,
National Railway Equipment Motive Power,NRE,Road,BNSF 3955,
National Railway Equipment Motive Power,NRE,B23-7,BN 4200s,
National Railway Equipment Motive Power,NRE,B23-7,BN 4200s,
National Railway Equipment Motive Power,NRE,B30-7,BN 5489,
National Railway Equipment Motive Power,NRE,SD35,BN 6518,
National Railway Equipment Motive Power,NRE,SD45,BN 6400's,
National Railway Equipment Motive Power,NRE,SD45-2,BN 6400s,
