Company,Abbr,Model,Road No.,Date
Pioneer Lines,PREX,GP8,471,
Pioneer Lines,PREX,GP7,700-701,Mar-51
Pioneer Lines,PREX,GP7,801,Jun-52
Pioneer Lines,PREX,GP7,802,Jan-58
Pioneer Lines,PREX,GP7,804-806,Jul-53
Pioneer Lines,PREX,GP9,905,Dec-56
Pioneer Lines,PREX,GP9,907 & 908,Apr-59
Pioneer Lines,PREX,SW1500,1500,Feb-70
Pioneer Lines,PREX,GP16,1600 & 1601,Jun-52
Pioneer Lines,PREX,GP16,1602 & 1603,Nov-55
Pioneer Lines,PREX,GP16,1605 & 1606,Apr-56
Pioneer Lines,PREX,GP16,1608 & 1612,Oct-51
Pioneer Lines,PREX,GP16,"1609, 10, & 16",Sep-50
Pioneer Lines,PREX,GP20,"3032, 46 & 48",Sep-61
Pioneer Lines,PREX,GP20,3054 & 3060,Nov-61
Pioneer Lines,PREX,T-6,101,Mar-58
Pioneer Lines,PREX,RS3m,102,Mar-53
Pioneer Lines,PREX,NW2,103,Sep-49
Pioneer Lines,PREX,NW2,107 & 108,Apr-44
Pioneer Lines,PREX,F7A,401,Feb-53
Pioneer Lines,PREX,F7A,402,Dec-49
Pioneer Lines,PREX,GP10,1001,Jun-56
Pioneer Lines,PREX,FP9,1750 -1752,Nov-54
Pioneer Lines,PREX,FP9,1754 & 1755,Apr-57
Pioneer Lines,PREX,FP9,1761,Feb-55
Pioneer Lines,PREX,GP20,2002 & 2003,May-60
Pioneer Lines,PREX,GP20,"2010, 2013 & 2015",Jun-60
Pioneer Lines,PREX,GP20,"2017, 2018 & 2024",Sep-61
Pioneer Lines,PREX,GP20,"2026, 2029 & 2031",Nov-61
Pioneer Lines,PREX,GP20,"2032, 2035 & 2036",Oct-61
Pioneer Lines,PREX,GP20,"2038, 2040 & 2041",Nov-61
Pioneer Lines,PREX,GP20,2045-47 & 2050*,Dec-61
Pioneer Lines,PREX,GP20,"2053, 2054 & 2057*",Mar-61
Pioneer Lines,PREX,SD24,2400,Mar-63
Pioneer Lines,PREX,GP20,"3000, 01, 05 & 23",May-60
Pioneer Lines,PREX,GP20,3069,Dec-61
Pioneer Lines,PREX,GP9E,3400,May-56
Pioneer Lines,PREX,GP9E,4307,Oct-57
Pioneer Lines,PREX,GP9E,7002,May-56
Pioneer Lines,PREX,GP10,8057,May-52
Pioneer Lines,PREX,GP7,8281,May-52
