Company,Abbr,Model,Road No.,Date
Progress Rail,PRLX,GP15T,PRLX 1501:2    ,Oct-82
Progress Rail,PRLX,GP15T,PRLX 1503:2    ,Oct-82
Progress Rail,PRLX,GP15T,PRLX 1504:2    ,Oct-82
Progress Rail,PRLX,GP15T,PRLX 1504:2    ,Oct-82
Progress Rail,PRLX,GP15T,PRLX 1508:2    ,Oct-82
Progress Rail,PRLX,GP15T,PRLX 1510      ,Oct-82
Progress Rail,PRLX,GP15T,PRLX 1517:2    ,Nov-82
Progress Rail,PRLX,SW1500,1503-1,Jun-67
Progress Rail,PRLX,SW1500,1504-1,Jun-67
Progress Rail,PRLX,SW1500,1505-1,Jun-67
Progress Rail,PRLX,SW1500,1505-2,Nov-68
Progress Rail,PRLX,SW1500,1506-1,Nov-69
Progress Rail,PRLX,SW1500,1506-2,Nov-67
Progress Rail,PRLX,SW1500,1507,Nov-69
Progress Rail,PRLX,SW1500,1508-1,Nov-69
Progress Rail,PRLX,SW1500,1511,Dec-69
Progress Rail,PRLX,SW1500,1512,Oct-72
Progress Rail,PRLX,SW1500,1513-1,Oct-72
Progress Rail,PRLX,SW1500,1513-2,Apr-71
Progress Rail,PRLX,SW1500,1515,Oct-72
Progress Rail,PRLX,SW1500,1516-1,Oct-72
Progress Rail,PRLX,SW1500,1516-2,Apr-71
Progress Rail,PRLX,SW1500,1517-1,Oct-72
Progress Rail,PRLX,SW1500,1518,May-67
Progress Rail,PRLX,SW1500,1520,May-67
Progress Rail,PRLX,SW1500,1521,Sep-73
Progress Rail,PRLX,SW1500,1522,Dec-72
Progress Rail,PRLX,SW1500,1523,Sep-69
Progress Rail,PRLX,SW1500,1524,Oct-72
Progress Rail,PRLX,SW1500,1525,Apr-69
Progress Rail,PRLX,SW1500,1526,Sep-67
Progress Rail,PRLX,SW1500,1527,Oct-67
Progress Rail,PRLX,SW1500,1528,Oct-72
Progress Rail,PRLX,SW1500,1529,Feb-72
Progress Rail,PRLX,SW1500,1530,Jun-67
Progress Rail,PRLX,SW1500,1531,Mar-72
Progress Rail,PRLX,SW1500,1532,Mar-72
Progress Rail,PRLX,SW1500,1533,May-72
Progress Rail,PRLX,SW1500,1534,Oct-72
Progress Rail,PRLX,GP15-1,1551,Dec-79
Progress Rail,PRLX,GP15-1,1552,Dec-79
Progress Rail,PRLX,GP15-1,1556,Dec-79
Progress Rail,PRLX,GP15-1,1559,Nov-79
Progress Rail,PRLX,GP15-1,1560,Nov-79
Progress Rail,PRLX,GP15-1,1561,Nov-79
Progress Rail,PRLX,GP15-1,1563,Dec-79
Progress Rail,PRLX,SD75M,"200, 01, 03-09",Mar-95
Progress Rail,PRLX,SD75M,210-217,Mar-95
Progress Rail,PRLX,SD75M,"219-21, 23-24",Apr-95
Progress Rail,PRLX,SD75M,"226, 28, 31, 32-50",Jun-95
Progress Rail,PRLX,SD75M,257,Nov-95
Progress Rail,PRLX,SD40-3,418,Oct-71
Progress Rail,PRLX,GP40,425 & 430,Oct-71
Progress Rail,PRLX,AC60CW ,603-699,May-99
Progress Rail,PRLX,GP38-2,"704, 706 & 709",
Progress Rail,PRLX,GP38-2,711 & 717,Aug-72
Progress Rail,PRLX,SW1504,1022,
Progress Rail,PRLX,SW1500,1102 & 1114,
Progress Rail,PRLX,SW1500,"1102, 1110, 1112, 1116, 1119 & 1121 sold to GATX in 8/2024",
Progress Rail,PRLX,SW1500,,
Progress Rail,PRLX,SW1200,1202,Feb-64
Progress Rail,PRLX,SW1200,#1212 & 1230 sold to GATX in 8/2024,
Progress Rail,PRLX,SW7,1236,Jan-51
Progress Rail,PRLX,GP15T,1500,Oct-82
Progress Rail,PRLX,MP15DC,1502,May-76
Progress Rail,PRLX,SW1500,1501,May-67
Progress Rail,PRLX,MP15BD,1502,May-76
Progress Rail,PRLX,SW1500,1591,
Progress Rail,PRLX,SD70MAC,1654 & 1656,Feb-00
Progress Rail,PRLX,GP40,2041,Jan-67
Progress Rail,PRLX,GP38,2239,
Progress Rail,PRLX,GP38,2249,
Progress Rail,PRLX,GP38,2243,
Progress Rail,PRLX,GP38,2245,
Progress Rail,PRLX,GP38,2261 (1st),
Progress Rail,PRLX,GP38,2261 (2nd),
Progress Rail,PRLX,MP15DC,2370 & 2373,Oct-79
Progress Rail,PRLX,MP15DC,2383,Oct-79
Progress Rail,PRLX,MP15DC,2384 & 2399,
Progress Rail,PRLX,MP15DC,"2403, 2407 & 2432",
Progress Rail,PRLX,SD70,2556,Oct-94
Progress Rail,PRLX,SD70,2557-80,Sep-98
Progress Rail,PRLX,SD70M,2581-2590,Nov-00
Progress Rail,PRLX,SD70M,2591-2623,May-25
Progress Rail,PRLX,SD70M,2627-2648,Dec-25
Progress Rail,PRLX,SD70M,#42643 sold to GATX in 8/2024,
Progress Rail,PRLX,GP40-3,2815,Jan-67
Progress Rail,PRLX,SD40T-2,"2832, 2833 & 2856",Jun-72
Progress Rail,PRLX,SD40T-2,2836,Feb-73
Progress Rail,PRLX,SD40T-2,2842,Jun-75
Progress Rail,PRLX,GP40,3022,Sep-71
Progress Rail,PRLX,SD40-2,3110,Apr-66
Progress Rail,PRLX,GP38-3,3867,Nov-74
Progress Rail,PRLX,GP38-3,"#3800, 3802, 3810, 3811, 3812, 3815, 3818 & 3885 sold to GATX in 8/2024",
Progress Rail,PRLX,SD70MAC,3900...3924,1999
Progress Rail,PRLX,SD70MAC,3931...3957,1999
Progress Rail,PRLX,SD70MAC,3959...3972,2000
Progress Rail,PRLX,GP9Rm,4012 & 4014,Oct-55
Progress Rail,PRLX,SD40-2,(4100 & 4101),
Progress Rail,PRLX,SD40-2,(4102-4105_,
Progress Rail,PRLX,SD40-2,All sold to GATX in 8/2024,
Progress Rail,PRLX,GP9Rm,4109,Aug-57
Progress Rail,PRLX,GP9Rm,4615 & 4627,Nov-56
Progress Rail,PRLX,SD70M,4685,1995
Progress Rail,PRLX,SD70M,4687,1995
Progress Rail,PRLX,SD70M,#4695 sold to GATX in 8/2024,
Progress Rail,PRLX,SD70ACe,4831-4850,May-04
Progress Rail,PRLX,SD70ACe,"#4840, 4844, 4846, 4847 sold to GATX in 8/2024",
Progress Rail,PRLX,GP38-2,5051 & 5061,
Progress Rail,PRLX,GP38-2,5075,
Progress Rail,PRLX,GP38-2,5098,Oct-73
Progress Rail,PRLX,GP38-2,5112 & 5127,Jan-74
Progress Rail,PRLX,GP38-2,5141,Oct-74
Progress Rail,PRLX,GP38-2,5182 & 5187,Oct-76
Progress Rail,PRLX,GP38-2,5228 & 5250,
Progress Rail,PRLX,GP38-2,"# 5105, 5132 & 5151 sold to GATX in 8/2024",
Progress Rail,PRLX,SD40-2W ,5243 & 5255,Jun-75
Progress Rail,PRLX,SD60 ,6002,Aug-87
Progress Rail,PRLX,SD60 ,"#6001, 6003, 6005, 6009, 6662, 6670 & 6674 sold to GATX in 8/2024",
Progress Rail,PRLX,SD60 ,"#6493, 6732, 6748, 6766, 6797, 6773 & 6924 sold to GATX in 8/2024",
Progress Rail,PRLX,SD80MAC,NS 7200-7214,
Progress Rail,PRLX,SD80MAC,NS 7216-7228,
Progress Rail,PRLX,SD70ACe-T4,EMDX 7201-7227,
Progress Rail,PRLX,SD70ACe-T4,EMDX 7228-7232,
Progress Rail,PRLX,SD70ACe-T4,7233-7242,
Progress Rail,PRLX,SD70ACe-T4,EMDX 7243-7252,
Progress Rail,PRLX,SD60M,8119 & 8122-24,Jan-90
Progress Rail,PRLX,SD60M,#8120 sold to GATX in 8/2024,
Progress Rail,PRLX,SD60M,8134 & 8136,Feb-90
Progress Rail,PRLX,SD60M,8139-8142 & 8144,Mar-90
Progress Rail,PRLX,SD60M,8147-8149,Mar-90
Progress Rail,PRLX,SD90MAC-H2,8523-26 & 8530,Nov-99
Progress Rail,PRLX,SD90MAC-H2,8531-38 & 8540,Nov-99
Progress Rail,PRLX,SD90MAC-H2,"8543, 46-48 & 50",Dec-99
Progress Rail,PRLX,SD90MAC-H2,"8552, 53, 55-59",Dec-99
Progress Rail,PRLX,SD90MAC-H2,8560-61,Dec-99
Progress Rail,PRLX,SD70ACe-T4,8900-8909,May-19
Progress Rail,PRLX,SD70MAC,9551-9564,Dec-94
Progress Rail,PRLX,GP40-2LW ,9669-9670,Dec-73
Progress Rail,PRLX,SD40-2,9917,Aug-75
Progress Rail,PRLX,SD40-2,#9912 sold to GATX in 8/2024,
Progress Rail,PRLX,F59PH,18533,Dec-88
Progress Rail,PRLX,GP38 ,"GATX 2166,2170",
Progress Rail,PRLX,GP38 ,"GATX 2239, 42-45, 47 & 49",
Progress Rail,PRLX,GP38 ,"GATX 2253, 61-63 & 65-69",
Progress Rail,PRLX,GP38 ,GATX 2270-72 & 75,
Progress Rail,PRLX,GP38 ,"GATX 2280, 82-83 & 85-88",
Progress Rail,PRLX,GP38 ,"GATX 2290, 91 & 94-99",
Progress Rail,PRLX,GP38u ,"GATX 2630, 2669 & 2680",
Progress Rail,PRLX,SD70MAC,KCS 3900-3924,
Progress Rail,PRLX,SD70MAC,KCS 3921-3957,
Progress Rail,PRLX,SD70MAC,KCS 3921-3957,
Progress Rail,PRLX,SD70MACU ,"NS 7231, 34, 38 & 39",
Progress Rail,PRLX,SD70MACU ,"NS 7244, 7248, 7250 & 7267",
Progress Rail,PRLX,SD70MACU ,"NS 7261, 7262, 7264, 7267 & 7268",
Progress Rail,PRLX,SD70MACU ,NS 7272-7275 & 79,
Progress Rail,PRLX,SD70MACU ,"NS7282, 7283, 7286 & 7287",
Progress Rail,PRLX,SD70MACU ,"NS 7290, 7293 & 7298",
Progress Rail,PRLX,SD70MACU ,"NS 7301, 05-08 & 10",
Progress Rail,PRLX,SD70MACU ,"NS 7311, 13, 15-19",
Progress Rail,PRLX,SD70MACU ,"NS 7320, 21, 23 & 28",
Progress Rail,PRLX,GP9 ,102 & 125,Aug-55
Progress Rail,PRLX,GP40-2 ,401 & 409 (2nd),Feb-71
Progress Rail,PRLX,B23-7 ,409 (1st),Sep-78
Progress Rail,PRLX,SW9 ,700,Feb-51
Progress Rail,PRLX,SW9 ,711,
Progress Rail,PRLX,GP35 ,1001 & 1002,Sep-64
Progress Rail,PRLX,GP35 ,1003-1006,Sep-65
Progress Rail,PRLX,GP35 ,1008,Aug-64
Progress Rail,PRLX,GP35 ,1009,May-64
Progress Rail,PRLX,GP35 ,1010,Jan-65
Progress Rail,PRLX,MP15T ,1220,Mar-85
Progress Rail,PRLX,SD40-2,1736,Jan-74
Progress Rail,PRLX,B23-7 ,1975,Apr-79
Progress Rail,PRLX,GP38 ,2006,Oct-67
Progress Rail,PRLX,SW1500,2213,Feb-72
Progress Rail,PRLX,SD CAT?,3001,
Progress Rail,PRLX,SD40-2 ,3066,Nov-71
Progress Rail,PRLX,B36-7 ,"3601, 08, 13 & 16",Oct-80
Progress Rail,PRLX,C36-8M ,"3622-23, 26 & 35",Nov-77
Progress Rail,PRLX,U23B / B23-7 ,"3908, 3915 & 3921",May-74
Progress Rail,PRLX,U23B / B23-7 ,3988 & 3997,Feb-80
Progress Rail,PRLX,GP40 ,6542,Feb-71
Progress Rail,PRLX,GP9Rm ,7056,Nov-56
Progress Rail,PRLX,GP10 ,7551,Apr-57
Progress Rail,PRLX,B36-7 ,7773,Jan-80
Progress Rail,PRLX,SD40-2 ,7875-7899,
Progress Rail,PRLX,SD40-2 ,7900-7916,
Progress Rail,PRLX,SD40-2 ,9933,Aug-78
Progress Rail,PRLX,GP10 ,8202,Apr-75
