Company,Abbr,Model,Road No.,Date
Railcar Leasing,RMGX,SD38-2,RMGX 1 & 2,Mar-74
Railcar Leasing,RMGX,SW900 / SW9 / SW1200,RMGX 115,Sep-51
Railcar Leasing,RMGX,SW900 / SW9 / SW1200,RMGX 711,Nov-53
Railcar Leasing,RMGX,SW900 / SW9 / SW1200,RMPX 1201 & 1205,Jan-63
Railcar Leasing,RMGX,SW14,RMPX 1401-1403,Apr-49
Railcar Leasing,RMGX,SW14,RMPX 1411 & 1443,Jul-51
Railcar Leasing,RMGX,SW14,"RMPX 1439, 1444 & 1452",May-50
Railcar Leasing,RMGX,GP38,RMGX 2000-2004,Jun-69
Railcar Leasing,RMGX,GP38,"RMGX 2005, 2007 & 2009",Feb-68
Railcar Leasing,RMGX,SW1,RMPX 2105,Dec-50
Railcar Leasing,RMGX,SW1500,RMPX 2482 & 2525,
Railcar Leasing,RMGX,SW1500,"RMPX 2602, 2680 & 2687",
Railcar Leasing,RMGX,B23-7,RMPX 3166,Sep-78
Railcar Leasing,RMGX,GP9Rm,RMGX 4002-4005,
Railcar Leasing,RMGX,C30-7,RMGX 5000 & 5004-06,Aug-79
Railcar Leasing,RMGX,C30-7,RMGX 5011 & 5013-24,Oct-79
Railcar Leasing,RMGX,C30-7,RMGX 5026-36 & 39-41,Oct-79
Railcar Leasing,RMGX,C30-7,"RMGX 5043, 45 & 46",Nov-79
Railcar Leasing,RMGX,C30-7,"RMGX 5049, 57 & 78",Apr-80
Railcar Leasing,RMGX,C30-7,RMGX 5574 & 5576,Feb-79
Railcar Leasing,RMGX,SD40 / SD40A,RMGX 5207,Sep-79
Railcar Leasing,RMGX,SD40 / SD40A,"RMGX 5126, 44, 60 & 5207",Jan-70
Railcar Leasing,RMGX,SD40 / SD40A,RMGX 6006 & 6008,Feb-71
Railcar Leasing,RMGX,GP40-2,RMPX 6409 & 6424,Apr-76
Railcar Leasing,RMGX,SW1200RS,"RMGX 8105, 8121 & 8122",Aug-58
Railcar Leasing,RMGX,GP10 / GP11,RMPX 8178,Jan-56
Railcar Leasing,RMGX,GP10 / GP11,RMPX 8409 & 8417,Mar-55
Railcar Leasing,RMGX,GP10 / GP11,"RMPX 8708, 8729 & 8753",Jul-56
Railcar Leasing,RMGX,GP40,"RMGX 9302, 03 & 07",May-66
Railcar Leasing,RMGX,GP40,RMGX 9308 & 9310,Jun-66
Railcar Leasing,RMGX,SW1200,RMPX 9354,Nov-57
Railcar Leasing,RMGX,GP40-2LW / GP40-2W,"RMPX 9404, 06, 13 & 20",Apr-75
Railcar Leasing,RMGX,GP40-2LW / GP40-2W,"RMPX 9426, 31 & 41-43",Jun-74
Railcar Leasing,RMGX,GP40-2LW / GP40-2W,"RMPX 9457, 64, 85 & 90",Jul-74
Railcar Leasing,RMGX,GP40-2LW / GP40-2W,"RMPX 9504, 05, 14, 20",Sep-74
Railcar Leasing,RMGX,GP40-2LW / GP40-2W,"RMPX 9578, 9603 & 9610",Jul-75
Railcar Leasing,RMGX,GP40-2LW / GP40-2W,"RMPX 9637, 9638 & 9645",Mar-76
Railcar Leasing,RMGX,GP40-2LW / GP40-2W,RMPX 9658 & 61,Jul-56
Railcar Leasing,RMGX,GP38,RMGX 9706-9708,Oct-69
