Company,Abbr,Model,Road No.,Bldr Date
S & S Leasing,SSRX,GP7U,116 & 117,Jul-57
S & S Leasing,SSRX,GP10,118,May-56
S & S Leasing,SSRX,GP7U,279,Apr-53
S & S Leasing,SSRX,SD10,550,May-56
S & S Leasing,SSRX,SD40,605,Apr-66
S & S Leasing,SSRX,SW1001,1005,Oct-75
S & S Leasing,SSRX,SW1200,1109,Feb-63
S & S Leasing,SSRX,SW600,1281,Mar-54
S & S Leasing,SSRX,SD40-2,1414,Jul-72
S & S Leasing,SSRX,MP15AC,1425,
S & S Leasing,SSRX,SW1500,1501 & 1502,Aug-71
S & S Leasing,SSRX,SW1500,1503,Aug-71
S & S Leasing,SSRX,SW1500,1510,Feb-70
S & S Leasing,SSRX,SW1500,1553,Oct-53
S & S Leasing,SSRX,MP15DC,2378,
S & S Leasing,SSRX,SD40-2,3780,Oct-80
S & S Leasing,SSRX,GP9R,4604,Jun-56
S & S Leasing,SSRX,GP9R,4605,Mar-57
S & S Leasing,SSRX,GP38,9525,Aug-69
S & S Leasing,SSRX,GP40-2L,9619,Mar-75
