Company,Abbr,Model,Road No.,Date
WATCO,WAMX,45-Ton,WAMX 45,
WATCO,WAMX,65-Ton,WAMX 88,Nov-47
WATCO,WAMX,SW2,WAMX 105,Dec-41
WATCO,WAMX,SW2,WAMX 106,Jun-41
WATCO,WAMX,SW1,WAMX 107,Jun-39
WATCO,WAMX,SW2,WAMX 109,Jan-51
WATCO,WAMX,F40PH,WAMX 110,Oct-77
WATCO,WAMX,F40PH,WAMX 111,Apr-78
WATCO,WAMX,F40PH,WAMX 112,Jun-78
WATCO,WAMX,,WAMX 133,
WATCO,WAMX,45-Ton,WAMX 135,
WATCO,WAMX,NW2,WAMX 403,Jan-41
WATCO,WAMX,SW8,WAMX 802,Dec-50
WATCO,WAMX,SW8,WAMX 805,Nov-52
WATCO,WAMX,SW9,WAMX 916,Nov-51
WATCO,WAMX,SW9,WAMX 920,Nov-51
WATCO,WAMX,SW9,WAMX 921,Oct-51
WATCO,WAMX,SW9,WAMX 923,Feb-51
WATCO,WAMX,SW9,WAMX 925,Jul-51
WATCO,WAMX,SW900,WAMX 950,May-57
WATCO,WAMX,GP10-3,WAMX 1004,Jun-53
WATCO,WAMX,GP10,WAMX 1054,May-54
WATCO,WAMX,SW10,WAMX 1102,Jul-52
WATCO,WAMX,,WAMX 1206,Mar-57
WATCO,WAMX,SW1200,WAMX 1209,Oct-58
WATCO,WAMX,SW1200,WAMX 1211,Jan-51
WATCO,WAMX,SW1200,WAMX 1216,Apr-66
WATCO,WAMX,SW1200,WAMX 1217,Mar-57
WATCO,WAMX,SW1500,WAMX 1500,May-73
WATCO,WAMX,SW1500,WAMX 1501,Apr-72
WATCO,WAMX,SW1500,WAMX 1503,Aug-66
WATCO,WAMX,MP15DC,WAMX 1504,Oct-74
WATCO,WAMX,SW1500,WAMX 1505,Oct-73
WATCO,WAMX,SW1500,WAMX 1506,Jul-68
WATCO,WAMX,SW1500,WAMX 1507,Jul-72
WATCO,WAMX,SW1500,WAMX 1508,Dec-68
WATCO,WAMX,SW1500,WAMX 1509,Jul-68
WATCO,WAMX,SW1500,WAMX 1510,Nov-69
WATCO,WAMX,SW1500,WAMX 1511,Aug-72
WATCO,WAMX,SW1500,WAMX 1512,Aug-72
WATCO,WAMX,SW1500-MEP,WAMX 1513,Dec-68
WATCO,WAMX,SW1500,WAMX 1515,Sep-72
WATCO,WAMX,SW1500,WAMX 1516,Sep-72
WATCO,WAMX,SW1500,WAMX 1517,Nov-72
WATCO,WAMX,SW1500,WAMX 1518,Mar-72
WATCO,WAMX,SW1500,WAMX 1519,Jun-69
WATCO,WAMX,SW1500,WAMX 1520,Feb-71
WATCO,WAMX,SW1500,WAMX 1521,Feb-72
WATCO,WAMX,SW1500,WAMX 1522,Feb-72
WATCO,WAMX,(Eco),WAMX 1523,Jun-70
WATCO,WAMX,SW1500,WAMX 1524,Mar-72
WATCO,WAMX,SW1500-3,WAMX 1525,Aug-66
WATCO,WAMX,SW1500-MEP,WAMX 1526,Dec-69
WATCO,WAMX,SW1500,WAMX 1527,Jun-69
WATCO,WAMX,SW1500,WAMX 1528,Dec-72
WATCO,WAMX,SW1500,WAMX 1529,Apr-72
WATCO,WAMX,SW1500,WAMX 1530,Apr-72
WATCO,WAMX,SW1500,WAMX 1531,Sep-73
WATCO,WAMX,SW1500,WAMX 1532,Aug-67
WATCO,WAMX,SW1500,WAMX 1533,May-70
WATCO,WAMX,SW1500,WAMX 1534,May-73
