Company,Abbr,Model,Road No.,Date
"Western Rails Inc,",WRIX,GP20 ,3,Apr-60
"Western Rails Inc,",WRIX,SD9m ,13,Apr-57
"Western Rails Inc,",WRIX,SW9 ,23,Dec-51
"Western Rails Inc,",WRIX,SW1200 ,82,Aug-65
"Western Rails Inc,",WRIX,SW900 ,120,Apr-59
"Western Rails Inc,",WRIX,SW9,149,
"Western Rails Inc,",WRIX,SW1200,165,
"Western Rails Inc,",WRIX,SD38AC,201 & 205,
"Western Rails Inc,",WRIX,GP35,251,
"Western Rails Inc,",WRIX,65-Tonner,311,
"Western Rails Inc,",WRIX,F40PH ,315,1979
"Western Rails Inc,",WRIX,GP16,316 & 318,
"Western Rails Inc,",WRIX,SW1200,401,
"Western Rails Inc,",WRIX,SD9,439,
"Western Rails Inc,",WRIX,SW1200,562 & 566,
"Western Rails Inc,",WRIX,SD9 ,650 & 651,Sep-57
"Western Rails Inc,",WRIX,SD18m,1229,
"Western Rails Inc,",WRIX,SW9,1270,
"Western Rails Inc,",WRIX,GP7r,1400,
"Western Rails Inc,",WRIX,GMD1,1407,
"Western Rails Inc,",WRIX,GMD1,1415 & 1441,
"Western Rails Inc,",WRIX,SW1500 ,1500,Jul-72
"Western Rails Inc,",WRIX,SW1500,1616,
"Western Rails Inc,",WRIX,SW1500,1617,
"Western Rails Inc,",WRIX,GP9,1761,
"Western Rails Inc,",WRIX,B40-8 ,1807,Aug-87
"Western Rails Inc,",WRIX,B40-8 ,1847,Aug-88
"Western Rails Inc,",WRIX,GP30,2253,
"Western Rails Inc,",WRIX,SD60M,2302 & 2390,
"Western Rails Inc,",WRIX,SD60M,2494,
"Western Rails Inc,",WRIX,GP30,2676,
"Western Rails Inc,",WRIX,GP38,2795,
"Western Rails Inc,",WRIX,SD40T-2,2891,
"Western Rails Inc,",WRIX,SD38-2 ,2940,Jun-80
"Western Rails Inc,",WRIX,SD40-2 ,3000,Feb-72
"Western Rails Inc,",WRIX,GP30 ,3028,Feb-63
"Western Rails Inc,",WRIX,GP20U,3043,
"Western Rails Inc,",WRIX,GP40 ,3149,Sep-68
"Western Rails Inc,",WRIX,GP9 ,3186,Jun-54
"Western Rails Inc,",WRIX,SD40-2,3312,
"Western Rails Inc,",WRIX,GP35 ,3503,Apr-65
"Western Rails Inc,",WRIX,GP35 - 8/65,3507,
"Western Rails Inc,",WRIX,GP39-2 - 8/65,3509,
"Western Rails Inc,",WRIX,GP35,3511,
"Western Rails Inc,",WRIX,SW1200,3529,
"Western Rails Inc,",WRIX,SD9,4404,
"Western Rails Inc,",WRIX,GP9,4540,
"Western Rails Inc,",WRIX,GP9R,7216,
"Western Rails Inc,",WRIX,GP10,8305,
"Western Rails Inc,",WRIX,GP9 ,8319,Feb-55
"Western Rails Inc,",WRIX,SDW1200,8347,
"Western Rails Inc,",WRIX,SD40T-2,8702,
"Western Rails Inc,",WRIX,GP40-2LW,9421,
"Western Rails Inc,",WRIX,SD40T-2,"35021, 35022",
