,index,Model,Build Year,Total Produced,Power Output
0,0,SW8,1950–1954,65,800
1,1,SW9,1951–1953,29,1200
2,2,SW900,1953–1969,97,900
3,3,SW1200,1956–1964,23,1200
4,4,SW1200RS,1955–1960,264,1200
5,5,GMDH-1,1956–1959,4,600
6,6,GMDH-3,1960,1,275
7,7,MP15AC,1984,4,1500
8,8,F7A,1950–1952,80,1500
9,9,FP7,1950–1953,57,1500
10,10,F7B,1951–1953,47,1500
11,11,FP9,1954–1958,54,1750
12,12,F9B,1954–1958,46,1750
13,13,GP7,1950–1953,112,1500
14,14,GP9,1954–1963,646,1750
15,15,GP9m,1958,1,1500
16,16,GP7L-m,1978,5,1500
17,17,GMD-1,1958–1959,18,1200
18,18,GMD-1,1958–1960,83,1200
19,19,GP30,1963,2,2250
20,20,GP35,1964–1966,26,2500
21,21,GP38AC,1970–1971,21,2000
22,22,GP38-2,1972–1986,204,2000
23,23,GP38-2W,1973–1974,51,2000
24,24,GP40,1966–1967,16,3000
25,25,GP40TC,1968,8,3000
26,26,GP40-2(W),1973–1975,11,3000
27,27,GP40-2LW,1974–1976,268,3000
28,28,F40PH,1978,6,3000
29,29,F40PH-2,1986–1989,59,3200
30,30,F59PH,1988–1990,42,3000
31,31,NF110,"1952, 1953",9,1200
32,32,NF210,1956–1960,38,1200
33,33,SD38-2,1972–1979,4,2000
34,34,SD40,1966–1972,340,3000
35,35,SD40-2,1972–1985,619,3000
36,36,SD40-2W,1975–1980,123,3000
37,37,SD40-2F,1988–1989,25,3000
38,38,SD50F,1985–1987,60,3500
39,39,SD60F,1985–1989,64,3800
40,40,G8,1954–1965,23,875
41,41,GL8,1954,2,875
42,42,B12,1953,9,
43,43,B12,"1955, 1957",40,
44,44,G12,1953–1964,676,1310
45,45,G12,1954–1967,292,1425
46,46,G18B,1990,5,
47,47,EMD G18U6,1968-1971,8,1100
48,48,GT18L-2,1988,16,
49,49,GT18LC-2,1988,12,
50,50,GT18LC-2M,1988,5,
51,51,G22CU,1979,30,
52,52,New Zealand DF class,1979–1980,30,1650
53,53,GL22MC,1979,3,
54,54,SW1200MG,1963–1971,9,1200
55,55,GF6C,1983–1984,7,6000
56,56,HBU-4,1978–1980,23,
