0,1,2,3,4
Road No.,Bldr & Model,Serial Nmbr,Date,Notes
MJRX 201,EMD/ATSF CF7,"8929
12/49
Ex-TSRR 201 < INRD 201 < INRD 2539 < ATSF 2539 < nee ATSF F7A 221C","12/49
Ex-TSRR 201 < INRD 201 < INRD 2539 < ATSF 2539 < nee ATSF F7A 221C",Ex-TSRR 201 < INRD 201 < INRD 2539 < ATSF 2539 < nee ATSF F7A 221C
MJRX 513,EMD GP35R,"30157
5/65
Ex-Northern Vermont 513 < SP 6336","5/65
Ex-Northern Vermont 513 < SP 6336",Ex-Northern Vermont 513 < SP 6336
MJRX 650,EMD GP9r,"22601
6/56
Ex-GMTX 650 < nee BRC GP9 480","6/56
Ex-GMTX 650 < nee BRC GP9 480",Ex-GMTX 650 < nee BRC GP9 480
MJRX 651,EMD GP9r,"17989
x/56
Ex-GMTX 651 < IC 8043 < ICG GP10 8043 < PLE 1503 < nee PLE GP7 5734","x/56
Ex-GMTX 651 < IC 8043 < ICG GP10 8043 < PLE 1503 < nee PLE GP7 5734",Ex-GMTX 651 < IC 8043 < ICG GP10 8043 < PLE 1503 < nee PLE GP7 5734
MJRX 711,EMD GP30?,"28331
4/63
Ex-Wisconsin Central 711 < nee-Soo 711","4/63
Ex-Wisconsin Central 711 < nee-Soo 711",Ex-Wisconsin Central 711 < nee-Soo 711
MJRX 750,EMD SD40M-2,"36752
7/70
Sold to Wisconsin Southern; ex-EJ&E 750 < MPEX 750 < Utah Ry. 9001 < CSXT 8382 < nee C&O 7523","7/70
Sold to Wisconsin Southern; ex-EJ&E 750 < MPEX 750 < Utah Ry. 9001 < CSXT 8382 < nee C&O 7523",Sold to Wisconsin Southern; ex-EJ&E 750 < MPEX 750 < Utah Ry. 9001 < CSXT 8382 < nee C&O 7523
MJRX 751,EMD SD40M-2,"36751
7/70
Sold Wisconsin Southern; ex-EJ&E 751 < MPEX 751 < Utah Ry. 9007 < CSXT 8381 < nee CSXT 7522","7/70
Sold Wisconsin Southern; ex-EJ&E 751 < MPEX 751 < Utah Ry. 9007 < CSXT 8381 < nee CSXT 7522",Sold Wisconsin Southern; ex-EJ&E 751 < MPEX 751 < Utah Ry. 9007 < CSXT 8381 < nee CSXT 7522
MJRX 849,GE B30-7,"44234
3/79
Sold to TLSX; ex-DAKS 849 < nee SP 7849","3/79
Sold to TLSX; ex-DAKS 849 < nee SP 7849",Sold to TLSX; ex-DAKS 849 < nee SP 7849
MJRX 1021,EMD SD20,"25664
1/60
Ex-M&NA 1021 < NREX 2021 < IC/ICG 2021 < nee Southern SD24 6315","1/60
Ex-M&NA 1021 < NREX 2021 < IC/ICG 2021 < nee Southern SD24 6315",Ex-M&NA 1021 < NREX 2021 < IC/ICG 2021 < nee Southern SD24 6315
MJRX 1023,EMD SD20,"25653
12/59
Ex-M&NA 1023 < ICG 2023 < nee Southern SD24 6953","12/59
Ex-M&NA 1023 < ICG 2023 < nee Southern SD24 6953",Ex-M&NA 1023 < ICG 2023 < nee Southern SD24 6953
MJRX 1606,Yard Slug,"34704
4/1963
Ex-Southern Pacific 7512","4/1963
Ex-Southern Pacific 7512",Ex-Southern Pacific 7512
MJRX 1752,EMD GP10,"11042
10/1950
Ex-ABEX 1752 < CERRA 1752 < CIND 1752 < BN 1416 < BN 1516 < nee GN 616","10/1950
Ex-ABEX 1752 < CERRA 1752 < CIND 1752 < BN 1416 < BN 1516 < nee GN 616",Ex-ABEX 1752 < CERRA 1752 < CIND 1752 < BN 1416 < BN 1516 < nee GN 616
MJRX 1901,EMD GP9u,"23154
4/1957
Ex-TSR 1652 < BNSF 1652 < ATSF GP9u 2263 < nee ATSF 751","4/1957
Ex-TSR 1652 < BNSF 1652 < ATSF GP9u 2263 < nee ATSF 751",Ex-TSR 1652 < BNSF 1652 < ATSF GP9u 2263 < nee ATSF 751
MJRX 1902,EMD GP9u,"23154
4/1957
Ex-CRFC 1902 < TSR 1950 < BNSF 1638 < ATSF GP9u 2247 < nee ATSF 2939","4/1957
Ex-CRFC 1902 < TSR 1950 < BNSF 1638 < ATSF GP9u 2247 < nee ATSF 2939",Ex-CRFC 1902 < TSR 1950 < BNSF 1638 < ATSF GP9u 2247 < nee ATSF 2939
MJRX 2050,EMD GP7u,"17645
12/1952
Ex-ATSF 2834","12/1952
Ex-ATSF 2834",Ex-ATSF 2834
