0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road No.,MPI Model,Serial No.,Date,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEX 244 MP21B 0107-01 5/08 GenSet,MP21B 0107-01 5/08 GenSet,0107-01 5/08 GenSet,5/08 GenSet,GenSet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP 501-503 MK5000C 3092-01 to 03 8/94 Rebuilt and sold to Utah Rwy 5001-5003,MK5000C 3092-01 to 03 8/94 Rebuilt and sold to Utah Rwy 5001-5003,3092-01 to 03 8/94 Rebuilt and sold to Utah Rwy 5001-5003,8/94 Rebuilt and sold to Utah Rwy 5001-5003,Rebuilt and sold to Utah Rwy 5001-5003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEX 1501 MP1500D 22069 7/56 Demonstrator; built from DRGW GP9 5932,MP1500D 22069 7/56 Demonstrator; built from DRGW GP9 5932,22069 7/56 Demonstrator; built from DRGW GP9 5932,7/56 Demonstrator; built from DRGW GP9 5932,Demonstrator; built from DRGW GP9 5932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MPEX 1502 & 1503 MP1500D 21362, 16456 4/56, 4/52 Demonstrators; built from SP 1802 & C&NW 4207 < nee SP GP9 5664 & CRIP GP7 1309","MP1500D 21362, 16456 4/56, 4/52 Demonstrators; built from SP 1802 & C&NW 4207 < nee SP GP9 5664 & CRIP GP7 1309","21362, 16456 4/56, 4/52 Demonstrators; built from SP 1802 & C&NW 4207 < nee SP GP9 5664 & CRIP GP7 1309","4/56, 4/52 Demonstrators; built from SP 1802 & C&NW 4207 < nee SP GP9 5664 & CRIP GP7 1309",Demonstrators; built from SP 1802 & C&NW 4207 < nee SP GP9 5664 & CRIP GP7 1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MPEX 1504 & 1505 MP1500D 20759, 23865 12/55, 1/58 Demonstrators; built from CC&P GP10 8121 & IC GP10 8186 < nee IC GP9 9121 & 9365","MP1500D 20759, 23865 12/55, 1/58 Demonstrators; built from CC&P GP10 8121 & IC GP10 8186 < nee IC GP9 9121 & 9365","20759, 23865 12/55, 1/58 Demonstrators; built from CC&P GP10 8121 & IC GP10 8186 < nee IC GP9 9121 & 9365","12/55, 1/58 Demonstrators; built from CC&P GP10 8121 & IC GP10 8186 < nee IC GP9 9121 & 9365",Demonstrators; built from CC&P GP10 8121 & IC GP10 8186 < nee IC GP9 9121 & 9365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEX 1506 MP1500D -- -- Demonstrator,MP1500D -- -- Demonstrator,-- -- Demonstrator,-- Demonstrator,Demonstrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE 2001 & 2002 B23-7R 38397, 38403 7/89 ""Super Seven"" demonstrators (built in association with General Electric) from ex-WP U23B 2251 & 2257","B23-7R 38397, 38403 7/89 ""Super Seven"" demonstrators (built in association with General Electric) from ex-WP U23B 2251 & 2257","38397, 38403 7/89 ""Super Seven"" demonstrators (built in association with General Electric) from ex-WP U23B 2251 & 2257",7/89,"""Super Seven"" demonstrators (built in association with General Electric) from ex-WP U23B 2251 & 2257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEX 2001 MP2000D 30180 8/98 Demonstrator; built on frame from SP 6668 < SP GP35 7771,MP2000D 30180 8/98 Demonstrator; built on frame from SP 6668 < SP GP35 7771,30180 8/98 Demonstrator; built on frame from SP 6668 < SP GP35 7771,8/98,Demonstrator; built on frame from SP 6668 < SP GP35 7771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
