Company,Abbr,Model,Road No.,Date
Motive - Rail Incorporated,MRIX,SC15A,,
Motive - Rail Incorporated,MRIX,GP7,15858,Feb-52
Motive - Rail Incorporated,MRIX,GP10,20766,Dec-55
Motive - Rail Incorporated,MRIX,GP8,12257,Nov-50
Motive - Rail Incorporated,MRIX,GP9,24877,May-59
Motive - Rail Incorporated,MRIX,GP9,23549,May-57
Motive - Rail Incorporated,MRIX,MP15DC,827018-16,Nov-82
Motive - Rail Incorporated,MRIX,MP15AC,756064-44,Sep-75
Motive - Rail Incorporated,MRIX,MP15AC,75064-46,Sep-75
Motive - Rail Incorporated,MRIX,GP7,15179,Oct-51
Motive - Rail Incorporated,MRIX,GP40-2,776127-21,Jun-78
Motive - Rail Incorporated,MRIX,GP9R,A1462,Feb-58
Motive - Rail Incorporated,MRIX,GP10,23800,Dec-57
Motive - Rail Incorporated,MRIX,GP10,23233,Jun-57
Motive - Rail Incorporated,MRIX,GP10,20762,Dec-55
Motive - Rail Incorporated,MRIX,GP8,22279,Dec-56
Motive - Rail Incorporated,MRIX,GP10,16688,Jul-52
Motive - Rail Incorporated,MRIX,GP8,18810,May-54
Motive - Rail Incorporated,MRIX,GP8,18817,May-54
Motive - Rail Incorporated,MRIX,GP10,23857,Jan-58
Motive - Rail Incorporated,MRIX,GP10,25033,Dec-58
Motive - Rail Incorporated,MRIX,GP10,20761,Dec-55
Motive - Rail Incorporated,MRIX,GP10,23854,Jan-58
Motive - Rail Incorporated,MRIX,GP9R,25059,Feb-59
Motive - Rail Incorporated,MRIX,GP9R,24756,Oct-58
Motive - Rail Incorporated,MRIX,GP10,16348,Jun-52
Motive - Rail Incorporated,MRIX,GP7L,,
Motive - Rail Incorporated,MRIX,GP7,,
Motive - Rail Incorporated,MRIX,RP14BD,,
Motive - Rail Incorporated,MRIX,RP14BD,,
Motive - Rail Incorporated,MRIX,B30-7,,
Motive - Rail Incorporated,MRIX,B30-7,,
Motive - Rail Incorporated,MRIX,B30-7,,
Motive - Rail Incorporated,MRIX,B23-7,,
Motive - Rail Incorporated,MRIX,GP35M,,
Motive - Rail Incorporated,MRIX,GP40-2,776127-28,Jun-78
