0,1,2,3
NREX-Lettered & Road No.,Prime Mover,Model,Notes
NREX 700 QSK 19 1GS7B Gen Set Demonstrator,QSK 19 1GS7B Gen Set Demonstrator,1GS7B Gen Set Demonstrator,Gen Set Demonstrator
"NREX 1400 QSK 19 (two) 2GS14B/SW Gen Set Demonstrator, blt from FWWR 1500; S/N 5170-13","QSK 19 (two) 2GS14B/SW Gen Set Demonstrator, blt from FWWR 1500; S/N 5170-13","2GS14B/SW Gen Set Demonstrator, blt from FWWR 1500; S/N 5170-13","Gen Set Demonstrator, blt from FWWR 1500; S/N 5170-13"
NREX 2007 QSK 19 (two) 2GS14B Gen Set Demonstrator,QSK 19 (two) 2GS14B Gen Set Demonstrator,2GS14B Gen Set Demonstrator,Gen Set Demonstrator
NREX 2008-2009 QSK 19 (three) 3GS21B Gen Set Demonstrator,QSK 19 (three) 3GS21B Gen Set Demonstrator,3GS21B Gen Set Demonstrator,Gen Set Demonstrator
(NREX 2011) QSK 19 (three) 3GS21B Ex-Gen Set Demonstrator has been re-painted to BNSF 1240,QSK 19 (three) 3GS21B Ex-Gen Set Demonstrator has been re-painted to BNSF 1240,3GS21B Ex-Gen Set Demonstrator has been re-painted to BNSF 1240,Ex-Gen Set Demonstrator has been re-painted to BNSF 1240
(NREX 2013) QSK 19 (three) 3GS21B Ex-Gen Set Demonstrator has been re-painted to BNSF 1286,QSK 19 (three) 3GS21B Ex-Gen Set Demonstrator has been re-painted to BNSF 1286,3GS21B Ex-Gen Set Demonstrator has been re-painted to BNSF 1286,Ex-Gen Set Demonstrator has been re-painted to BNSF 1286
"NREX 2020 QSK19L (three) 2GS36-DC Gen Set Demonstrator, blt from a SD40-2","QSK19L (three) 2GS36-DC Gen Set Demonstrator, blt from a SD40-2","2GS36-DC Gen Set Demonstrator, blt from a SD40-2","Gen Set Demonstrator, blt from a SD40-2"
"NREX 3600 QSK50L (two) 2GS36-DC Gen Set Demonstrator, blt from a SD40-2","QSK50L (two) 2GS36-DC Gen Set Demonstrator, blt from a SD40-2","2GS36-DC Gen Set Demonstrator, blt from a SD40-2","Gen Set Demonstrator, blt from a SD40-2"
"NREX 5462 16-710G SD50U ""N-Force"" Demonstrator; unit is ex-Norfolk Southern 5462, nee Conrail","16-710G SD50U ""N-Force"" Demonstrator; unit is ex-Norfolk Southern 5462, nee Conrail","SD50U ""N-Force"" Demonstrator; unit is ex-Norfolk Southern 5462, nee Conrail","""N-Force"" Demonstrator; unit is ex-Norfolk Southern 5462, nee Conrail"
NREX-Lettered & Road No.,Builder,Model,Notes
51 EMD GP38 Ex-Phelps-Dodge 51,EMD GP38 Ex-Phelps-Dodge 51,GP38 Ex-Phelps-Dodge 51,Ex-Phelps-Dodge 51
54 EMD GP7 -,EMD GP7 -,GP7 -,-
99 EMD GP9 -,EMD GP9 -,GP9 -,-
103 EMD GP7 -,EMD GP7 -,GP7 -,-
"104, 109 & 127-29 EMD G8 -",EMD G8 -,G8 -,-
113 EMD GP7 Ex-Rail America 113 < WT&L 113L < Nee MKT 113,EMD GP7 Ex-Rail America 113 < WT&L 113L < Nee MKT 113,GP7 Ex-Rail America 113 < WT&L 113L < Nee MKT 113,Ex-Rail America 113 < WT&L 113L < Nee MKT 113
203 & 206 EMD SD38AC Ex-DM&IR 203 & 206,EMD SD38AC Ex-DM&IR 203 & 206,SD38AC Ex-DM&IR 203 & 206,Ex-DM&IR 203 & 206
209 EMD GP9 -,EMD GP9 -,GP9 -,-
224 EMD SD40-2 Ex-QNSL 224,EMD SD40-2 Ex-QNSL 224,SD40-2 Ex-QNSL 224,Ex-QNSL 224
232 EMD SD40 Ex-IMRL 232 < UP 4060 MP 3060 < nee MP 760,EMD SD40 Ex-IMRL 232 < UP 4060 MP 3060 < nee MP 760,SD40 Ex-IMRL 232 < UP 4060 MP 3060 < nee MP 760,Ex-IMRL 232 < UP 4060 MP 3060 < nee MP 760
251 EMD G8 -,EMD G8 -,G8 -,-
413 EMD SD35 -,EMD SD35 -,SD35 -,-
"770, 773, 783 & 785 EMD SD40-2 Ex-SOO Line (same #s)",EMD SD40-2 Ex-SOO Line (same #s),SD40-2 Ex-SOO Line (same #s),Ex-SOO Line (same #s)
900-901 EMD SD40-2 Ex-UP,EMD SD40-2 Ex-UP,SD40-2 Ex-UP,Ex-UP
1049-50 Alco C424m -,Alco C424m -,C424m -,-
1299 EMD GP7 -,EMD GP7 -,GP7 -,-
1993 GE B23-7 -,GE B23-7 -,B23-7 -,-
FWWD 2013 & 2014,2GS14B,-,--
FWWD 2015 & 2018,SD40-2,-,--
"2025, 2029 & 2051 EMD SD20 -",EMD SD20 -,SD20 -,-
2062-06 & 11 EMD GT26CW -,EMD GT26CW -,GT26CW -,-
2062-31 & 48 EMD GT26CW -,EMD GT26CW -,GT26CW -,-
2251 EMD GP30 -,EMD GP30 -,GP30 -,-
"UP 2312, 2364, 2371 EMD SD60M -",EMD SD60M -,SD60M -,-
"UP 2381, 2392, 2437 & 2454 EMD SD60M -",EMD SD60M -,SD60M -,-
"2748, 2752 & 2761 EMD SD40-2 -",EMD SD40-2 -,SD40-2 -,-
"2802, 2809 & 2902 EMD GP49 Ex-Alaska (same #s)",EMD GP49 Ex-Alaska (same #s),GP49 Ex-Alaska (same #s),Ex-Alaska (same #s)
2940 EMD GP50 -,EMD GP50 -,GP50 -,-
3152 EMD GP40 Ex-KCS 3152(1st) < GWWR 3020,EMD GP40 Ex-KCS 3152(1st) < GWWR 3020,GP40 Ex-KCS 3152(1st) < GWWR 3020,Ex-KCS 3152(1st) < GWWR 3020
"3175, 3455 & 3934 EMD SD40-2 Ex-?",EMD SD40-2 Ex-?,SD40-2 Ex-?,Ex-?
3333,EMD,GP50,Ex-FWWR 2010 < FURX 2925 < UP 5529 < nee C&NW 5075
3401 EMD SW1200/SW9 Ex-??,EMD SW1200/SW9 Ex-??,SW1200/SW9 Ex-??,Ex-??
3641 EMD GP38AC Ex-Port of Montana,EMD GP38AC Ex-Port of Montana,GP38AC Ex-Port of Montana,Ex-Port of Montana
3513 & 3514 EMD SW1200R Ex-??,EMD SW1200R Ex-??,SW1200R Ex-??,Ex-??
"3800-01, 04, 10, 3816-19 EMD SD38 Ex-NS",EMD SD38 Ex-NS,SD38 Ex-NS,Ex-NS
4339 EMD SD9 Ex-SP,EMD SD9 Ex-SP,SD9 Ex-SP,Ex-SP
4403-4406 EMD SD40-2 Ex-LLPX < CP < GATX < UP < nee MP,EMD SD40-2 Ex-LLPX < CP < GATX < UP < nee MP,SD40-2 Ex-LLPX < CP < GATX < UP < nee MP,Ex-LLPX < CP < GATX < UP < nee MP
4631 EMD GP40-2 -,EMD GP40-2 -,GP40-2 -,-
"5413, 5417 & 5482 EMD SD40-2 Ex-CP (same #s)",EMD SD40-2 Ex-CP (same #s),SD40-2 Ex-CP (same #s),Ex-CP (same #s)
"5449, 5463 & 5471 EMD SD50 -",EMD SD50 -,SD50 -,-
5534 GMDD SD40-2 Ex-CP 5678,GMDD SD40-2 Ex-CP 5678,SD40-2 Ex-CP 5678,Ex-CP 5678
5542 & 5668 EMD SD40-2 -,EMD SD40-2 -,SD40-2 -,-
5809 EMD G12 -,EMD G12 -,G12 -,-
