Company,Abbr,Model,Road No.,Date
OmniTrax,OMLX,MP15DC,15,Dec-76
OmniTrax,OMLX,GP7,28,Mar-51
OmniTrax,OMLX,GP9,34,Jun-57
OmniTrax,OMLX,GP9,101,Jan-59
OmniTrax,OMLX,SW14,141,Sep-50
OmniTrax,OMLX,SW1000,143 & 145,Oct-66
OmniTrax,OMLX,SW1500,151,Aug-67
OmniTrax,OMLX,SD9,201,Feb-58
OmniTrax,OMLX,GP38-2,343,Jan-73
OmniTrax,OMLX,GP38-2,382,Jun-77
OmniTrax,OMLX,SD40-2/3,405,
OmniTrax,OMLX,SD40-2/3,406,
OmniTrax,OMLX,SD40-2/3,407,Mar-80
OmniTrax,OMLX,SD40-2/3,408,Dec-69
OmniTrax,OMLX,SD40-2/3,409,Jun-66
OmniTrax,OMLX,SD40-2/3,410,Aug-79
OmniTrax,OMLX,SD40-2/3,412,Apr-66
OmniTrax,OMLX,SD40-2/3,414,Nov-71
OmniTrax,OMLX,SD40-2/3,415,Feb-67
OmniTrax,OMLX,SD40-2/3,416,Apr-67
OmniTrax,OMLX,SD40-2/3,417,Aug-79
OmniTrax,OMLX,SD40-2/3,418,1980
OmniTrax,OMLX,SD50M,501,Dec-85
OmniTrax,OMLX,SD50M,502,Nov-85
OmniTrax,OMLX,SD50M,503,Feb-86
OmniTrax,OMLX,SW1200,824,Feb-66
OmniTrax,OMLX,GP10,"1006, 1010 & 1025",Apr-56
OmniTrax,OMLX,GP10,1048,Apr-52
OmniTrax,OMLX,GP10,"1030, 1039 & 1048",Jul-56
OmniTrax,OMLX,GP10,1061 & 1070,Jan-57
OmniTrax,OMLX,SW1200,1200,Dec-64
OmniTrax,OMLX,SW14,1451,Sep-50
OmniTrax,OMLX,SW14,1460,Jul-51
OmniTrax,OMLX,SW14,1463,Jun-51
OmniTrax,OMLX,SW14,1472,Jul-51
OmniTrax,OMLX,SW14,1474,Jan-51
OmniTrax,OMLX,GP9E,22950,Mar-57
OmniTrax,OMLX,GP7,1701,Mar-52
OmniTrax,OMLX,SD9E,1750,Feb-56
OmniTrax,OMLX,SD9E,1751 & 1752,Feb-56
OmniTrax,OMLX,GP9 / GP10,1777,Apr-56
OmniTrax,OMLX,GP9 / GP10,1800 & 1801,"1/58, 12/54"
OmniTrax,OMLX,GP38-2,2000,Jun-77
OmniTrax,OMLX,GP38-2,2001 & 2002,Jun-77
OmniTrax,OMLX,GP9E,2003,May-56
OmniTrax,OMLX,SW1200,2005,Sep-65
OmniTrax,OMLX,GP35,2006,
OmniTrax,OMLX,GP35,2007,Jun-64
OmniTrax,OMLX,SW1200,2008,Sep-65
OmniTrax,OMLX,GP7U,2239,Nov-52
OmniTrax,OMLX,GP38-3,2250,Dec-64
OmniTrax,OMLX,GP38-3,2254,Dec-64
OmniTrax,OMLX,GP38-3,2256,Jun-64
OmniTrax,OMLX,SW1200,2259,Dec-64
OmniTrax,OMLX,GP38-2,2301,Nov-81
