Company,Abbr,Model,Road No.,Date
Preferred Lease Management,PLM,SD40M-2,3000,Mar-67
Preferred Lease Management,PLM,SD40M-2,3004,Mar-67
Preferred Lease Management,PLM,SD40M-2,3018,Mar-66
Preferred Lease Management,PLM,SD40M-2,3019,Mar-66
Preferred Lease Management,PLM,SD40M-2,3021,Mar-66
Preferred Lease Management,PLM,SD40M-2,3029,Feb-68
Preferred Lease Management,PLM,SD40M-2,3041,Mar-65
Preferred Lease Management,PLM,1,3052,Oct-66
Preferred Lease Management,PLM,SD40M-2,3058,Jan-70
Preferred Lease Management,PLM,SD40M-2,3104,Jun-74
,,,,
,,,,
