Company,Abbr,Model,Road No.,Date
Pioneer Lines,PREX,GP8,471,
Pioneer Lines,PREX,GP7 / GP8,700-701,Mar-51
Pioneer Lines,PREX,GP7 / GP8,801 & 802*,"6/52, 1/58"
Pioneer Lines,PREX,GP7 / GP8,804-806,"7,11/53 & 3/53"
Pioneer Lines,PREX,GP9 / GP10,905*,Dec-56
Pioneer Lines,PREX,GP9 / GP10,907 & 908,Apr-59
Pioneer Lines,PREX,SW1500,1500,Feb-70
Pioneer Lines,PREX,GP16,1600 & 1601,"12/52, 11/51"
Pioneer Lines,PREX,GP16,1602 & 1603,Nov-55
Pioneer Lines,PREX,GP16,1605 & 1606,"10/56, 11/55"
Pioneer Lines,PREX,GP16,1608 & 1612,"11, 9/51"
Pioneer Lines,PREX,GP16,"1609, 10, & 16","9,9,8/50"
Pioneer Lines,PREX,GP20,"3032, 46 & 48","8,10,10/61"
Pioneer Lines,PREX,GP20,3054 & 3060,11/12/1961
Pioneer Lines,PREX,T-6,101,Mar-58
Pioneer Lines,PREX,RS3m,102,Mar-53
Pioneer Lines,PREX,NW2,103,Sep-49
Pioneer Lines,PREX,NW2,107 & 108,"3/39, 6/49"
Pioneer Lines,PREX,F7A,401,Feb-53
Pioneer Lines,PREX,F7A,402,Dec-49
Pioneer Lines,PREX,GP10,1001,Jun-56
Pioneer Lines,PREX,FP9 / F9B,1750 -1752,"10-11/54, 1/55"
Pioneer Lines,PREX,FP9 / F9B,1754 & 1755,"3,5/57"
Pioneer Lines,PREX,FP9 / F9B,1761,Feb-55
Pioneer Lines,PREX,GP20,2002 & 2003,May-60
Pioneer Lines,PREX,GP20,"2010, 2013 & 2015",Jun-60
Pioneer Lines,PREX,GP20,"2017, 2018 & 2024",8/9/1961
Pioneer Lines,PREX,GP20,"2026, 2029 & 2031","9,10,12/61"
Pioneer Lines,PREX,GP20,"2032, 2035 & 2036",Oct-61
Pioneer Lines,PREX,GP20,"2038, 2040 & 2041",Nov-61
Pioneer Lines,PREX,GP20,2045-47 & 2050*,Dec-61
Pioneer Lines,PREX,GP20,"2053, 2054 & 2057*",Mar-61
Pioneer Lines,PREX,SD24,2400,Mar-63
Pioneer Lines,PREX,GP20,"3000, 01, 05 & 23","5,5,5,7/60"
Pioneer Lines,PREX,GP20,3069,Dec-61
Pioneer Lines,PREX,GP9E / GP7,3400,May-56
Pioneer Lines,PREX,GP9E / GP7,4307,Oct-57
Pioneer Lines,PREX,GP9E / GP7,7002,May-56
Pioneer Lines,PREX,GP10,8057,May-52
Pioneer Lines,PREX,GP7,8281,May-52
