0,1,2,3,4
Model (& Bldr),Road No.,Serial No.,Date,Notes
"SD38-2 (EMD)
RMGX 1 & 2
72656-1 & 2
3/74
Ex-AMAX WG-1 & WG-2","RMGX 1 & 2
72656-1 & 2
3/74
Ex-AMAX WG-1 & WG-2","72656-1 & 2
3/74
Ex-AMAX WG-1 & WG-2","3/74
Ex-AMAX WG-1 & WG-2",Ex-AMAX WG-1 & WG-2
"SW900 / SW9 / SW1200 (EMD)
RMGX 115
14666
9/51
Ex-CR 8715, exx-Reading 1515","RMGX 115
14666
9/51
Ex-CR 8715, exx-Reading 1515","14666
9/51
Ex-CR 8715, exx-Reading 1515","9/51
Ex-CR 8715, exx-Reading 1515","Ex-CR 8715, exx-Reading 1515"
"RMGX 711
18870
11/53
SW9; ex-Appalachicola Northern 711","18870
11/53
SW9; ex-Appalachicola Northern 711","11/53
SW9; ex-Appalachicola Northern 711",SW9; ex-Appalachicola Northern 711,
"RMPX 1201 & 1205
27507, 29759
9/62, 5/65
SW1200; ex-SOO 1201 & 1205 < nee MN&S 31 & 35","27507, 29759
9/62, 5/65
SW1200; ex-SOO 1201 & 1205 < nee MN&S 31 & 35","9/62, 5/65
SW1200; ex-SOO 1201 & 1205 < nee MN&S 31 & 35",SW1200; ex-SOO 1201 & 1205 < nee MN&S 31 & 35,
"SW14 (EMD)
RMPX 1401-1403
16432, 3287 & 3288
10/52, 11/45
Ex-IC 1401-1403 < ICG SW14 1401-1403 < IC SW14 1401-1403 < nee IC SW9 9325 and NW2 9165 & 66","RMPX 1401-1403
16432, 3287 & 3288
10/52, 11/45
Ex-IC 1401-1403 < ICG SW14 1401-1403 < IC SW14 1401-1403 < nee IC SW9 9325 and NW2 9165 & 66","16432, 3287 & 3288
10/52, 11/45
Ex-IC 1401-1403 < ICG SW14 1401-1403 < IC SW14 1401-1403 < nee IC SW9 9325 and NW2 9165 & 66","10/52, 11/45
Ex-IC 1401-1403 < ICG SW14 1401-1403 < IC SW14 1401-1403 < nee IC SW9 9325 and NW2 9165 & 66",Ex-IC 1401-1403 < ICG SW14 1401-1403 < IC SW14 1401-1403 < nee IC SW9 9325 and NW2 9165 & 66
"RMPX 1411 & 1443
14387, 14363
7, 6/51
Ex-IC 1411 & 1443 < ICG SW14 1411 & 1443 < nee IC SW9 9464 & 9440","14387, 14363
7, 6/51
Ex-IC 1411 & 1443 < ICG SW14 1411 & 1443 < nee IC SW9 9464 & 9440","7, 6/51
Ex-IC 1411 & 1443 < ICG SW14 1411 & 1443 < nee IC SW9 9464 & 9440",Ex-IC 1411 & 1443 < ICG SW14 1411 & 1443 < nee IC SW9 9464 & 9440,
"RMPX 1439, 1444 & 1452
10036, 47 & 44
4,6,6/50
Ex-IC 1439, 1444 & 1452 < ICG SW14 1439, 1444 & 1452 < nee IC SW9 9304, 9405 & 9402","10036, 47 & 44
4,6,6/50
Ex-IC 1439, 1444 & 1452 < ICG SW14 1439, 1444 & 1452 < nee IC SW9 9304, 9405 & 9402","4,6,6/50
Ex-IC 1439, 1444 & 1452 < ICG SW14 1439, 1444 & 1452 < nee IC SW9 9304, 9405 & 9402","Ex-IC 1439, 1444 & 1452 < ICG SW14 1439, 1444 & 1452 < nee IC SW9 9304, 9405 & 9402",
"GP38 (EMD)
RMGX 2000-2004
35075-78 & 74
6/69
Ex-Chicago Central & Pacific 2000-2004 < nee Monongahela Rwy 2000-2005","RMGX 2000-2004
35075-78 & 74
6/69
Ex-Chicago Central & Pacific 2000-2004 < nee Monongahela Rwy 2000-2005","35075-78 & 74
6/69
Ex-Chicago Central & Pacific 2000-2004 < nee Monongahela Rwy 2000-2005","6/69
Ex-Chicago Central & Pacific 2000-2004 < nee Monongahela Rwy 2000-2005",Ex-Chicago Central & Pacific 2000-2004 < nee Monongahela Rwy 2000-2005
"RMGX 2005, 2007 & 2009
33684, 35416, 35452
11/69, 10/67, 10/69
Ex-CC&P 2005, 2007 & 2009  < nee C&O 3853, PC 7787 & 7823","33684, 35416, 35452
11/69, 10/67, 10/69
Ex-CC&P 2005, 2007 & 2009  < nee C&O 3853, PC 7787 & 7823","11/69, 10/67, 10/69
Ex-CC&P 2005, 2007 & 2009  < nee C&O 3853, PC 7787 & 7823","Ex-CC&P 2005, 2007 & 2009  < nee C&O 3853, PC 7787 & 7823",
