Reporting Marks  ,Railroad name,# Locomotives,Rolling Stock
AAX,AGRICO CHEMICAL,298,192
ABCX,Alabama Byproducts Corporation,219,0
Acme,Acme Steel,158,15
AEPX,American Electric Power,106,48
AGVX,Ag Valley Co-op,94,3353
AKM,American Kraft Mills,80,90
AKS,AK Steel,76,0
ALGX,Algoma Steel,70,1
ALR,Alan Richie Incorporated,69,11
API,API Cement,60,430
ARPX,BP Products North America,51,64
ASF,Inland Steel,39,3
AVGX,Avon Grain,37,3
BAWX,Babcox & Wilcox,35,48
BBOH,Bloomingburg Ohio,34,0
BECKER,Becker Sand & Gravel,29,53
BRPX,Blue Ridge Paper,28,207
CADRS,CAD Railways Services,27,509
CARX,Caliber Auto Transfer,26,0
CGCX,Cargill Incorporated C.G.D. Division,25,2
CGRX,Consolidated Grain and Barge,24,8
CIPS,Central Illinois Public Servicee,23,1
CPCX,Chevron Phillips Chemical Company,20,0
CRGX,Cargill Incorporated,18,0
CSYX,Bunge North America,16,0
CWEX,Midwest Generation LLC,16,0
CWRO,Cleveland Works Rail Operations,15,1
CYDX,Conrad Yelvington Distributors,14,202
DEKA,DeKalb Agra,13,79
DKPX,Duke Power,13,232
DODX,Department Of Defense,12,236
DRSX,DOT Rail Services,12,92
ENGLEWOOD,Englewood Railway,12,4
ETCX,Eastman Tennessee Corporation,11,1
EWSX,Indianapolis Power & Light,11,199
FIRR,Flats Industrial Railroad,10,4
FSCX,Farmland ServiceCOOP,10,1
FTRL,Foster Townsend Rail Logistics,10,7
GASX,Gerdau Ameristeel,9,3
GCSX,Granite City Steel Co,9,430
GEGX,GE Gas Turbine,9,86
GKLX,Gold Kist,9,692
GLCD,Great Lakes Coal & Docks,8,2159
GP,Georgia Pacific,8,1
GSAG,Glacier Sand & Gravel,8,414
HA,Hanson Aggregates,8,3
HPCX,"Hercules Powder Co., Inc.",8,28843
HSKX,"Husky Oil Operations, Ltd.",7,1
HTT,Harsco Track Technologies,7,0
IDCC,Ideal Cement Company,7,1
IGMX,Integrated Grain & Milling,7,48
IMP,Industrial Metals Processing,7,0
INLX,Incoal Company,6,2262
ISG,International Steel Group,6,165
ITCO,Intracoastal Terminal Co,6,0
ITI,Unknown,6,2858
JDHX,JD Heiskell,6,2
JMHX,J. M. Huber,5,2
JRWX,Johnson Rail Services,5,2
KOT,Kentucky-Ohio Transportation Co,5,236
KWUX,Siemens Power Corporation,5,0
LAFX,LaFarge,4,44
LLX,Luria Brothers,4,0
LMIC,Lake Michigan & Indiana Railroad,4,721
LVC,Lehigh Valley Coal,4,44
MAC,Mid America Car & Locomotive,3,0
MCA,Maywood Co-op Association,3,0
MMAX,Martin-Marietta Aggregates,3,1
MPCX,Michels Corporation,3,0
MPRX,Motive Power & Equipment,3,0
MRS,Manufacturers Railway,3,0
MSC,Metropolitan Stevedore,3,0
MWRX,Midwest Rail,3,9
NLLX,Northern Line Layers,3,11
NLSC,National Lime & Stone,3,1
NPTR,"Northwood Pulp and Timber, Ltd.",3,225
NSW,Northwest Steel and Wire,3,0
NUCX,Nucor Steel,3,1
NWSW,Northwestern Steel and Wire,3,12
OHK,Kruse Grain,3,0
OIMX,Oliver Iron Mining,3,27
OWTX,Oneida & Western Transportation,3,5
PBRTC,Permian Basin Regional Training Center,3,0
PFSC,Prestage Farms,2,0
PGC,Producers Grain Corp,2,2
PHLX,Parrish & Heimbecker Limited,2,565
PIZ,Pfizer,2,1482
PLBX,Palmetto Brick,2,0
PSCX,Public Service Of Colorado,2,0
QT,Quaboag Transfer,2,0
RAYO,Rayonier,2,15
RDMX,Ryder,2,0
RESX,Rescar,2,0
RLIX,"RailLink, Inc.",2,0
RSSX,Rail Switching Service,2,0
SCBX,Standridge Color,2,0
SCCX,Sprouse Creek Coal,2,0
SHARON,Sharon Steel,2,1
SMBX,Southern MN Sugar Beet Coop,1,1
SMRS,Springfield (MO) Railway Services,1,0
SRS,Sperry Rail Service,1,0
SSTX,Schnitzer Steel,1,0
STEX,"Sterling Chemicals, Inc",1,551
SVGX,"Savage, Inc",1,0
TINX,Trinity Railcar,1,0
TIT,Texas International Terminals,1,0
TORC,Toledo Ore Dock,1,0
TXU,TXU Electric,1,0
UCMX,"United Clays, Inc",1,0
USAF,US Air Force,1,0
USAX,United States Army,1,0
USN,United States Navy,1,0
USS,U.S. Steel,1,1
USSC,United States Sugar,1,0
USSX,US Steel,1,0
UTCX,Union Tank Car Company,1,0
UTLX,Union Tank Car Company,1,0
VECX,VeraSun Energy,1,2
VULX,Vulcan Materials,1,0
WHPX,W.F. Hall Printing,1,1
WIMX,"Wimpey Minerals USA, Inc.",0,6
WPSC,Wheeling Pittsburg Steel,0,4
WPSX,Wisconsin Public Service,0,19
WSX,Wierton Steel Division National Steel Co,0,1
WTCX,Weyerhauser,0,6
