Unit Number,Notes,Model,Serial Number
AARX 5,Former ASF No 5,60Tonner,15093
AARX 15,,AC44CW,57064
AARX 17,Cartier.,AC44CW,57066
AARX 18,Cartier.,AC44CW,53388
AARX 26,"at JDHX. ex ATSF 2260, ex ATSF 2900, ex ATSF 700",GP9,21570
AARX 143,"Ex MTSX, INLX",SC15-A,
AARX 145,Sold to PRLX,SC15-A,
AARX 146,"Ex Mittal, Inland Steel 146",SC15-A,
AARX 149,,GP38,33072
AARX 301,To Mittal Steel,SW1500,4626-1
AARX 302,ex-PLE 1559 *Scrapped*,SW1500,38468
AARX 303,,SW1500,
AARX 304,mittal Steel Ex Wierton Steel,SW1500,
AARX 310,Mittal Steel Ex Wierton Steel,SW1500,
AARX 314,,SW1500,
AARX 316,Mittal Steel Ex Wierton Steel,SW1500,
AARX 568,ex-GOT,F59PH,926354-7
AARX 735,ex-NYC,SW1,1261
AARX 803,"ex-MTSX 803, ex-ISG 803",SW8,18295
AARX 926,,SW1500,
AARX 1822,"Anon 1822 is frame # 5087-2, b",GP16,13899
AARX 2000,,GP40,
AARX 2101,ex-ATSF,GP7u,17010
AARX 2107,Modoc Railroad Academy,44Tonner,
AARX 2608,"Modoc Rail Academy. Sold to CTRR, to MALX",GG20B,20154
AARX 4934,ex-PRR,GG1,4431
AARX 6408,ex-UP,SD40-2,786170-5
AARX 6411,ex-UP,SD40-2,786170-31
AARX 6621,ex-ATSF,SD45,35013
AARX 6634,Ex WC,SD45,36660
AARX 6640,ex WC,SD45,32553
AARX 8174,ex-UP,GP10,19230
AARX 9593,blt as Meadow River Lumber 8,70Tonner,32815
AARX 11144,*Scrapped*,CF7,13712
AARX 11145,,CF7,7756
