Unit Number,Notes,Model,Serial Number
AAX 1,"ex-CNW 1248, sold to Agrico Chemical Co. 1 in 2/65",S1,75884
AAX 2,ex-UP 1022,NW2,1251
AAX 3,,SW1000,37391
AAX 3,,65Tonner,
AAX 4,,70Tonner,30018
AAX 6,"ex-Humble Oil + Refining Co. 998, to AAX 6 08/60",70Tonner,32201
AAX 7,,44Tonner,
AAX 8,ex-Ashley Drew and Northern 170,70Tonner,30016
AAX 12,ex-ALTON 12,S2,72006
AAX 181,ex-RDG NW2 101,NW2R,4941
AAX 182,ex-UP 1029,NW2,1690
AAX 1515,"ex-GN 629, ex-BN 1529",GP7,13342
AAX 1525,ex-SLSF 527,GP7,11985
AAX 1535,ex-SLSF 513,GP7,9913
AAX 1545,ex-SLSF 525,GP7,11983
AAX 1555,GP8,GP10,19067
AAX 1586,"GP8. Sold to IMCX, to RTEX, to HRR, to AKDN",GP10,13533
AAX 2010,,GP20,26074
