Unit Number,Notes,Model,Serial Number
AEX,,MDT,
AEX,,25 Tonner,
AEX,Inland Steel 1 10/1945,65 Ton PE,4790
AEX,,MDT,
AEX DUNKIRK,,70Tonner,
AEX 1,"Model: Plymouth MDT, ex-Valley Mould & Iron",MDT,6506
AEX 2,,MDT,
AEX 41,ex-SB,S6,81719
AEX 4517,Ex-GTW,GP9,22865
AEX 9337,Ex-PRR,SW1200,24150
AEX 10008,,SD40,37001
AEX 10014,,SW1500,72631-8
AEX 100000,Ex-PSIX. Sold to SJVR,GP38-2,72656-2
AEX 100001,,GP40,38560
AEX 100002,Ex-RI,GP40,36387
AEX 100003,,GP40-2LW,A3019
AEX 100004,,GP40-2LW,A3042
AEX 100005,,GP40-2LW,A3068
AEX 100007,,GP40-2LW,A3456
AEX 100008,Ex-NECR 5032,SD40,37001
AEX 100009,"ex-VCRR 1200, ex-IC 1412, née-IC 9455",SW14,14378
AEX 100010,"Ex-SSW. Sold to WRIX, to RVT",SW1500,33613
AEX 100011,"ex-RMPX 2525, exx-SP 2525",SW1500,35218
AEX 100012,,SW1500,4608-12
AEX 100013,,SW1500,72631-1
AEX 100014,"ex RMPX 2687, ex SP 2687",SW1500,72631-8
AEX 100015,ex NOLR 1237,SSB1200,18962
AEX 100015,,SW1200,18962
AEX 100016,ex-CN 9514,GP40-2LW,A3092
AEX 100017,*Scrapped*,C40-8M,47637
AEX 100018,Ex QNSL *Scrapped*,C40-8M,47638
AEX 100019,Ex QNSL *Scrapped*,C40-8M,47639
AEX 100020,SD40-3MR,SD40,33919
AEX 900212,,MDT,6413
AEX 900250,Tennessee Corp 6 2/1953,MDT,5664
AEX 999990,Ex-SGVY 999 SW9,SW1200,18589
AEX 999992,,SW1200,20048
AEX 999993,Ex SGVY 998,SW1200,30004
AEX 999994,To LSOX 3002.,GP40-2LW,A2998
AEX 999995,,GP40-2LW,A3245
AEX 999996,,GP40-2LW,A3440
AEX 999999,Ex-PSIX. Sold to SJVR,GP38-2,72656-1
