Unit Number,Notes,Model,Serial Number
ALEX GRAVEL,built as Pearl River L.C. 8,2-6-2,26055
ALEX 183,,ES 64 U2,
ALEX 223,,ER 20,
ALEX 223,,ER 20,
ALEX 183001,,ES 64 U2,
ALEX 183002,,ES 64 U2,
ALEX 183-003,,ES 64 U2,
ALEX 183004,,ES 64 U2,
ALEX 183-005,,ES 64 U2,
ALEX 223064,,UNKNOWN,
ALEX 223065,,UNKNOWN,
ALEX 223066,,UNKNOWN,
ALEX 223067,,UNKNOWN,
ALEX 223-068,Siemens ER20,UNKNOWN,
ALEX 223068,,UNKNOWN,
ALEX 223070,,UNKNOWN,
ALEX 223071,,UNKNOWN,
ALEX 223-072,Siemens ER20,UNKNOWN,
ALEX 223072,Siemens Eurorunner,UNKNOWN,
ALEX 223-081,Siemens ER20,UNKNOWN,
ALEX 1648-203,,UNKNOWN,
