Unit Number,Notes,Model,Serial Number
ALGX 30,,80Tonner,30478
ALGX 36,,80Tonner,30966
ALGX 38,,80Tonner,30968
ALGX 40,,80Tonner,31031
ALGX 42,,80Tonner,31189
ALGX 50,,SW900,A277
ALGX 59,"build date 12/48, ex-Washingto",RS1,76218
ALGX 60,,SL 110,
ALGX 61,Jan75,SL 110,39002
ALGX 67,"Porter 10/1943 as Algoma Steel Co. #10, display in 1967",0-4-0T,7443
ALGX 583,Ex-ATSF,CF7,9598
ALGX 2004,"ex IC 8415, ex CC 8002, ex ICG 8002, ex DTI 957",GP10,16964
ALGX 2004,16964,GP9,16964
ALGX 7201,ex-Erie Mining 301/7201,RS11,81915
ALGX 7202,ex-Erie Mining 302/7202,RS11,81918
ALGX 7221,ex-Erie Mining,C420,3437-02
