Unit Number,Notes,Model,Serial Number
ASDX 308,ex-DM&IR,SD-M,25781
ASDX 743,"Ex BCOL, nee OWTX.",SD40-2,786246-1
ASDX 747,"Ex BCOL, nee OWTX.",SD40-2,786246-5
ASDX 752,,SD40-2,A3946
ASDX 754,ex-BCOL,SD40-2,A3948
ASDX 762,*Scrapped*,SD40-2,A3956
ASDX 765,Ex-BCOL,SD40-2,A4499
ASDX 766,ex-BCOL,SD40-2,A4500
ASDX 1668,ex UP 1668,GP50,807023-1
ASDX 1675,ex UP 1675,GP50,807023-10
ASDX 1815,"ex-CP 8742 reblt in 983 to 1815, sold 1998",RS18u,81617
ASDX 1824,ex-CP,RS18u,82472
ASDX 1840,Ex-Ottawa Central,RS18u,82470
ASDX 1858,,RS18u,82459
ASDX 3604,Ex-BCOL,B36-7,43133
ASDX 4203,Ex-CFMG,C424,3399-03
ASDX 4210,Ex-NBEC,C424,3399-10
ASDX 4235,Ex-NBEC,C424,3436-03
ASDX 4634,Sold to GU,GP9R,24971
ASDX 5380,,SD40-2,73613-5
ASDX 5400,,SD50F,A4472
ASDX 5402,,SD50F,A4474
ASDX 5403,ex-CN *Scrapped*,SD50F,A4475
ASDX 5409,Ex-CN,SD50F,A4481
ASDX 5410,Ex-CN,SD50F,A4482
ASDX 5415,ex-CN *Scrapped*,SD50F,A4487
ASDX 5428,Ex-CN,SD50F,A4550
ASDX 5431,ex-CN *Scrapped*,SD50F,A4553
ASDX 5433,Ex-CN,SD50F,A4555
ASDX 5457,,SD50F,A4634
ASDX 5459,Ex-CN,SD50F,A4636
ASDX 6002,,SD40-2,33246
ASDX 6005,,SD40-2,33249
ASDX 6034,,SD40-2,31012
ASDX 6051,,SD40-2,31008
ASDX 6052,ex-IC & GM&O,SD40-2,31009
ASDX 6070,,SD40-2,32169
ASDX 6900,Ex-NBEC,SD40,A2346
ASDX 6902,,SD40,A2317
ASDX 6904,Ex-NBEC,SD40,A2273
ASDX 6906,,SD40,A2309
ASDX 6907,Ex-CFMG,SD40,A2316
ASDX 6908,,SD40,A2319
ASDX 6909,ex-CN,SD40,A2322
ASDX 6910,,SD40,A2336
ASDX 7001,Ex-CN,GP9RM,A835
ASDX 9023,ex-PRR,SD40M-2,33847
ASDX 9025,ex MPI,SD40M-2,33788
ASDX 9026,ex-CBQ,SD40M-2,34555
ASDX 9029,ex-PRR,SD40M-2,33824
ASDX 9033,ex-BN,SD40M-2,36361
ASDX 9034,ex-PRR,SD40M-2,33810
ASDX 9035,ex-PRR,SD40M-2,33846
ASDX 9040,ex-LN,SD40M-2,38203
ASDX 9046,ex-Morrison Knudson,SD40M-2,35846
