Unit Number,Notes,Model,Serial Number
BUGX 9,,SW1500,
BUGX 17,,S12,76091
BUGX 25,,45Tonner,28339
BUGX 51,Ex-BO,GP40WH-2,38495
BUGX 59,,GP40WH-2,32956
BUGX 101,,CF7,8931
BUGX 120,Ex-SPS,BL20-2,21468
BUGX 122,Ex-NP,BL20-2,20345
BUGX 149,blt 3/70 as SOU 2345,SW1500,36137
BUGX 156,,SD40-2,7396-27
BUGX 227,ex-AMTK,Road Slug,757099-28
BUGX 244,,MP21B,0107-01
BUGX 337,GP9 nee NP 337 to BN 1922 to B,GP9,22740
BUGX 401,,F7A,17910
BUGX 402,,F7A,8576
BUGX 409,,F40PHR,877008-9
BUGX 459,,F40PHR,777018-10
BUGX 503,Ex-BN 9546,SD70MAC,946555-5
BUGX 512,"Ex-BNSF, BN",SD70MAC,946555-27
BUGX 609,Ex Pan Am Railways,SD40-2,7396-27
BUGX 621,Ex SAL 1402,VO-1000M,64257
BUGX 700,Ex-IC,GP10,20286
BUGX 795,,UNKNOWN,
BUGX 814,Ex Tri Rail,GP49,786284-3
BUGX 999,"Ex NS, ex CR, nee PC, to RPLX.",BP4,35361
BUGX 1003,,S4M,78233
BUGX 1010,Rebuilt from an SW,Yard Slug,
BUGX 1100,EX SLRG,FP10,3596
BUGX 1200,"nee NW 9155 NW2, IC 1438, ICG 1438, IC 1200",SW7RM,2065
BUGX 1201,ICG 474; ICG 1489; IC 1489; IC 1201; BUGX 1201,SW7RM,16416
BUGX 1202,"nee IC 9302, IC 1501, ICG 1501, IC 1202, BUGX 1202",SW7RM,10034
BUGX 1204,"nee IC 9304, ICG/LOSX/PRLX 1439, IC 1204, BUGX 1204",SW7RM,10036
BUGX 1240,blt 2/54 as T&NO 117,SW1200,19490
BUGX 1270,ex-BNSF 1270,3GS21B,
BUGX 1288,,SW1200RS,A1184
BUGX 1301,blt 7/45 as IC NW2 9159,SW1300,3281
BUGX 1302,"ex-TNO 84, ex-SP 1926/1302, ex-Luria Bros. 1302",NW2,7329
BUGX 1322,,GP7u,15799
BUGX 1357,Ex-CN,SW1200RS,A1807
BUGX 1375,"nee CN 1375 4/60, BUGX 1375",SW1200RS,A1860
BUGX 1401,,MP14B,0409-01
BUGX 1402,"nee CN 1913, rebuilt in 1989, BUGX 1402",GMD1,A1587
BUGX 1492,nee IC 9451 SW9,SW14,14374
BUGX 1497,ex-IC,SW14,14382
BUGX 1501,"ex-PNWR 1501, ex-W&P 1501, ex-SP 1530, 1401, 2701, nee-SP 5280",SD7R,17145
BUGX 1501,"SD7R. ex-PNWR 1501, ex-W&P 1501, ex-SP 1530, 1401, 2701, nee-SP 5280",SD7,17145
BUGX 1552,ex BNSF,SD9,
BUGX 1558,"nee MTFR 304, MNNR 304, WC 1558, BUGX 1558",SW1500,34725
BUGX 1562,ex-KIT,SW1500,36861
BUGX 1568,Ex-SP,SW1500,4608-76
BUGX 1600,Ex PREX,GP16,
BUGX 1607,Ex-SAL,GP16,21522
BUGX 1612,ex-PREX Alabama & Florida,GP16,
BUGX 1752,EX Keokuk Junction PREX 1752,FP9A,A641
BUGX 1795,ex-CRIP,GP18,26938
BUGX 1801,"ex-PNWR 1801, ex-W&P 1801, ex-SP 3855, ex-SP 3693, nee-SP 5830",GP9R,25130
BUGX 1825,Ex-IC,GP28,28938
BUGX 1826,Ex-IC,GP28,28939
BUGX 1829,Ex-KOG,GP28,29633
BUGX 1852,"ex-PNWR 1852, ex-W&P 1852, ex-SP 4397, ex-SP 3916, nee-SP 5438",SD9E,20216
BUGX 2000,Ex-DRGW,GP38-2,32887
BUGX 2014,"nee ATSF 2835, ATSF 2014 Gp7u, CRGX 2014 ""Mighty Cow"", DGNO 2014, BUGX 2014",GP7u,17646
BUGX 2024,Ex-ATSF,GP20u,26841
BUGX 2036,Ex-ATSF,GP20u,26858
BUGX 2125,Ex-SLSF,GP38AC,37033
BUGX 2197,Ex-ATSF,GP7,17701
BUGX 2667,"nee SP 2667 06/72, WC 1569 odd cab#, BUGX 2667",SW1500,4608-77
BUGX 2746,,SD40M-2,32636
BUGX 2768,,SD40M-2,36886
BUGX 2779,,SD40M-2,34610
BUGX 3229,ex-UP,SD40-2,766005-9
BUGX 3577,"Sold to FEC, to NECR",SD40-2,786218-4
BUGX 3970,"Ex Santa Fe, rebuild from an SD",Yard Slug,
BUGX 4129,,F40PH-2CAT,796380-17
BUGX 4135,ex slrg 4135,GP40FH-2,33234
BUGX 4304,ex SP 4304,SD9E,19455
BUGX 4324,,SD9E,19441
BUGX 4409,,SD9E,20235
BUGX 5000,blt 12/66 as ATSF 1881,MK-50-3,32557
BUGX 5257,"ex GWI Rail Link, ex TR 80, ex MTW 80, ex CO 5257",SW9,15516
BUGX 7025,,SD70M,936438-18
BUGX 7082,Ex CN 7082,GP9RM,A1633
BUGX 7260,Ex CN,GP9RM,A1018
BUGX 7400,Sold to LTEX,SD45R,32000
BUGX 7486,"Former DGNO 9486, should be designated as a SD45R.",SD45,34413
BUGX 7520,,SD45,
BUGX 7523,,SD45,34363
BUGX 7523,ex-SP. Sold to TLSX,SD45R,34363
BUGX 7632,ex-SSW,GP40-2,786179-5
BUGX 9400,,SD45T-2,74696-30
