Unit Number,Notes,Model,Serial Number
CBFX,"nee PC 7701, CR 7701, PRLX 3808, WAMX 3808",GP38-2,35330
CBFX 411,"nee NdeM 9288, FXE 2041",GP38-2,756076-69
CBFX 415,"nee PC 7954, CR 7954, EMD 754, IAIS 704, CBFX 415, now CBFX 3833",GP38-2,7354-15
CBFX 419,"nee PC 7969, CR 7969,  LLPX 2310, IAIS/PRLX 704, CBFX 415, now CBFX 3831",GP38-2,7354-30
CBFX 420,"nee PC 7977, CR 7977,  LLPX 2314, IAIS/PRLX 709, CBFX 420, now CBFX 3832",GP38-2,7354-38
CBFX 421,"nee PC 8019, CR 8019, LLPX 2329, IAIS/PRLX 717, CBFX 421, now CBFX 3830",GP38-2,7354-80
CBFX 900,,GP9R,A1271
CBFX 1101,Ex-PRLX 100/GLSX 58. Blt. 1971.,SW1001,4615-1
CBFX 1105,,SW1200,28412
CBFX 1575,"nee PC 9531, CR 9531, NS/PRLX 2213, CBFX 1575",SW1500,7355-22
CBFX 1575,"nee PC 9531, CR 9531, NS/PRLX 2213, CBFX 1575",SW1500,7355-22
CBFX 1577,,SW1500,33134
CBFX 1578,,SW1500,
CBFX 1580,"nee SSW 2517, UP/UPY 1106, PRLX 1106",SW1500,34434
CBFX 1581,"nee SP 2552, UP/UPY 1136, PRLX 1136",SW1500,35245
CBFX 1582,"nee SP 2566, UP/UPY 1145, PRLX 1145",SW1500,35802
CBFX 1585,"nee SP 2617, UP/UPY 1189, PRLX 1189",SW1500,4608-27
CBFX 1587,,MP15DC,
CBFX 1589,"nee TRRA 1504, PRLX 1504",SW1500,33093
CBFX 1591,"nee TRRA 1512, PRLX 1512, CEFX 1574",SW1500,4617-1
CBFX 1593,"nee TRRA 1515, PRLX 1515, CBFX 1593",SW1500,4617-4
CBFX 1594,"nee TRRA 1517, PRLX 2217",SW1500,4617-6
CBFX 1595,"nee PC 9515, CR 9515, NS 2205, PRLX 2205",SW1500,7355-6
CBFX 1598,"nee PC 9532, CR 9532, NS 2214, PRLX 2214",SW1500,7355-23
CBFX 1598,"nee PC 9532, CR 9532, NS 2214, PRLX 2214",SW1500,7355-23
CBFX 1600,,SW1500,
CBFX 1601,,SW1500,
CBFX 3800,,UNKNOWN,35250
CBFX 3801,"nee NdeM 9250, HLCX 3801",GP38-2,756076-31
CBFX 3805,"nee CO 4825, CSX 2125, TFM/HLCX 1155, WAMX 3806, PRLX 3806, CBFX 3805",GP38-3,36671
CBFX 3808,"nee PC 7701, CR 7701, PRLX 3808, WAMX 3808",GP38-2,35330
CBFX 3808,"nee PC 7701, CR 7701, PRLX 3808, WAMX 3808",GP38,35330
CBFX 3809,,GP38-3,35249
CBFX 3810,"nee IC 9516, MKT 340, UP 1996.19.1796.296, WSOR 3807, WAMX/PRLX 3866",GP38-3,35681
CBFX 3830,"nee PC 8019, CR 8019, EMDX 819, IAIS 717, CBFX 421",GP38-2,7354-80
CBFX 3831,,GP38-2,7354-30
CBFX 3832,ex-PC,GP38-2,7354-38
CBFX 3833,,GP38-2,7354-15
CBFX 4001,,UNKNOWN,
CBFX 4003,"ex-CEFX 4003, exx-WC 3014, exxx-CMNW 3014, exxxx-UP 679, nee-WP 3531.*Scrap",GP40,37852
CBFX 4004,,GP38-3,37845
CBFX 4006,,GP40,37840
CBFX 4007,,GP40,37842
CBFX 6021,"Ex-BN, also says CIT",SD60M,887033-20
CBFX 6022,Ex-BN,SD60M,887033-23
CBFX 6023,"Ex-BN, Sold to NRE",SD60M,887033-24
CBFX 6024,Ex-BN,SD60M,887033-25
CBFX 6025,"Ex-BN, Sold to NRE",SD60M,887033-35
CBFX 6026,Ex-BN,SD60M,887033-37
CBFX 6027,,SD60M,887033-40
CBFX 6028,,SD60M,887033-41
CBFX 6029,,SD60M,887033-42
CBFX 6030,,SD60M,887033-43
CBFX 6031,,SD60M,887033-45
CBFX 6032,,SD60M,887033-48
CBFX 6034,,SD60M,887033-50
