Unit Number,Notes,Model,Serial Number
CCGX 495,Western Star Hyrail,MoW Equipment,
CCGX 1000,"Cando Contracting, mainly run",GP9,A936
CCGX 1001,,GP9,24378
CCGX 1002,ex CR 8685 nee  LV 271,SW8,14496
CCGX 1004,ex-CP 1209/8118,SW1200RSm,A1498
CCGX 1005,ex-CP 1207/8121,SW1200RS,A1501
CCGX 1006,ex-CN 1359,SW1200RS,A1844
CCGX 1007,,SW1200RS,A1740
CCGX 1009,Ex-CN 1401,GMD1,A1590
CCGX 1010,Ex-CN 1435,GMD1,A1431
CCGX 1011,Ex-CN 1420,GMD1,A1755
CCGX 1329,ex OHCR 1329 nee CN 1329,SW1200RS,A1566
CCGX 1501,ex UP GP15AC,GP15AC,
CCGX 1502,,GP15AC,827016-16
CCGX 1504,,GP15-1,827016-28
CCGX 1505,Ex Union Pacific,GP15-1,
CCGX 1755,exx rlk 1755,GP10,21863
CCGX 1808,ex RLK 1808,GP18,25451
CCGX 4000,Ex-CEMR 4000,GP9RM,A656
CCGX 4008,ex-CN 4128,GP9RM,A1629
CCGX 4009,GP9RM  ex CN 4331,GP9RM,A1688
CCGX 4011,Ex-CN,GP9RM,A1333
CCGX 4012,ex-CN,GP9RM,A1336
CCGX 4014,ex-CN,GP9RM,A1303
CCGX 4015,"ex-CN 4118, ex-CN 4409, ex-CN 1733",GP9RM,A652
CCGX 4017,ex-CN,GP9RM,A826
CCGX 4018,ex CN GP9  First to be painted in Cando's new paint scheme,GP9RM,A809
CCGX 4021,Ex-CP,GP9u,A1716
CCGX 4022,Ex-CP 8248,GP9u,A1717
CCGX 4023,ex-CP,GP9u,
CCGX 4024,Ex-CP 8210,GP9u,A971
CCGX 4118,ex-CN,GP9RM,A652
CCGX 4119,Ex-CN 4119,GP9RM,A1245
CCGX 4201,Model: Rebuilt EMD GP38-3,GP38-3,31064
CCGX 4202,ex-SP,GP35m,28875
CCGX 4205,Ex-UP,GP38-2,32666
CCGX 4206,,GP38-2,756112-1
CCGX 4208,"Ex GMTX, ex UP, ex MP, nee CRIP.",GP38-2,756136-1
CCGX 4210,,GP38-2,756112-23
CCGX 4211,,GP38-2,
CCGX 4212,,GP38-2,
CCGX 4213,,GP38-2,
CCGX 4214,,GP38-2,36338
CCGX 4215,,GP38-2,756091-20
CCGX 4216,Cando Rail and Terminals,GP38-2,766041-2
CCGX 4218,,GP38-2,
CCGX 4219,,GP38-2,
CCGX 5201,"Ex-RTEX 202, Nee-DMIR",SD38AC,37070
CCGX 5202,"Ex-DMIR 200, Nee-BLE 865",SD38AC,37704
CCGX 5204,ex Columbia & Walla Walla 318 (SD-38-2M on cab),SD45-2,32820
CCGX 5232,"Ex-ANY, Nee-CN 5232",SD40,A2594
CCGX 5308,,SD40-2,A2419
CCGX 5309,"Ex-DME 6090, Exx-CP 5407, Nee-QNSL 211",SD40-3,A2548
CCGX 5311,Used by the CEMR Railroad.,SD40-2,A3563
CCGX 5311,Ex-CN 5311,SD40-2W,A3563
CCGX 5312,,SD40-2,A3530
CCGX 6057,"CCGX 6057,Marked as CEFX ,with CIT Logo",SD38-2,786142-8
CCGX 7211,Ex-CN,GP9RM,A1685
CCGX 7236,Ex-CN,GP9RM,A1640
