Unit Number,Notes,Model,Serial Number
CGAX 12,,S2,
CGAX 105,ex-Fairport Painesville & Eastern 105,S4,79225
CGAX 134,,SW1200,
CGAX 137,ex-SOO,GP9,20028
CGAX 300,ex-Montana Western 300,80Tonner,17899
CGAX 822,,SW9,
CGAX 1207,ex-TRRA,SW9,16832
CGAX 1217,,SW1200RS,A758
CGAX 1431,ex B&M,SW7,12371
CGAX 1990,,SW7,
CGAX 2002,"per LocoNotes, ex MP 3285, UP",SD40-2,786178-20
CGAX 2053,ex-UP,SD20,25366
CGAX 2308,EX SP/T&NO,SW9,12869
CGAX 6128,X-CN,UNKNOWN,
CGAX 6499,ex-FWWR nee-CNW,GP9,16872
CGAX 9335,,SW1200,
