Unit Number,Notes,Model,Serial Number
CHSX,Ex-SP,SD7,18397
CHSX,,44Tonner,
CHSX,,25 Tonner,
CHSX NO,blt 03/1949 as PRR 9324,44Tonner,30142
CHSX NONE,"9/1953, nee-SP 5332",SD7,18397
CHSX 1,Ex-BO,SW900,20390
CHSX 1,Ex-MJRX,SW1200,22763
CHSX 1,blt 4/53 as IC 8978,GP8,17737
CHSX 2,ex-SJT,SW1,11379
CHSX 2,blt 3/50 as GN 169,SW7,9575
CHSX 3,ex-GN,NW2,7792
CHSX AM10,ex-CP,S2,76939
CHSX 15,Ex-L&N,SW1,1566
CHSX 77,Ex-East Washington Ry,45Tonner,27932
CHSX 200,Blt 3/53 as Portland Traction 200,SW1,17709
CHSX 304,Ex-ATSF,CF7,18931
CHSX 507,blt 6/46 as IC 9022,SW1,3290
CHSX 551,Ex-CNW,GP15-1,757142-7
CHSX 612,Ex-DMIR,SD9,25265
CHSX 860,Ex-MILW,SW1,878
CHSX 1009,blt 9/48 as T&P 1009,NW2,6581
CHSX 1037,Ex-SP,SW1500,33991
CHSX 2117,,SW1200,
CHSX 2124,Ex-Soo,SW1200,20116
CHSX 2256,Ex-ATSF,GP9u,21580
CHSX 5879,Ex-CP,SD40-2,A4443
CHSX 6971,,SD40-2,
CHSX 7936,Ex-CS,SD40-2,786252-69
CHSX 8133,Ex-CP,SW1200RS,A1733
CHSX 8133,,SW1200,
CHSX 8333,ex-CRGX exx-PAL exxx-ICG nee-I,GP8,17737
CHSX 9341,Ex-PRR,SW1200,24154
