Unit Number,Notes,Model,Serial Number
CITX 140,Ex-EMDX,SD70M-2,20036552-1
CITX 141,Ex-EMDX,SD70M-2,20036552-2
CITX 142,Ex-EMDX,SD70M-2,20036552-3
CITX 402,"Ex-UP 402, C&NW 4703, SECX 3823",GP38-2,786237-3
CITX 1007,,C44-9W,
CITX 1521,Ex Norfolk Southern,MP15DC,767051-19
CITX 1527,"nee MP 1540, UP 1340, UPY 1340, CEFX 1527",MP15AC,73678-5
CITX 1528,"nee MP 1540, UP 1339, UPY 1339, NRE 1528",MP15DC,73778-1
CITX 1542,,MP15DC,817015-15
CITX 1557,"nee PC 9581, CR 9581, NS 2231, CEFX 1557",SW1500,73622-22
CITX 1558,,SW1500,34480
CITX 1559,Ex-SOU,SW1500,34484
CITX 1560,"nee RFP 4, SB 4 (S. Buffalo), PBR 4, CEFX 1560",SW1500,33286
CITX 1561,"nee RF&P 5, SB 5 (Southern Buffalo), PBR 5, CEFX 1561",SW1500,33287
CITX 1562,"nee RFP 6, CITX 1566, CEFX 1562",SW1500,33288
CITX 1563,"nee SP 2526, UP 1112, PBR 212, CEFX 1563",SW1500,35219
CITX 1564,,SW1500,4608-86
CITX 1565,,SW1500,34121
CITX 1565,,SW1500,34121
CITX 1566,,SW1500,35119
CITX 1568,"nee PC 9569, CR 9569, NS 2225, CEFX 1568",SW1500,73622-10
CITX 1569,"nee PC 9575, CR 9575, NS 2228, CEFX 1569",SW1500,73622-16
CITX 1570,"nee ITC 1511, NW 2292, NS 2292, CEFX 1570",SW1500,35825
CITX 1590,,SW1200,73623-18
CITX 2005,,GP20D,996104-5
CITX 2783,"Ex-CEFX, Exx-UP, Rebuilt from SD45",SD40M-2,35480
CITX 2784,"Ex-CEFX, Exx-UP, Rebuilt from SD45",SD40M-2,32697
CITX 2785,Ex-SP,SD40M-2,35765
CITX 2786,,SD40M-2,35774
CITX 2787,Drgw 5325 Sd45 > CEFX/CITX/OFOX 2787 Sd40m-2 > WAMX 4223,SD40M-2,33757
CITX 2788,"Ex-CEFX, Exx-UP, Rebuilt from SD45. Sold to OFOX, to WAMX",SD40M-2,34164
CITX 2789,"Now OFOX, to WAMX, Ex-CEFX, Exx-UP, Rebuilt from SD45",SD40M-2,33563
CITX 2790,"nee UP 3641, UP 41, Sd40m-2 UP 2790, CEFX 2790, CITX 2790",SD40M-2,34017
CITX 2792,"PGR 43 
					SD40M-2
				3344689104762",SD40M-2,33446
CITX 2793,"Ex-CEFX, Exx-UP, Rebuilt from SD45",SD40M-2,34934
CITX 2794,"Ex-DRGW. Sold to ILSX, to SCXY",SD40M-2,33767
CITX 2795,"Ex-CEFX, Exx-UP, Rebuilt from SD45. Sold to ILSX, to SCXY",SD40M-2,32031
CITX 2796,Ex-SP,SD40M-2,34914
CITX 2799,"Ex-CEFX, Exx-UP, Rebuilt from SD45",SD40M-2,33417
CITX 2800,"Ex-CEFX, Exx-UP, Rebuilt from SD40",SD40-2,A2251
CITX 2801,"nee SP 5302 SD39, UP/CEFX/CITX 2801, OFOX 2801, MVPX 2801",SD40M-2,34000
CITX 2804,"Ex-CEFX, Exx-UP, Rebuilt from SD39",SD40-2,34012
CITX 2806,"Ex-CEFX, Exx-UP, Rebuilt from SD45. Sold to MMID",SD40-2,33424
CITX 2808,nee UP 3613 > 13 > 63 Sd45R > UP 4758 Sd40m-2 > Cefx/Citx 2806 > PGR 45,SD40M-2,33422
