Unit Number,Notes,Model,Serial Number
CORX C987,blt as CRI&P SW 525 (c/n 723) reblt to 553. Sold to DRIR,SW900,23439
CORX C988,"blt as RI SW 514 (c/n 706), reblt 1/57 as 550",SW900,23436
CORX C989,ex-CRI&P 832,SW8,16630
CORX C990,ex-CRI&P 831,SW8,16629
CORX C991,"ex-WF&S 801, ex-RI 839",SW8,18708
CORX 992,ex-Alexander Railroad 2,44Tonner,28502
CORX 993,ex-CUT 34,SW8,14568
CORX C994,,SW8,
CORX C996,,SW8,
CORX 997,,UNKNOWN,
CORX C997,Sold to SLC,SW8,17066
CORX C997,EX BN 446,SW1000,35893
CORX C998,,SW1001,806036-1
