Unit Number,Notes,Model,Serial Number
CREX 1201,,ES44AC,61406
CREX 1202,To CN.,ES44AC,61407
CREX 1203,To CN.,ES44AC,61408
CREX 1204,,ES44AC,61409
CREX 1205,,ES44AC,61410
CREX 1206,,ES44AC,61411
CREX 1207,,ES44AC,61412
CREX 1208,,ES44AC,61413
CREX 1209,,ES44AC,61414
CREX 1210,,ES44AC,61415
CREX 1211,,ES44AC,61416
CREX 1212,To CN.,ES44AC,61417
CREX 1213,,ES44AC,61418
CREX 1214,,ES44AC,61419
CREX 1215,,ES44AC,61420
CREX 1301,To CN.,ES44AC,61944
CREX 1302,To CN.,ES44AC,61945
CREX 1303,To CN.,ES44AC,61946
CREX 1304,,ES44AC,61947
CREX 1305,To CN.,ES44AC,61948
CREX 1306,,ES44AC,61949
CREX 1307,To CN.,ES44AC,61950
CREX 1308,To CN.,ES44AC,61951
CREX 1309,To CN.,ES44AC,61952
CREX 1310,,ES44AC,61953
CREX 1311,To CN.,ES44AC,61954
CREX 1312,To CN.,ES44AC,61955
CREX 1313,To CN.,ES44AC,61956
CREX 1314,To CN.,ES44AC,61957
CREX 1315,,ES44AC,61958
CREX 1316,,ES44AC,61959
CREX 1317,To CN.,ES44AC,61960
CREX 1318,To CN.,ES44AC,61961
CREX 1319,To CN.,ES44AC,61962
CREX 1320,To CN.,ES44AC,61963
CREX 1321,To CN.,ES44AC,61964
CREX 1322,,ES44AC,61965
CREX 1323,,ES44AC,61966
CREX 1324,,ES44AC,61967
CREX 1325,,ES44AC,61968
CREX 1326,,ES44AC,61969
CREX 1327,,ES44AC,61970
CREX 1328,To CN.,ES44AC,61971
CREX 1329,To CN.,ES44AC,61972
CREX 1330,To CN.,ES44AC,61973
CREX 1331,,ES44AC,61974
CREX 1332,,ES44AC,61975
CREX 1333,,ES44AC,61976
CREX 1334,,ES44AC,61977
CREX 1335,,ES44AC,61978
CREX 1336,To CN.,ES44AC,61979
CREX 1337,,ES44AC,61980
CREX 1338,,ES44AC,61981
CREX 1339,,ES44AC,61982
CREX 1340,,ES44AC,61983
CREX 1341,,ES44AC,61984
CREX 1342,,ES44AC,61985
CREX 1343,To CN.,ES44AC,61986
CREX 1344,To CN.,ES44AC,61987
CREX 1345,To CN.,ES44AC,61988
CREX 1346,,ES44AC,61989
CREX 1347,,ES44AC,61990
CREX 1348,To CN.,ES44AC,61991
CREX 1349,,ES44AC,61992
CREX 1350,To CN.,ES44AC,61993
CREX 1399,Incorrect listing.,ES44AC,Incorrect listing.
CREX 1401,,ES44AC,62723
CREX 1402,To CN.,ES44AC,62724
CREX 1403,To CN.,ES44AC,62725
CREX 1404,To CN.,ES44AC,62726
CREX 1405,To CN.,ES44AC,62727
CREX 1406,To CN.,ES44AC,62728
CREX 1407,To CN.,ES44AC,62729
CREX 1408,To CN.,ES44AC,62730
CREX 1409,,ES44AC,62731
CREX 1410,To CN.,ES44AC,62732
CREX 1411,To CN.,ES44AC,62733
CREX 1412,To CN.,ES44AC,62734
CREX 1413,,ES44AC,62735
CREX 1414,,ES44AC,62736
CREX 1415,To CN.,ES44AC,62737
CREX 1416,To CN.,ES44AC,62738
CREX 1417,To CN.,ES44AC,62739
CREX 1418,To CN.,ES44AC,62740
CREX 1419,To CN.,ES44AC,62741
CREX 1420,To CN.,ES44AC,62742
CREX 1421,To CN.,ES44AC,62743
CREX 1422,,ES44AC,62744
