Unit Number,Notes,Model,Serial Number
CRRX 8,"Model: Shay 3-truck, narrow gauge WSLC 8",UNKNOWN,
CRRX C20,blt 2/69 as A&WP 728,GP40-2H,34750
CRRX V20,ex-AWP,GP40PH-2,34750
CRRX 84,,44Tonner,
CRRX 402,blt 10/49 as C&NW 4075A,F7A,8554
CRRX 403,blt 10/49 as CNW 4079C,F7A,8563
CRRX 601,,SD40-3,
CRRX 602,Frame Number:	7159-3,SD40,34777
CRRX 603,,SD40-3,34777
CRRX 728,Built 2/1969 as A&WP #728,GP40PH-2,34750
CRRX 1503,ex-ARR 1503,F7B,17714
CRRX 2238,ex-ATSF,GP7u,12204
CRRX 3104,"blt 8/1970 as WP 3521, to CMNW 3521, CMNW 3004, WC 3004, purchased 2016",GP40,36828
CRRX 5305,,SD9,22808
CRRX 15462,Cab car and HEP generator,UNKNOWN,
