Unit Number,Notes,Model,Serial Number
CYXX 292,"Ex-WATC 52, CIRR 57, CYDZ",RS1,75562
CYXX 294,"Blt. 4/45, A&St.AB",RS1,73333
CYXX 305,,SW1200,23983
CYXX 2104,Blt. 10/63 as C&O 3038,GP30M,28514
CYXX 2105,"Ex-B&O 6933, CSX, AGR 2178",GP30M,27650
CYXX 2107,"Ex-B&O 6917, CSX, AGR 2181",GP30M,27634
CYXX 2108,"Ex-B&O 6931, CSX, AGR 2183",GP30M,27648
CYXX 2109,"Ex-PRR 2202, PC, Conrail, AGR",GP30,28110
CYXX 2110,"Ex-PRR 2238, PC, Conrail, AGR",GP30,28146
CYXX 2111,ex-CO,GP30,28505
CYXX 2112,"Ex-URR 581, GE 8301",SW9,15962
CYXX 2114,"Ex-IC 9071, ICG, OHCR 705",GP10,20150
CYXX 2116,"Built as ASAB 907, ex CYDC 303",RS1,70809
