Unit Number,Notes,Model,Serial Number
DBGX 14,"Ex CWEX, to MWLX.",SW1,2864
DBGX 42,ex-SAL,S2,74660
DBGX 76,Ex-KCT,SW1200,29245
DBGX 272,"ex SP 3785, ex SP 3622, ex SP",GP9,22963
DBGX 309,,GP7L,17571
DBGX 457,ex-ADMX exx-EJE exxx-NW nee-NKP,SW8,16354
DBGX 479,Sold to GALX,GP8,17738
DBGX 536,Ex-CRIP. Sold to AOK,SW1,1685
DBGX 558,Ex-MILW,SD10,15620
DBGX 610,ex-IMRL nee-SP,SD9,19429
DBGX 1661,ex-ATSF,GP9u,21592
DBGX 1723,Ex-DMIR,SD9,23925
DBGX 1742,"ex-CBQ 451, ex-BN 6198",SD9,23630
DBGX 2001,Ex-MILW,SD10,15612
DBGX 2052,,SD20,25427
DBGX 2055,"ex-WSOR, IC, Southern",SD20,25619
DBGX 2305,"Ex-SP, Nee-T&NO",SW9,12867
DBGX 4153,Ex-WAB 471. Sold to GAVX,GP7R,15055
DBGX 4202,"Ex CNW 4202, Ex CRIP 4548, 1279",GP7,17610
DBGX 6129,"ex-BNSF 6129, ex-BN 6232, nee-CS 837",SD9,25157
DBGX 6634,ex-SOU,SD18M,25606
DBGX 7314,ex-CO. Sold to MJRX,SD18,27612
DBGX 9565,"ex-CSX, BO, CO, CSS nee-CO",NW2,10386
